candidate,source,method,bits,clip,step,psnr,ssim,budget_violation_fraction,psnr_p05,min_psnr,quality_violation_fraction,target_mse,feasible,semantic_lowpass_mse,selection_objective,generated_reference_mse,natural_validation_mse,natural_validation_lpips,natural_validation_residual,natural_validation_spectral,natural_validation_cycle,teacher_search_mse,joint_w4_objective,joint_w4_psnr,joint_w4_ssim,fp32_feasible,joint_w4_feasible,code_change_fraction_vs_rtn,code_offset_rms,code_offset_ge_one_fraction
fixed_ptq_w4_c1.0_step0,fixed_rtn,fixed_ptq,4,1.0,0,33.350563049316406,0.943604588508606,,29.569313049316406,28.79359245300293,0.0,0.00048414335687994023,True,8.52526811286225e-05,0.00048414335687994023,,,,,,,,,,,,,,,
reconstruction_w4_c1.0_step0,rtn_fallback,reconstruction,4,1.0,0,33.350563049316406,0.943604588508606,,29.569313049316406,28.79359245300293,0.0,0.0005406601558206603,True,8.52526811286225e-05,0.0005406601558206603,,,,,,,,,,,,,,,
reconstruction_w4_c1.0_step100,reconstruction,reconstruction,4,1.0,100,35.84375,0.9674741625785828,,31.79499626159668,31.206867218017578,0.0,0.00030466386378975586,True,4.6102706392048276e-05,0.00030466386378975586,,,,,,,,,,,,,,,
reconstruction_w4_c1.0_step200,reconstruction,reconstruction,4,1.0,200,36.82829284667969,0.97111976146698,,32.783145904541016,31.78563117980957,0.0,0.0002486154618964065,True,2.2882645134814082e-05,0.0002486154618964065,,,,,,,,,,,,,,,
reconstruction_w4_c1.0_step300,reconstruction,reconstruction,4,1.0,300,36.93742752075195,0.9714078903198242,,32.56766891479492,31.876909255981445,0.0,0.00024319719086633994,True,1.754338306909631e-05,0.00024319719086633994,,,,,,,,,,,,,,,
reconstruction_w4_c1.0_step400,reconstruction,reconstruction,4,1.0,400,36.551841735839844,0.9714049100875854,,32.7285270690918,31.88634490966797,0.0,0.000258275228770799,True,2.7973579290119232e-05,0.000258275228770799,,,,,,,,,,,,,,,
reconstruction_w4_c1.0_step500,reconstruction,reconstruction,4,1.0,500,37.20824432373047,0.9727194905281067,,33.11270523071289,32.014530181884766,0.0,0.00022858105730847456,True,1.628926358989702e-05,0.00022858105730847456,,,,,,,,,,,,,,,
reconstruction_w4_c1.0_step600,reconstruction,reconstruction,4,1.0,600,36.937686920166016,0.9729171991348267,,32.67874526977539,32.12339782714844,0.0,0.00024136254760378505,True,2.3170900021796115e-05,0.00024136254760378505,,,,,,,,,,,,,,,
reconstruction_w4_c1.0_step700,reconstruction,reconstruction,4,1.0,700,36.956058502197266,0.9719606637954712,,32.74701690673828,32.03965759277344,0.0,0.00023931521063786932,True,2.225069479209196e-05,0.00023931521063786932,,,,,,,,,,,,,,,
reconstruction_w4_c1.0_step800,reconstruction,reconstruction,4,1.0,800,37.258995056152344,0.9738953709602356,,33.070648193359375,32.296783447265625,0.0,0.00022452547746070194,True,2.02803959382436e-05,0.00022452547746070194,,,,,,,,,,,,,,,
