candidate,source,method,bits,clip,step,psnr,ssim,psnr_p05,min_psnr,quality_violation_fraction,target_mse,feasible,semantic_lowpass_mse,selection_objective,generated_reference_mse,natural_validation_mse,natural_validation_lpips,natural_validation_residual,natural_validation_spectral,code_change_fraction_vs_rtn,code_offset_rms,code_offset_ge_one_fraction
natural_residual_w4_c1.0_step400,natural_residual,natural_residual,4,1.0,400,29.807064056396484,0.8367335200309753,24.18043327331543,23.83184051513672,0.3499999940395355,0.003948381542102197,True,6.466957602242473e-05,0.03509889827156485,0.0013680449890671297,0.003948381542102197,0.06260534207103774,0.02476064337031403,,,,
natural_residual_w4_c1.0_step500,natural_residual,natural_residual,4,1.0,500,29.76740074157715,0.8332026600837708,24.023714065551758,23.667713165283203,0.3499999940395355,0.003882246868670336,True,6.086530465836404e-05,0.03477463523253164,0.0013820389343891294,0.003882246868670336,0.06227719350135885,0.024542938404408687,,,,
natural_residual_w4_c1.0_step600,natural_residual,natural_residual,4,1.0,600,29.748241424560547,0.8299674987792969,23.969947814941406,23.64032554626465,0.3499999940395355,0.003873831164753483,True,5.436866485979408e-05,0.03448038284572021,0.0013941871889983303,0.003873831164753483,0.0613566637475742,0.024362147976489723,,,,
natural_residual_w4_c1.0_step700,natural_residual,natural_residual,4,1.0,700,29.699649810791016,0.8265673518180847,23.865591049194336,23.575977325439453,0.4000000059604645,0.0038871740081276585,True,5.109977355459705e-05,0.03434301790085783,0.001416641728428658,0.0038871740081276585,0.06069277870847145,0.024284366474773833,,,,
natural_residual_w4_c1.0_step800,natural_residual,natural_residual,4,1.0,800,29.750499725341797,0.8282129168510437,23.96751594543457,23.66950035095215,0.3499999940395355,0.003836983885094014,True,5.3046352240926355e-05,0.03416239707312343,0.0013945620856247842,0.003836983885094014,0.0603553974578972,0.024183780737757843,,,,
natural_residual_w4_c1.0_step900,natural_residual,natural_residual,4,1.0,900,29.76528549194336,0.8284727334976196,23.95121192932129,23.631275177001953,0.3499999940395355,0.003842165322339497,True,5.147744832356693e-05,0.03406706347683439,0.001394393152440898,0.003842165322339497,0.05981259852342191,0.02414068340550557,,,,
natural_residual_w4_c1.0_step1000,natural_residual,natural_residual,4,1.0,1000,29.727102279663086,0.8264711499214172,23.931215286254883,23.6060791015625,0.4000000059604645,0.003850834251238666,True,4.824952338822186e-05,0.03402384783056504,0.001406291374587454,0.003850834251238666,0.05969378996451269,0.024107135536098667,,,,
natural_residual_qat_w4_c1.0_step0,rtn_fallback,natural_residual_qat,4,1.0,0,33.35065841674805,0.943604588508606,29.569433212280273,28.793678283691406,0.0,0.004610004772871434,True,8.52470307108888e-05,0.044815149041369295,0.0005406524978752714,0.004610004772871434,0.08563141724152956,0.03147150848292313,,0.0,0.0,0.0
natural_residual_qat_w4_c1.0_step100,natural_residual_qat,natural_residual_qat,4,1.0,100,32.21142578125,0.9123870134353638,27.36469078063965,26.703474044799805,0.0,0.003997670727812874,True,4.136030074732844e-05,0.03743540513728476,0.0007417684821120929,0.003997670727812874,0.07312274370633531,0.026042739437343698,,0.007822327315807343,0.00986269266607844,0.0
natural_residual_qat_w4_c1.0_step200,natural_residual_qat,natural_residual_qat,4,1.0,200,31.33950424194336,0.8886351585388184,26.165117263793945,25.608722686767578,0.05000000074505806,0.003985070249768796,True,4.3688907044270306e-05,0.03646021031412374,0.0009319053417129908,0.003985070249768796,0.06847756372735603,0.025540005877530803,,0.010998592711985111,0.013954227253392319,0.0
natural_residual_qat_w4_c1.0_step300,natural_residual_qat,natural_residual_qat,4,1.0,300,30.834918975830078,0.8723968267440796,25.298254013061523,24.995548248291016,0.15000000596046448,0.003929439385274236,True,5.095962724226411e-05,0.035779756440126674,0.0010590056466753595,0.003929439385274236,0.0668252316172584,0.02506587463864207,,0.013110805302858353,0.016650617400775707,0.0
natural_residual_qat_w4_c1.0_step400,natural_residual_qat,natural_residual_qat,4,1.0,400,30.56398582458496,0.8628039360046387,24.99334144592285,24.627777099609375,0.20000000298023224,0.003953301070623638,True,4.545889314613305e-05,0.03539879278823718,0.0011364000267349184,0.003953301070623638,0.0645173247285129,0.024902841458469993,,0.014545031823217869,0.018490292146297733,0.0
