method,parameter_space,test_index,seed,layer,error_l2,owner_error_dot,owner_error_cosine,owner_gradient_l2,quality_error_dot,quality_error_cosine,quality_gradient_l2,ownership_score,image_mse
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.1.resnets.1.conv1.weight,1.1838596364530638,-3.7635105589548784e-05,-0.0009145593426599362,0.034760101394939215,3.4945770121865137e-07,0.004054770876032315,7.279944756219436e-05,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.1.resnets.1.conv2.weight,1.0681922737846614,-4.435286066140949e-06,-0.0001155915635461642,0.03592080538353921,2.530235649341256e-07,0.003292650278495112,7.193925441208644e-05,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.1.resnets.2.conv1.weight,1.1443847282752029,-1.4693173242630678e-05,-0.00031812481762764997,0.04035952023367101,2.7024445109830264e-07,0.003161218859465109,7.47016453664491e-05,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.1.resnets.2.conv2.weight,0.9794177813243862,1.1693773393203508e-05,0.0003383193485084424,0.03529066592434617,9.003301227765372e-08,0.0014276664584465676,6.438831204119816e-05,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.1.upsamplers.0.conv.weight,0.5073170002166529,6.92033922584654e-05,0.0011217274557468982,0.12160757208415016,2.751503354098087e-07,0.0029308956793884407,0.00018505050306691617,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.2.resnets.0.conv1.weight,0.7521863972157539,-2.4400078453184152e-05,-0.0009008806282475971,0.036007958480245836,1.5294955911579898e-07,0.0030240846591728823,6.724017098745549e-05,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.2.resnets.0.conv2.weight,0.6131526755805556,-2.3555586135892928e-05,-0.001276239537145654,0.03010184345814916,9.910337547862002e-08,0.003334106913910245,4.84775091557125e-05,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.2.resnets.0.conv_shortcut.weight,0.052282203692116065,4.4408942262123876e-05,0.002625531664223829,0.3235186220441877,2.117081012898882e-07,0.008932879268439373,0.00045330668950603175,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.2.resnets.1.conv1.weight,0.4851332093365615,-2.6456189998045338e-05,-0.001434587237851771,0.038013629099573724,1.1111134534361055e-07,0.0029516471885343352,7.759486043982417e-05,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.2.resnets.1.conv2.weight,0.6572459861136889,-2.83997530145224e-05,-0.001279230646736312,0.03377829819207653,1.3219455253312022e-07,0.004747182245595994,4.236914615076924e-05,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.2.resnets.2.conv1.weight,0.5146227831899781,-2.949207751115718e-05,-0.001395374367165937,0.04107008641377078,1.892710841708162e-07,0.006592220384217534,5.579092253715821e-05,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.2.resnets.2.conv2.weight,0.6015476376614555,1.132828524243549e-05,0.0006372885779036586,0.02955003608463189,2.050247334764628e-08,0.0011140465038256308,3.0593763868047744e-05,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.2.upsamplers.0.conv.weight,0.27824634041281426,1.4890722007126152e-05,0.000329646299859922,0.16234469049066644,1.7853689869798395e-07,0.003908077553027746,0.00016418570875796547,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.3.resnets.0.conv1.weight,0.3478885727279285,-6.036692211302699e-05,-0.0042469506720826,0.04085842797023437,1.0408626109370117e-07,0.00758944751033485,3.942240209305296e-05,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.3.resnets.0.conv2.weight,0.373706320770526,2.5738483833390612e-05,0.0028394101980406695,0.0242562901663866,4.1631348396280343e-08,0.008353816751186249,1.3335370602081997e-05,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.3.resnets.0.conv_shortcut.weight,0.04200119050094848,-4.9065386068699076e-05,-0.0036074905456843455,0.32382354170359695,8.536400192925336e-08,0.00994498969570995,0.00020436608675942084,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.3.resnets.1.conv1.weight,0.24075198500202138,-3.550186814040378e-05,-0.0027112736198645847,0.05438861272880795,3.1423531294794356e-08,0.00594399466561278,2.1958703809509942e-05,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.3.resnets.1.conv2.weight,0.3872260557515659,3.661198723521004e-05,0.0032857756642758742,0.028775363667363277,1.1806992873087142e-08,0.0023842737059859773,1.2788470888862003e-05,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.3.resnets.2.conv1.weight,0.25206567958705234,3.8372274609306206e-05,0.0025911778813585908,0.05874982784972991,3.053175210098766e-08,0.005120342570550147,2.3655873655042475e-05,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,up_blocks.3.resnets.2.conv2.weight,0.3666501936315225,-1.694075985618406e-06,-0.00034835553474490955,0.013263503379577435,1.903985918976125e-11,5.306799417981923e-06,9.785412563260422e-06,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,mid_block.attentions.0.to_q.weight,0.23078628195619744,2.1104114236802363e-06,0.0013733751416092012,0.006658370479740945,-1.7877754834105074e-10,-4.952170006276919e-05,1.564254601764438e-05,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,mid_block.attentions.0.to_k.weight,0.23743591046848972,4.031389128146709e-07,0.00022418771308391439,0.007573497911204632,8.058651985465075e-10,0.00017487060688216706,1.940882214502021e-05,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,mid_block.attentions.0.to_v.weight,0.15740808941460843,2.0362373602905824e-06,0.0003491309546073134,0.03705211454870497,-4.610733740523909e-09,-0.0003101612594590507,9.443988385849698e-05,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,mid_block.attentions.0.to_out.0.weight,0.14889375094583934,9.945379919366716e-06,0.0015708448875118093,0.042521796462303404,4.8328808235585605e-08,0.0033243497937147327,9.763890499406549e-05,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,mid_block.resnets.0.conv1.weight,1.1884465818355672,-6.25450997122028e-05,-0.0016802115641972712,0.03132201216460603,5.701969526501548e-07,0.005167687497518575,9.28429610731942e-05,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,mid_block.resnets.0.conv2.weight,0.7352252030401639,-4.343970386167358e-06,-0.0001024617312934243,0.05766400200669696,4.4622628275099345e-07,0.004109980566094346,0.0001476709240112584,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,mid_block.resnets.1.conv1.weight,1.1190719629553045,-1.743045798237798e-05,-0.0006850442091278933,0.022736948792279648,1.265012099802579e-07,0.0020959624170426975,5.3932825521501714e-05,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,mid_block.resnets.1.conv2.weight,0.7529255505498338,1.2226972872237402e-05,0.0004149246049655067,0.03913791847566517,6.10555693909337e-08,0.0009669036916740158,8.386679220868231e-05,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,0,3459,conv_out.weight,0.007964138539927095,8.925054282213678e-05,0.021334887322191003,0.5252689223934018,3.498856419260446e-07,0.057035272527288634,0.0007702714369003206,0.05988333374261856,3.705482185978326e-06
fixed_ptq_w8_c1.0_test,quantized,1,3460,conv_in.weight,0.0837320263089241,-0.00017533547045431126,-0.012363816461601534,0.16936576664338956,7.0455394678617e-07,0.05682847678949541,0.00014806644023043124,0.07565683871507645,2.5755416572792456e-06
fixed_ptq_w8_c1.0_test,quantized,1,3460,up_blocks.0.resnets.0.conv1.weight,1.1918811636973365,1.9317715992806993e-05,0.00045852471351923944,0.035347611437495124,1.8948641916330183e-07,0.006862241962711103,2.3167496453891997e-05,0.07565683871507645,2.5755416572792456e-06
fixed_ptq_w8_c1.0_test,quantized,1,3460,up_blocks.0.resnets.0.conv2.weight,0.8195175184916672,1.5517356962452077e-05,0.00033822258012932896,0.05598309580581017,1.0372041296563458e-07,0.0024509335374598056,5.16386001890112e-05,0.07565683871507645,2.5755416572792456e-06
fixed_ptq_w8_c1.0_test,quantized,1,3460,up_blocks.0.resnets.1.conv1.weight,1.2024793667778395,-2.7040815219946285e-05,-0.0005398190190719468,0.04165757315797852,1.7888571025623105e-07,0.005952987070867487,2.498981708229623e-05,0.07565683871507645,2.5755416572792456e-06
fixed_ptq_w8_c1.0_test,quantized,1,3460,up_blocks.0.resnets.1.conv2.weight,0.76366091380036,-3.7663925719084033e-06,-7.48599994814513e-05,0.0658832784316089,9.995511140627224e-08,0.001993145714021429,6.566975479170819e-05,0.07565683871507645,2.5755416572792456e-06
fixed_ptq_w8_c1.0_test,quantized,1,3460,up_blocks.0.resnets.2.conv1.weight,1.258696229445508,-4.954360272256021e-05,-0.0008661231893361936,0.04544509199022468,3.2814937999152343e-07,0.009902408053977393,2.6327513142284222e-05,0.07565683871507645,2.5755416572792456e-06
