candidate,source,method,bits,clip,step,psnr,ssim,psnr_p05,min_psnr,quality_violation_fraction,target_mse,feasible,semantic_lowpass_mse,generated_reference_mse,natural_validation_mse,natural_validation_lpips,natural_validation_residual,natural_validation_spectral,selection_objective,code_change_fraction_vs_rtn,code_offset_rms,code_offset_ge_one_fraction
natural_residual_qat_w8_c1.0_step0,rtn_fallback,natural_residual_qat,8,1.0,0,57.079551696777344,0.9997357130050659,53.200199127197266,52.35443115234375,0.0,0.00448062992109044,True,3.0512774955582246e-07,2.304731731328502e-06,0.00448062992109044,0.07531345781171694,0.03073531175948574,,0.04274744002562265,0.0,0.0,0.0
natural_residual_qat_w8_c1.0_step100,natural_residual_qat,natural_residual_qat,8,1.0,100,43.368343353271484,0.9952113032341003,38.56239700317383,38.449100494384766,0.0,0.00424620723811131,True,5.674781209563662e-06,5.816118446091423e-05,0.00424620723811131,0.07740777589788195,0.028388845570134436,,0.040378667788638724,0.008117055520415306,0.011579424795389637,0.0
natural_residual_qat_w8_c1.0_step200,natural_residual_qat,natural_residual_qat,8,1.0,200,41.22411346435547,0.991816520690918,36.324501037597656,36.2769660949707,0.0,0.004166650826505247,True,1.1320789815272292e-05,9.503876563030645e-05,0.004166650826505247,0.07793487772869412,0.027715838801896098,,0.03968163779617839,0.012377352453768253,0.017907754921429493,0.0
natural_residual_qat_w8_c1.0_step300,natural_residual_qat,natural_residual_qat,8,1.0,300,40.07354736328125,0.9889364242553711,35.063846588134766,35.03908157348633,0.0,0.004125799923372142,True,1.4344324313242396e-05,0.00012427820074663033,0.004125799923372142,0.07813012541009812,0.027308850283020547,,0.039254834909559125,0.015678444877266884,0.022876287547779317,0.0
natural_residual_qat_w8_c1.0_step400,natural_residual_qat,natural_residual_qat,8,1.0,400,39.4951057434082,0.9871171116828918,34.5086784362793,34.41722106933594,0.0,0.004100956896195385,True,1.6122162082865544e-05,0.0001414245620253496,0.004100956896195385,0.07768985511211213,0.027102553569761767,,0.0389805570582098,0.018082674592733383,0.026518951201279686,0.0
natural_residual_qat_w8_c1.0_step500,natural_residual_qat,natural_residual_qat,8,1.0,500,39.048160552978516,0.9853829145431519,34.04139709472656,33.9173698425293,0.0,0.004087483951309423,True,1.682773918219027e-05,0.00015674474325351185,0.004087483951309423,0.07733007948263548,0.026941635613070503,,0.03877054138223457,0.020030749961733818,0.02948339711010763,0.0
natural_residual_qat_w8_c1.0_step600,natural_residual_qat,natural_residual_qat,8,1.0,600,38.72092819213867,0.9841836094856262,33.7706298828125,33.610435485839844,0.0,0.004076257088740931,True,1.7830290698839234e-05,0.00016821822719066405,0.004076257088740931,0.07703983093961142,0.02684550959486387,,0.03863466492291536,0.02138819545507431,0.03155339381722197,0.0
natural_residual_qat_w8_c1.0_step700,natural_residual_qat,natural_residual_qat,8,1.0,700,38.521522521972656,0.9833037257194519,33.56953048706055,33.38203811645508,0.0,0.004066442537919102,True,1.847245951012155e-05,0.0001760607621690724,0.004066442537919102,0.07687677134526893,0.026776069115385326,,0.03853942501758638,0.022354094311594963,0.03304809251305555,0.0
natural_residual_qat_w8_c1.0_step800,natural_residual_qat,natural_residual_qat,8,1.0,800,38.40602493286133,0.9827276468276978,33.451412200927734,33.23177719116211,0.0,0.004063001928329868,True,1.8629699570738013e-05,0.0001809454062822624,0.004063001928329868,0.07674032279464882,0.026732715871958135,,0.03847906492953825,0.02298773266375065,0.0340177583060547,0.0
natural_residual_qat_w8_c1.0_step900,natural_residual_qat,natural_residual_qat,8,1.0,900,38.33353805541992,0.9823598861694336,33.38043975830078,33.158172607421875,0.0,0.0040609397943853764,True,1.885216261143796e-05,0.00018398631254967768,0.0040609397943853764,0.07663801527087344,0.026708166922276178,,0.03844233432505462,0.02336546964943409,0.034600904905056955,0.0
natural_residual_qat_w8_c1.0_step1000,natural_residual_qat,natural_residual_qat,8,1.0,1000,38.28019332885742,0.982052206993103,33.317047119140625,33.09523010253906,0.0,0.004059106198212703,True,1.8944680027743745e-05,0.00018639022200659384,0.004059106198212703,0.07659195464657387,0.026688224530630578,,0.038415998533514545,0.02365107834339142,0.03505404005787524,0.0
