candidate,source,method,bits,clip,step,psnr,ssim,budget_violation_fraction,psnr_p05,min_psnr,quality_violation_fraction,target_mse,feasible,semantic_lowpass_mse,generated_reference_mse,natural_validation_mse,natural_validation_lpips,natural_validation_residual,natural_validation_spectral,natural_validation_cycle,selection_objective
natural_full_finetune_w32_c1.0_step0,marked_fp32_fallback,natural_full_finetune,32,1.0,0,120.0,1.0,,120.0,120.0,0.0,0.0044825395657994704,True,0.0,0.0,0.0044825395657994704,0.07518677371990634,,,,0.012001216937790105
natural_full_finetune_w32_c1.0_step100,natural_full_finetune,natural_full_finetune,32,1.0,100,27.64096450805664,0.8048752546310425,,23.41708755493164,22.560504913330078,0.44999998807907104,0.004647587051408664,True,0.0003208932263078168,0.002037092958926223,0.004647587051408664,0.08765296573983505,,,,0.013412883625392169
natural_full_finetune_w32_c1.0_step200,natural_full_finetune,natural_full_finetune,32,1.0,200,27.694469451904297,0.8038015365600586,,22.956798553466797,22.011077880859375,0.4000000059604645,0.004583093272401584,True,0.00030023860417713875,0.002102969994302839,0.004583093272401584,0.08531245178892277,,,,0.013114338451293861
natural_full_finetune_w32_c1.0_step300,natural_full_finetune,natural_full_finetune,32,1.0,300,28.080257415771484,0.8009518384933472,,23.215763092041016,23.036636352539062,0.5,0.0044366258962327265,True,0.00021908877497480716,0.0018984682188602164,0.0044366258962327265,0.0843579383508768,,,,0.012872419731320407
natural_full_finetune_w32_c1.0_step400,natural_full_finetune,natural_full_finetune,32,1.0,400,27.260269165039062,0.7977279424667358,,23.049365997314453,22.50322723388672,0.44999998807907104,0.00467507383444854,False,0.0004993045069568325,0.002219087956473231,0.00467507383444854,0.08758790980937192,,,,0.013433864815385733
natural_full_finetune_w32_c1.0_step500,natural_full_finetune,natural_full_finetune,32,1.0,500,28.175495147705078,0.8035241365432739,,23.509239196777344,22.46887969970703,0.44999998807907104,0.004265440146667743,True,0.0002148030820535496,0.0018990664422744886,0.004265440146667743,0.0732905566910631,,,,0.011594495815774052
natural_full_finetune_w32_c1.0_step600,natural_full_finetune,natural_full_finetune,32,1.0,600,28.000614166259766,0.7947678565979004,,23.181407928466797,22.651653289794922,0.44999998807907104,0.004297565701676831,False,0.00020658136563724838,0.0019370252266526222,0.004297565701676831,0.07490436227089958,,,,0.011788001928766789
natural_full_finetune_w32_c1.0_step700,natural_full_finetune,natural_full_finetune,32,1.0,700,27.72500228881836,0.801766574382782,,23.388118743896484,22.666244506835938,0.44999998807907104,0.00439395361820516,True,0.000307374686235562,0.0019984498736448585,0.00439395361820516,0.07342826429521665,,,,0.011736780047726825
natural_full_finetune_w32_c1.0_step800,natural_full_finetune,natural_full_finetune,32,1.0,800,28.152542114257812,0.8050247430801392,,23.410348892211914,22.755023956298828,0.44999998807907104,0.004232236893983554,True,0.00019778117566602305,0.0018685140821617097,0.004232236893983554,0.07035351454396732,,,,0.011267588348380287
natural_full_finetune_w32_c1.0_step900,natural_full_finetune,natural_full_finetune,32,1.0,900,28.542367935180664,0.8099057078361511,,23.7431640625,23.119335174560547,0.4000000059604645,0.0041166835483181785,True,0.00016476219389005564,0.0017262515786569566,0.0041166835483181785,0.07089261811779579,,,,0.011205945360097759
natural_full_finetune_w32_c1.0_step1000,natural_full_finetune,natural_full_finetune,32,1.0,1000,28.461252212524414,0.8060609102249146,,23.381664276123047,22.95230484008789,0.44999998807907104,0.004079040804043643,True,0.00017942232843779494,0.0017768101970432326,0.004079040804043643,0.06632941868156195,,,,0.01071198267219984
natural_full_finetune_w32_c1.0_step1100,natural_full_finetune,natural_full_finetune,32,1.0,1100,28.748287200927734,0.8130506277084351,,23.741954803466797,23.19135284423828,0.4000000059604645,0.004018533936090307,True,0.00013702548840228702,0.00166123925591819,0.004018533936090307,0.06453298428095877,,,,0.010471832364186185
natural_full_finetune_w32_c1.0_step1200,natural_full_finetune,natural_full_finetune,32,1.0,1200,28.7138671875,0.8133543133735657,,23.877805709838867,23.140422821044922,0.4000000059604645,0.003982338283407216,True,0.0001447785281925462,0.0016708772731362843,0.003982338283407216,0.06304626377823297,,,,0.010286964661230514
natural_full_finetune_w32_c1.0_step1300,natural_full_finetune,natural_full_finetune,32,1.0,1300,28.8795166015625,0.817190945148468,,23.929182052612305,23.275489807128906,0.4000000059604645,0.003975201331286371,True,0.0001225960195370135,0.0016130391872138717,0.003975201331286371,0.062456806961563416,,,,0.010220882027442712
natural_full_finetune_w32_c1.0_step1400,natural_full_finetune,natural_full_finetune,32,1.0,1400,28.94855308532715,0.81788170337677,,23.915111541748047,23.270793914794922,0.4000000059604645,0.003937788990072022,True,0.00011068545682064723,0.0015984751749783753,0.003937788990072022,0.060550756272277795,,,,0.009992864617299802
natural_full_finetune_w32_c1.0_step1500,natural_full_finetune,natural_full_finetune,32,1.0,1500,28.953100204467773,0.8181727528572083,,23.896326065063477,23.36786460876465,0.4000000059604645,0.003880565448781681,True,0.00012272698422748362,0.0015911404028884136,0.003880565448781681,0.0600360076969082,,,,0.0098841662184725
natural_full_finetune_w32_c1.0_step1600,natural_full_finetune,natural_full_finetune,32,1.0,1600,28.996240615844727,0.8190412521362305,,23.940269470214844,23.272397994995117,0.4000000059604645,0.003895735860339755,True,0.0001162762400781503,0.001584904435731005,0.003895735860339755,0.059350303999963216,,,,0.009830766260336077
natural_full_finetune_w32_c1.0_step1700,natural_full_finetune,natural_full_finetune,32,1.0,1700,28.992101669311523,0.8192291259765625,,23.877962112426758,23.314992904663086,0.4000000059604645,0.003854488073244511,True,0.00013518602863769048,0.0015849218005314469,0.003854488073244511,0.05911083671162487,,,,0.009765571744406999
natural_full_finetune_w32_c1.0_step1800,natural_full_finetune,natural_full_finetune,32,1.0,1800,29.06471824645996,0.8200176954269409,,23.920896530151367,23.288131713867188,0.4000000059604645,0.003847736056343365,True,0.0001163572847872274,0.0015684904894442298,0.003847736056343365,0.05850890510919271,,,,0.009698626567262636
