step,applied,reason,joint_w4_loss,cycle_loss,teacher_mse,budget_penalty,dual_mse,dual_ssim,block,discriminator_loss,discriminator_applied,reconstruction_mse,perceptual_loss,preservation_mse,loss,residual_loss,trust_loss,spectral_loss,adversarial_loss,grad_norm,learning_rate,reconstruction_gradient_norm
1,True,,,,,0.0,,,,,,0.004551718011498451,0.07249654084444046,0.0,0.011801372282207012,0.0,0.0,0.0,0.0,0.03632981330156326,2.5e-05,
2,True,,,,,0.0,,,,,,0.0027318019419908524,0.05478796362876892,0.0,0.00821059849113226,0.0,0.0,0.0,0.0,0.027231408283114433,5e-05,
3,True,,,,,0.0,,,,,,0.0029001329094171524,0.055078696459531784,0.0,0.00840800255537033,0.0,0.0,0.0,0.0,0.04555097222328186,7.500000000000001e-05,
4,True,,,,,0.0,,,,,,0.002453040098771453,0.052012890577316284,0.0,0.00765432883054018,0.0,0.0,0.0,0.0,0.03861112892627716,0.0001,
5,True,,,,,0.0,,,,,,0.004539093933999538,0.07201115041971207,0.0,0.01174020953476429,0.0,0.0,0.0,0.0,0.042717285454273224,0.000125,
6,True,,,,,0.0,,,,,,0.006068872287869453,0.10092094540596008,0.0,0.01616096682846546,0.0,0.0,0.0,0.0,0.053019892424345016,0.00015000000000000001,
7,True,,,,,0.0,,,,,,0.004585916176438332,0.08537667989730835,0.0,0.013123583979904652,0.0,0.0,0.0,0.0,0.0556604340672493,0.000175,
8,True,,,,,0.0,,,,,,0.0033394074998795986,0.06184184551239014,0.0,0.009523591957986355,0.0,0.0,0.0,0.0,0.0409088172018528,0.0002,
9,True,,,,,0.0,,,,,,0.009949690662324429,0.11244440078735352,0.0,0.021194130182266235,0.0,0.0,0.0,0.0,0.07730129361152649,0.00022500000000000002,
10,True,,,,,0.0,,,,,,0.00261401548050344,0.06375034153461456,0.0,0.008989050053060055,0.0,0.0,0.0,0.0,0.07322214543819427,0.00025,
11,True,,,,,0.0,,,,,,0.004315988626331091,0.09804872423410416,0.0,0.014120861887931824,0.0,0.0,0.0,0.0,0.11647067219018936,0.00027499999999999996,
12,True,,,,,0.0,,,,,,0.0037486085202544928,0.08177679032087326,0.0,0.011926287785172462,0.0,0.0,0.0,0.0,0.05084710940718651,0.00030000000000000003,
13,True,,,,,0.0,,,,,,0.003825320629402995,0.09045687317848206,0.0,0.01287100836634636,0.0,0.0,0.0,0.0,0.05941568687558174,0.00032500000000000004,
14,True,,,,,0.0,,,,,,0.005529362708330154,0.08154773712158203,0.0,0.013684136793017387,0.0,0.0,0.0,0.0,0.056604210287332535,0.00035,
15,True,,,,,0.0,,,,,,0.004098517820239067,0.07826153188943863,0.0,0.01192467100918293,0.0,0.0,0.0,0.0,0.041308291256427765,0.000375,
16,True,,,,,0.0,,,,,,0.003850663546472788,0.09425182640552521,0.0,0.01327584683895111,0.0,0.0,0.0,0.0,0.08920162171125412,0.0004,
17,True,,,,,0.0,,,,,,0.0032277097925543785,0.07650386542081833,0.0,0.010878096334636211,0.0,0.0,0.0,0.0,0.061545439064502716,0.00042500000000000003,
18,True,,,,,0.0,,,,,,0.004619423765689135,0.10331472754478455,0.0,0.014950897544622421,0.0,0.0,0.0,0.0,0.072176992893219,0.00045000000000000004,
19,True,,,,,0.0,,,,,,0.006753243505954742,0.09761844575405121,0.0,0.016515087336301804,0.0,0.0,0.0,0.0,0.07452216744422913,0.000475,
20,True,,,,,0.0,,,,,,0.0018345951102674007,0.04945685714483261,0.0,0.006780280731618404,0.0,0.0,0.0,0.0,0.07384908199310303,0.0005,
21,True,,,,,0.0,,,,,,0.006995483301579952,0.0920710489153862,0.0,0.016202587634325027,0.0,0.0,0.0,0.0,0.08304020017385483,0.0005,
22,True,,,,,0.0,,,,,,0.002008467447012663,0.06897789984941483,0.0,0.008906257338821888,0.0,0.0,0.0,0.0,0.08390025794506073,0.0004999997164950878,
23,True,,,,,0.0,,,,,,0.0027162746991962194,0.06356915086507797,0.0,0.009073189459741116,0.0,0.0,0.0,0.0,0.05332184582948685,0.0004999988659810655,
24,True,,,,,0.0,,,,,,0.0030855201184749603,0.08689507842063904,0.0,0.011775027960538864,0.0,0.0,0.0,0.0,0.07732550799846649,0.0004999974484600767,
25,True,,,,,0.0,,,,,,0.0039755841717123985,0.08439011126756668,0.0,0.012414595112204552,0.0,0.0,0.0,0.0,0.08468407392501831,0.0004999954639356932,
26,True,,,,,0.0,,,,,,0.006096625700592995,0.10952216386795044,0.0,0.017048843204975128,0.0,0.0,0.0,0.0,0.06266774237155914,0.0004999929124129165,
27,True,,,,,0.0,,,,,,0.003983378876000643,0.07550212740898132,0.0,0.011533591896295547,0.0,0.0,0.0,0.0,0.07027701288461685,0.0004999897938981763,
28,True,,,,,0.0,,,,,,0.002638739300891757,0.06956114619970322,0.0,0.009594853967428207,0.0,0.0,0.0,0.0,0.06974790245294571,0.0004999861083993315,
29,True,,,,,0.0,,,,,,0.0035942979156970978,0.08541297912597656,0.0,0.012135596014559269,0.0,0.0,0.0,0.0,0.07343201339244843,0.0004999818559256697,
30,True,,,,,0.0,,,,,,0.005755851976573467,0.10279235988855362,0.0,0.016035087406635284,0.0,0.0,0.0,0.0,0.0690523013472557,0.0004999770364879073,
31,True,,,,,0.0,,,,,,0.003022606484591961,0.10040925443172455,0.0,0.013063532300293446,0.0,0.0,0.0,0.0,0.06723477691411972,0.0004999716500981894,
32,True,,,,,0.0,,,,,,0.005083554890006781,0.09331835806369781,0.0,0.01441539078950882,0.0,0.0,0.0,0.0,0.05899563431739807,0.0004999656967700901,
33,True,,,,,0.0,,,,,,0.003641174640506506,0.08929930627346039,0.0,0.012571105733513832,0.0,0.0,0.0,0.0,0.1089271828532219,0.000499959176518612,
34,True,,,,,0.0,,,,,,0.0041755251586437225,0.09453608840703964,0.0,0.013629133813083172,0.0,0.0,0.0,0.0,0.09549427777528763,0.0004999520893601865,
35,True,,,,,0.0,,,,,,0.004779091104865074,0.08708076179027557,0.0,0.013487167656421661,0.0,0.0,0.0,0.0,0.04602602869272232,0.0004999444353126733,
36,True,,,,,0.0,,,,,,0.004214379470795393,0.0921187475323677,0.0,0.013426253572106361,0.0,0.0,0.0,0.0,0.06493698805570602,0.000499936214395361,
37,True,,,,,0.0,,,,,,0.0053815292194485664,0.10506235063076019,0.0,0.01588776335120201,0.0,0.0,0.0,0.0,0.06442566215991974,0.000499927426628967,
38,True,,,,,0.0,,,,,,0.0024465329479426146,0.0847221240401268,0.0,0.010918745771050453,0.0,0.0,0.0,0.0,0.1371975690126419,0.0004999180720356365,
39,True,,,,,0.0,,,,,,0.003206283552572131,0.08427566289901733,0.0,0.011633850634098053,0.0,0.0,0.0,0.0,0.06403213739395142,0.0004999081506389436,
40,True,,,,,0.0,,,,,,0.0030446581076830626,0.07004648447036743,0.0,0.01004930678755045,0.0,0.0,0.0,0.0,0.10864311456680298,0.0004998976624638906,
41,True,,,,,0.0,,,,,,0.007963813841342926,0.14478394389152527,0.0,0.022442208603024483,0.0,0.0,0.0,0.0,0.12555797398090363,0.0004998866075369082,
42,True,,,,,0.0,,,,,,0.0052681779488921165,0.10937167704105377,0.0,0.01620534621179104,0.0,0.0,0.0,0.0,0.09590142965316772,0.0004998749858858554,
43,True,,,,,0.0,,,,,,0.004127555061131716,0.12623584270477295,0.0,0.016751140356063843,0.0,0.0,0.0,0.0,0.10087486356496811,0.0004998627975400191,
44,True,,,,,0.0,,,,,,0.0031252456828951836,0.07898607105016708,0.0,0.011023852974176407,0.0,0.0,0.0,0.0,0.06669870764017105,0.0004998500425301146,
45,True,,,,,0.0,,,,,,0.0070363483391702175,0.10919621586799622,0.0,0.017955970019102097,0.0,0.0,0.0,0.0,0.09247823804616928,0.0004998367208882849,
46,True,,,,,0.0,,,,,,0.0038047346752136946,0.10389712452888489,0.0,0.014194447547197342,0.0,0.0,0.0,0.0,0.09924370795488358,0.0004998228326481012,
47,True,,,,,0.0,,,,,,0.0030747726559638977,0.07023194432258606,0.0,0.010097967460751534,0.0,0.0,0.0,0.0,0.06068678945302963,0.0004998083778445626,
48,True,,,,,0.0,,,,,,0.004871963523328304,0.103729248046875,0.0,0.01524488814175129,0.0,0.0,0.0,0.0,0.08224283158779144,0.0004997933565140958,
49,True,,,,,0.0,,,,,,0.0019939851481467485,0.06394575536251068,0.0,0.008388561196625233,0.0,0.0,0.0,0.0,0.05481811985373497,0.0004997777686945551,
50,True,,,,,0.0,,,,,,0.0025555742904543877,0.07355598360300064,0.0,0.009911172091960907,0.0,0.0,0.0,0.0,0.05348252132534981,0.0004997616144252225,
51,True,,,,,0.0,,,,,,0.0023919492959976196,0.07283098995685577,0.0,0.009675048291683197,0.0,0.0,0.0,0.0,0.07923959940671921,0.0004997448937468076,
52,True,,,,,0.0,,,,,,0.0058395517989993095,0.11743789911270142,0.0,0.017583342269062996,0.0,0.0,0.0,0.0,0.09214809536933899,0.0004997276067014472,
53,True,,,,,0.0,,,,,,0.003227646229788661,0.07094363868236542,0.0,0.010322010144591331,0.0,0.0,0.0,0.0,0.0817645862698555,0.0004997097533327051,
54,True,,,,,0.0,,,,,,0.004771667532622814,0.0949452593922615,0.0,0.014266193844377995,0.0,0.0,0.0,0.0,0.07454422116279602,0.0004996913336855729,
55,True,,,,,0.0,,,,,,0.006133853457868099,0.10018313676118851,0.0,0.016152167692780495,0.0,0.0,0.0,0.0,0.05997190624475479,0.0004996723478064689,
56,True,,,,,0.0,,,,,,0.004784459713846445,0.09278617799282074,0.0,0.014063077047467232,0.0,0.0,0.0,0.0,0.1152113676071167,0.0004996527957432384,
57,True,,,,,0.0,,,,,,0.0033422899432480335,0.07396902143955231,0.0,0.010739192366600037,0.0,0.0,0.0,0.0,0.08483106642961502,0.0004996326775451531,
58,True,,,,,0.0,,,,,,0.006658035796135664,0.08806414902210236,0.0,0.015464451164007187,0.0,0.0,0.0,0.0,0.04828302562236786,0.0004996119932629121,
59,True,,,,,0.0,,,,,,0.002701020333915949,0.07943929731845856,0.0,0.010644949972629547,0.0,0.0,0.0,0.0,0.09396105259656906,0.0004995907429486405,
60,True,,,,,0.0,,,,,,0.006662238389253616,0.10462625324726105,0.0,0.01712486520409584,0.0,0.0,0.0,0.0,0.07938918471336365,0.0004995689266558902,
61,True,,,,,0.0,,,,,,0.002770064165815711,0.08055141568183899,0.0,0.010825206525623798,0.0,0.0,0.0,0.0,0.06991445273160934,0.0004995465444396389,
62,True,,,,,0.0,,,,,,0.0040709273889660835,0.09090128540992737,0.0,0.013161055743694305,0.0,0.0,0.0,0.0,0.08225186914205551,0.0004995235963562912,
63,True,,,,,0.0,,,,,,0.005466819740831852,0.09876556694507599,0.0,0.01534337643533945,0.0,0.0,0.0,0.0,0.09049578756093979,0.0004995000824636769,
