step,applied,reason,joint_w4_loss,cycle_loss,teacher_mse,budget_penalty,dual_mse,dual_ssim,block,discriminator_loss,discriminator_applied,reconstruction_mse,perceptual_loss,preservation_mse,loss,residual_loss,trust_loss,spectral_loss,adversarial_loss,grad_norm,learning_rate,reconstruction_gradient_norm,preservation_gradient_norm
1,True,,,,,0.0,,,,,,0.0007267091423273087,0.0,0.0002101793943438679,0.0008317988249473274,0.0,0.0,0.0,0.0,4.616209480445832e-05,0.0005,,
2,True,,,,,0.0,,,,,,0.000991074019111693,0.0,0.0002556369872763753,0.0011188925709575415,0.0,0.0,0.0,0.0,5.5200936913024634e-05,0.001,,
3,True,,,,,0.0,,,,,,0.0003957120643462986,0.0,0.00011662524775601923,0.0004540247027762234,0.0,0.0,0.0,0.0,3.521528924466111e-05,0.0015,,
4,True,,,,,0.0,,,,,,0.0006432699738070369,0.0,0.00018447067122906446,0.0007355053094215691,0.0,0.0,0.0,0.0,3.5500423109624535e-05,0.002,,
5,True,,,,,0.0,,,,,,0.0006747724837623537,0.0,0.00021360389655455947,0.0007815744029358029,0.0,0.0,0.0,0.0,3.811596616287716e-05,0.0025,,
6,True,,,,,0.0,,,,,,0.00024984724586829543,0.0,9.819609113037586e-05,0.00029894529143348336,0.0,0.0,0.0,0.0,4.1999017412308604e-05,0.003,,
7,True,,,,,0.0,,,,,,0.0005971811478957534,0.0,0.0001780180900823325,0.0006861902074888349,0.0,0.0,0.0,0.0,3.6671215639216825e-05,0.0035000000000000005,,
8,True,,,,,0.0,,,,,,0.0004526105185505003,0.0,0.00011249131057411432,0.000508856144733727,0.0,0.0,0.0,0.0,2.2414418708649464e-05,0.004,,
9,True,,,,,0.0,,,,,,0.0006382873980328441,0.0,0.00010500172356842086,0.0006907882634550333,0.0,0.0,0.0,0.0,2.3349532057181932e-05,0.0045,,
10,True,,,,,0.0,,,,,,0.0004768997896462679,0.0,0.0001052018124028109,0.0005295007140375674,0.0,0.0,0.0,0.0,1.7951100744539872e-05,0.005,,
11,True,,,,,0.0,,,,,,0.0002740115160122514,0.0,8.621212327852845e-05,0.0003171175776515156,0.0,0.0,0.0,0.0,1.5980249372660182e-05,0.0055,,
12,True,,,,,0.0,,,,,,0.00041008717380464077,0.0,0.00010556037159403786,0.0004628673486877233,0.0,0.0,0.0,0.0,1.9176810383214615e-05,0.006,,
13,True,,,,,0.0,,,,,,0.0006319239037111402,0.0,0.00020133843645453453,0.0007325931219384074,0.0,0.0,0.0,0.0,4.9298570957034826e-05,0.006500000000000001,,
14,True,,,,,0.0,,,,,,0.0005139713175594807,0.0,0.000122476601973176,0.0005752096185460687,0.0,0.0,0.0,0.0,2.785139986372087e-05,0.007000000000000001,,
15,True,,,,,0.0,,,,,,0.000363888218998909,0.0,9.777425293577835e-05,0.000412775349104777,0.0,0.0,0.0,0.0,2.2343430828186683e-05,0.0075,,
16,True,,,,,0.0,,,,,,0.0004788353689946234,0.0,0.00011297164019197226,0.0005353211890906096,0.0,0.0,0.0,0.0,2.2086023818701506e-05,0.008,,
17,True,,,,,0.0,,,,,,0.0003076900902669877,0.0,7.538880890933797e-05,0.00034538449835963547,0.0,0.0,0.0,0.0,2.8656146241701208e-05,0.0085,,
18,True,,,,,0.0,,,,,,0.00039360305527225137,0.0,8.959833940025419e-05,0.0004384022322483361,0.0,0.0,0.0,0.0,1.613722270121798e-05,0.009,,
19,True,,,,,0.0,,,,,,0.00031119835330173373,0.0,8.240743045462295e-05,0.000352402072167024,0.0,0.0,0.0,0.0,1.7783529983717017e-05,0.0095,,
20,True,,,,,0.0,,,,,,0.00047196572995744646,0.0,0.00016470765694975853,0.0005543195875361562,0.0,0.0,0.0,0.0,4.0183382225222886e-05,0.01,,
