step,applied,reason,joint_w4_loss,cycle_loss,teacher_mse,budget_penalty,dual_mse,dual_ssim,block,discriminator_loss,discriminator_applied,reconstruction_mse,perceptual_loss,preservation_mse,loss,residual_loss,trust_loss,spectral_loss,adversarial_loss,grad_norm,learning_rate,reconstruction_gradient_norm,teacher_gradient_norm,preservation_gradient_norm
65,True,,,,0.0005583791644312441,0.0,,,,,,0.0030966622289270163,0.0551142618060112,5.282290658215061e-05,0.009192879311740398,0.0,0.0,0.0,0.0,8.756858733249828e-05,0.009989027149781974,,,
66,True,,,,0.00166192720644176,0.0,,,,,,0.006730882450938225,0.07985241711139679,0.00011573195661185309,0.01643591746687889,0.0,0.0,0.0,0.0,0.00013754489191342145,0.009988522930598478,,,
67,True,,,,0.0007926851976662874,0.0,,,,,,0.006296849809587002,0.09270232170820236,5.1941500714747235e-05,0.01638573780655861,0.0,0.0,0.0,0.0,0.0001325071934843436,0.009988007400141208,,,
68,True,,,,0.0014726221561431885,0.0,,,,,,0.003971880301833153,0.07176342606544495,0.00010002691851696,0.012670859694480896,0.0,0.0,0.0,0.0,0.00012027491175103933,0.009987480559709326,,,
69,True,,,,0.0006938991136848927,0.0,,,,,,0.006640447303652763,0.07505267858505249,6.880148430354893e-05,0.014874015003442764,0.0,0.0,0.0,0.0,0.00011468670709291473,0.00998694241063049,,,
70,True,,,,0.0011122156865894794,0.0,,,,,,0.004174390807747841,0.0660613626241684,9.981243056245148e-05,0.011942649260163307,0.0,0.0,0.0,0.0,0.00010411066614324227,0.009986392954260861,,,
71,True,,,,0.0006580051849596202,0.0,,,,,,0.0031902629416435957,0.056922730058431625,5.237120421952568e-05,0.009566727094352245,0.0,0.0,0.0,0.0,0.00010460177873028442,0.009985832191985093,,,
72,True,,,,0.0007353861583396792,0.0,,,,,,0.004418732598423958,0.06171704828739166,5.4003321565687656e-05,0.011352825909852982,0.0,0.0,0.0,0.0,8.553301449865103e-05,0.00998526012521633,,,
73,True,,,,0.0005448195151984692,0.0,,,,,,0.003217612160369754,0.05471298098564148,4.8666530346963555e-05,0.00925806351006031,0.0,0.0,0.0,0.0,8.802958473097533e-05,0.009984676755396204,,,
74,True,,,,0.0016166630666702986,0.0,,,,,,0.004057988524436951,0.07447045296430588,0.00015130903921090066,0.01319735124707222,0.0,0.0,0.0,0.0,0.00011549251939868554,0.009984082083994837,,,
75,True,,,,0.0007712393999099731,0.0,,,,,,0.0055212220177054405,0.08372653275728226,5.2966941439080983e-05,0.014691597782075405,0.0,0.0,0.0,0.0,0.00011191071826033294,0.009983476112510823,,,
76,True,,,,0.0014443503459915519,0.0,,,,,,0.005756852682679892,0.06480187922716141,9.047970524989069e-05,0.013726630248129368,0.0,0.0,0.0,0.0,8.841195813147351e-05,0.009982858842471238,,,
77,True,,,,0.0006957097793929279,0.0,,,,,,0.004014877602458,0.054111678153276443,6.695818592561409e-05,0.010155235417187214,0.0,0.0,0.0,0.0,0.00010916175233433023,0.009982230275431629,,,
78,True,,,,0.0010731408838182688,0.0,,,,,,0.004701928235590458,0.07746787369251251,8.11780701042153e-05,0.013562444597482681,0.0,0.0,0.0,0.0,0.00011527061724336818,0.009981590412976013,,,
79,True,,,,0.000625555170699954,0.0,,,,,,0.0015996996080502868,0.037499986588954926,4.566665302263573e-05,0.005998087115585804,0.0,0.0,0.0,0.0,7.53349595470354e-05,0.009980939256716873,,,
80,True,,,,0.0006825405871495605,0.0,,,,,,0.0015414853114634752,0.060391753911972046,6.017101259203628e-05,0.00829328689724207,0.0,0.0,0.0,0.0,0.00013691576896235347,0.009980276808295148,,,
81,True,,,,0.000527172174770385,0.0,,,,,,0.0036332537420094013,0.06642359495162964,4.8196379793807864e-05,0.01082688383758068,0.0,0.0,0.0,0.0,0.0001126835195464082,0.009979603069380236,,,
82,True,,,,0.0015138601884245872,0.0,,,,,,0.0070268562994897366,0.08775073289871216,0.0001282027515117079,0.017379891127347946,0.0,0.0,0.0,0.0,0.00014932005433365703,0.009978918041669994,,,
83,True,,,,0.0007115152548067272,0.0,,,,,,0.002808627439662814,0.048273131251335144,6.139640026958659e-05,0.00837815459817648,0.0,0.0,0.0,0.0,8.778632764006034e-05,0.009978221726890717,,,
84,True,,,,0.0013637598603963852,0.0,,,,,,0.0019828907679766417,0.06323309242725372,9.495577978668734e-05,0.00971743743866682,0.0,0.0,0.0,0.0,0.00011535196972545236,0.009977514126797149,,,
85,True,,,,0.0006584119983017445,0.0,,,,,,0.0029770764522254467,0.07039869576692581,6.810251215938479e-05,0.010709408670663834,0.0,0.0,0.0,0.0,0.00012526936188805848,0.009976795243172474,,,
86,True,,,,0.001024817582219839,0.0,,,,,,0.004426022991538048,0.05621232092380524,0.00012314089690335095,0.011133642867207527,0.0,0.0,0.0,0.0,9.023704478750005e-05,0.009976065077828312,,,
87,True,,,,0.0006362101412378252,0.0,,,,,,0.0021084905602037907,0.04885067045688629,5.502763815457001e-05,0.007657281588762999,0.0,0.0,0.0,0.0,0.00010458315955474973,0.00997532363260471,,,
88,True,,,,0.0006853858358226717,0.0,,,,,,0.0034745759330689907,0.06415876746177673,4.847238233196549e-05,0.0106000741943717,0.0,0.0,0.0,0.0,0.00010294095409335569,0.00997457090937014,,,
89,True,,,,0.0005032975459471345,0.0,,,,,,0.003762455191463232,0.07901540398597717,4.987569627701305e-05,0.012192231602966785,0.0,0.0,0.0,0.0,0.000125957652926445,0.0099738069100215,,,
90,True,,,,0.0014824996469542384,0.0,,,,,,0.0035233069211244583,0.05786767974495888,0.00013167911674827337,0.010858414694666862,0.0,0.0,0.0,0.0,9.085458441404626e-05,0.009973031636484105,,,
91,True,,,,0.0007006553933024406,0.0,,,,,,0.0034144315868616104,0.0561830997467041,7.10162494215183e-05,0.009768905118107796,0.0,0.0,0.0,0.0,9.727984433993697e-05,0.009972245090711672,,,
92,True,,,,0.0013161435490474105,0.0,,,,,,0.0063046859577298164,0.08503562211990356,0.00010097037738887593,0.01617487706243992,0.0,0.0,0.0,0.0,0.00011796601029345766,0.009971447274686332,,,
93,True,,,,0.0006203345838002861,0.0,,,,,,0.006071265321224928,0.0839957445859909,7.795605051796883e-05,0.015130151994526386,0.0,0.0,0.0,0.0,0.0001238542899955064,0.009970638190418619,,,
94,True,,,,0.0009981576586142182,0.0,,,,,,0.004289319273084402,0.06438668072223663,0.00010361617751186714,0.011777954176068306,0.0,0.0,0.0,0.0,9.090125240618363e-05,0.00996981783994746,,,
95,True,,,,0.0005938321119174361,0.0,,,,,,0.003576430259272456,0.07476527243852615,5.542360304389149e-05,0.01167450100183487,0.0,0.0,0.0,0.0,0.00010771189408842474,0.00996898622534017,,,
96,True,,,,0.0006430831854231656,0.0,,,,,,0.004443329758942127,0.07309658825397491,4.660183913074434e-05,0.012419372797012329,0.0,0.0,0.0,0.0,9.714553016237915e-05,0.00996814334869246,,,
97,True,,,,0.00047540123341605067,0.0,,,,,,0.0024389389436692,0.05215638875961304,5.521786442841403e-05,0.008157587610185146,0.0,0.0,0.0,0.0,8.670479292050004e-05,0.009967289212128413,,,
98,True,,,,0.0014098979299888015,0.0,,,,,,0.0030755845364183187,0.062266718596220016,0.00013703026343137026,0.010780669748783112,0.0,0.0,0.0,0.0,0.00010406765795778483,0.009966423817800489,,,
99,True,,,,0.0006864792667329311,0.0,,,,,,0.005703338421881199,0.08180885761976242,6.315207428997383e-05,0.014602279290556908,0.0,0.0,0.0,0.0,0.00012793627684004605,0.009965547167889523,,,
