candidate,source,method,bits,clip,step,psnr,ssim,budget_violation_fraction,psnr_p05,min_psnr,quality_violation_fraction,target_mse,feasible,semantic_lowpass_mse,generated_reference_mse,natural_validation_mse,natural_validation_lpips,natural_validation_residual,natural_validation_spectral,natural_validation_cycle,selection_objective,teacher_search_mse
natural_teacher_rounding_w4_c1.0_step0,rtn_fallback,natural_teacher_rounding,4,1.0,0,33.350563049316406,0.943604588508606,,29.569313049316406,28.79359245300293,0.0,0.004609984279966284,True,8.52526811286225e-05,0.0005406601558206603,0.004609984279966284,0.08563281597889727,,,,0.014827995762595948,0.0016121035441756248
natural_teacher_rounding_w4_c1.0_step100,natural_teacher_rounding,natural_teacher_rounding,4,1.0,100,31.730804443359375,0.9071434140205383,,27.12135124206543,26.530792236328125,0.0,0.004050213261564295,True,7.386814158962806e-05,0.000815182003134396,0.004050213261564295,0.06496081190562109,,,,0.011480383375203473,0.0008971548522822559
natural_teacher_rounding_w4_c1.0_step200,natural_teacher_rounding,natural_teacher_rounding,4,1.0,200,31.021982192993164,0.8857122659683228,,26.297000885009766,25.633562088012695,0.10000000149011612,0.003975829370517658,True,8.302019487018696e-05,0.000977509529911913,0.003975829370517658,0.062969062346383,,,,0.011007640155855824,0.0006933944532647729
natural_teacher_rounding_w4_c1.0_step300,natural_teacher_rounding,natural_teacher_rounding,4,1.0,300,30.64272689819336,0.8705466389656067,,25.710773468017578,25.166461944580078,0.15000000596046448,0.0039023066314882726,True,7.34620411094511e-05,0.001071067518205382,0.0039023066314882726,0.06145451368865906,,,,0.01066381159277512,0.0005793225718662143
natural_teacher_rounding_w4_c1.0_step400,natural_teacher_rounding,natural_teacher_rounding,4,1.0,400,30.43060874938965,0.8625502586364746,,25.324846267700195,24.855998992919922,0.20000000298023224,0.003863466951202099,True,9.467340023547877e-05,0.0011351233421009964,0.003863466951202099,0.061551737857371336,,,,0.010560581668846682,0.0004946042317897081
natural_teacher_rounding_w4_c1.0_step500,natural_teacher_rounding,natural_teacher_rounding,4,1.0,500,30.211833953857422,0.854647159576416,,25.036840438842773,24.480398178100586,0.30000001192092896,0.0038724197001727134,True,7.767324459564406e-05,0.0011968548395088873,0.0038724197001727134,0.05972548178397119,,,,0.010342716435269494,0.00045891193440183997
natural_teacher_rounding_w4_c1.0_step600,natural_teacher_rounding,natural_teacher_rounding,4,1.0,600,30.13498306274414,0.8511964082717896,,24.770559310913086,24.357301712036133,0.3499999940395355,0.00383048634091665,True,8.300687068185653e-05,0.0012276104433112777,0.00383048634091665,0.05979812172881793,,,,0.010279835068672583,0.000428033119533211
natural_teacher_rounding_w4_c1.0_step700,natural_teacher_rounding,natural_teacher_rounding,4,1.0,700,30.062667846679688,0.8483775854110718,,24.759355545043945,24.296531677246094,0.3499999940395355,0.0038411358421512887,True,8.978920304798521e-05,0.0012520289979875087,0.0038411358421512887,0.059128971239260864,,,,0.010204171107318416,0.0004052435397170484
natural_teacher_rounding_w4_c1.0_step800,natural_teacher_rounding,natural_teacher_rounding,4,1.0,800,30.062335968017578,0.8494885563850403,,24.81867790222168,24.335432052612305,0.3499999940395355,0.0038173228841742457,True,8.308357682835776e-05,0.001249186453060247,0.0038173228841742457,0.059173081597691635,,,,0.010163663704884128,0.00038749087252654135
natural_teacher_rounding_w4_c1.0_step900,natural_teacher_rounding,natural_teacher_rounding,4,1.0,900,30.01296043395996,0.8471654057502747,,24.718605041503906,24.279327392578125,0.3499999940395355,0.0037923728282720504,True,8.787325459707063e-05,0.0012617770655197092,0.0037923728282720504,0.058764066197909415,,,,0.010085757594558232,0.00037304151919670403
natural_teacher_rounding_w4_c1.0_step1000,natural_teacher_rounding,natural_teacher_rounding,4,1.0,1000,30.0036563873291,0.8468496203422546,,24.729089736938477,24.274188995361328,0.3499999940395355,0.003814711277172478,True,9.082765736820875e-05,0.0012635301798582077,0.003814711277172478,0.05851953833916923,,,,0.010078031493466711,0.0003659525536932051
natural_teacher_rounding_w4_c1.0_step1100,natural_teacher_rounding,natural_teacher_rounding,4,1.0,1100,30.071950912475586,0.8477994203567505,,24.810163497924805,24.32518196105957,0.3499999940395355,0.003790846871694953,True,7.443663271260448e-05,0.0012457651871955022,0.003790846871694953,0.05803728996033897,,,,0.009994821220740847,0.00036302703665569425
natural_teacher_rounding_w4_c1.0_step1200,natural_teacher_rounding,natural_teacher_rounding,4,1.0,1200,29.911224365234375,0.8454939723014832,,24.721555709838867,24.21978187561035,0.3499999940395355,0.0037935283154268973,True,0.00010989652218995616,0.0012860085189458914,0.0037935283154268973,0.057829357483569765,,,,0.009982059261446352,0.00035064693656750023
natural_teacher_rounding_w4_c1.0_step1300,natural_teacher_rounding,natural_teacher_rounding,4,1.0,1300,30.055450439453125,0.8468877077102661,,24.81716537475586,24.330352783203125,0.3499999940395355,0.003775917846326138,True,7.813646789145423e-05,0.001247717511432711,0.003775917846326138,0.057633697550045326,,,,0.009925879523382263,0.0003475236881058663
natural_teacher_rounding_w4_c1.0_step1400,natural_teacher_rounding,natural_teacher_rounding,4,1.0,1400,30.003162384033203,0.8461189270019531,,24.84054946899414,24.33039093017578,0.3499999940395355,0.003774279972532213,True,9.718834171508206e-05,0.0012575392975122668,0.003774279972532213,0.057774797602178296,,,,0.009940668951259113,0.0003403150476515293
natural_teacher_rounding_w4_c1.0_step1500,natural_teacher_rounding,natural_teacher_rounding,4,1.0,1500,29.983821868896484,0.8462705612182617,,24.789762496948242,24.3253116607666,0.3499999940395355,0.0037652397445384622,True,9.44792342124856e-05,0.0012685650479397736,0.0037652397445384622,0.05711660323868273,,,,0.009856335462959009,0.00033219577744603157
natural_teacher_rounding_w4_c1.0_step1600,natural_teacher_rounding,natural_teacher_rounding,4,1.0,1600,30.008544921875,0.846697986125946,,24.719057083129883,24.24502182006836,0.3499999940395355,0.0037702448653647025,True,9.158214561466593e-05,0.001269957175827585,0.0037702448653647025,0.05677452019881457,,,,0.00982647937601655,0.00033299141796305776
natural_teacher_rounding_w4_c1.0_step1700,natural_teacher_rounding,natural_teacher_rounding,4,1.0,1700,30.030391693115234,0.8469976186752319,,24.73212432861328,24.24109649658203,0.3499999940395355,0.003761554953655377,True,9.163502636511112e-05,0.0012650297139771283,0.003761554953655377,0.05680551545447088,,,,0.009817563512990547,0.0003296395007055253
natural_teacher_rounding_w4_c1.0_step1800,natural_teacher_rounding,natural_teacher_rounding,4,1.0,1800,30.058568954467773,0.8477938771247864,,24.77556800842285,24.321762084960938,0.3499999940395355,0.0037714274352964594,True,8.34773522001342e-05,0.0012518497460405342,0.0037714274352964594,0.0567203410428192,,,,0.00981515822870449,0.00032995801302604377
natural_teacher_rounding_w4_c1.0_step1900,natural_teacher_rounding,natural_teacher_rounding,4,1.0,1900,30.049678802490234,0.8470565676689148,,24.796480178833008,24.288320541381836,0.3499999940395355,0.0037537508401186415,True,8.202013059417368e-05,0.001252476146328263,0.0037537508401186415,0.05666738416766748,,,,0.00978447669416198,0.0003229773719795048
natural_teacher_rounding_w4_c1.0_step2000,natural_teacher_rounding,natural_teacher_rounding,4,1.0,2000,30.0209903717041,0.8468345403671265,,24.753925323486328,24.301563262939453,0.3499999940395355,0.0037542312322216276,True,9.297477954532951e-05,0.0012613511964445934,0.0037542312322216276,0.05668112485363963,,,,0.009785354210168863,0.00031652310281060636
