step,applied,reason,block,spectral_loss,adversarial_loss,discriminator_loss,discriminator_applied,reconstruction_mse,perceptual_loss,preservation_mse,loss,residual_loss,trust_loss,grad_norm,learning_rate
1,True,,,0.0,0.0,,,0.0006198642659001052,0.0297401025891304,0.0,0.003593874629586935,0.0,0.0,0.06670402735471725,1.0000000000000002e-06
2,True,,,0.0,0.0,,,0.003608355764299631,0.08903715759515762,0.0,0.012512071058154106,0.0,0.0,0.04225530847907066,2.0000000000000003e-06
3,True,,,0.0,0.0,,,0.002476606983691454,0.05212552100419998,0.0,0.0076891593635082245,0.0,0.0,0.03892683982849121,3.0000000000000005e-06
4,True,,,0.0,0.0,,,0.0020081722177565098,0.11907047778367996,0.0,0.013915220275521278,0.0,0.0,0.18522322177886963,4.000000000000001e-06
5,True,,,0.0,0.0,,,0.0024624287616461515,0.07551465928554535,0.0,0.010013895109295845,0.0,0.0,0.050923902541399,5e-06
6,True,,,0.0,0.0,,,0.005449787713587284,0.06801582872867584,0.0,0.012251370586454868,0.0,0.0,0.04850178211927414,6.000000000000001e-06
7,True,,,0.0,0.0,,,0.0028350665234029293,0.0861857458949089,0.0,0.011453641578555107,0.0,0.0,0.045945484191179276,7.000000000000001e-06
8,True,,,0.0,0.0,,,0.0034680021926760674,0.05623538792133331,0.0,0.009091541171073914,0.0,0.0,0.06518201529979706,8.000000000000001e-06
9,True,,,0.0,0.0,,,0.0003146283561363816,0.049348339438438416,0.0,0.005249462090432644,0.0,0.0,0.10708210617303848,9e-06
10,True,,,0.0,0.0,,,0.0015926018822938204,0.04561500623822212,0.0,0.006154102273285389,0.0,0.0,0.0334981232881546,1e-05
11,True,,,0.0,0.0,,,0.0006748278974555433,0.036192987114191055,0.0,0.004294126760214567,0.0,0.0,0.05091404542326927,1e-05
12,True,,,0.0,0.0,,,0.0014939166139811277,0.06045227870345116,0.0,0.007539144717156887,0.0,0.0,0.0648498609662056,9.997196780178902e-06
13,True,,,0.0,0.0,,,0.00330062722787261,0.058827418833971024,0.0,0.009183369576931,0.0,0.0,0.05196220427751541,9.988790613178437e-06
14,True,,,0.0,0.0,,,0.0010135616175830364,0.0677577406167984,0.0,0.0077893356792628765,0.0,0.0,0.05247364938259125,9.97479197203592e-06
15,True,,,0.0,0.0,,,0.0011369273997843266,0.08469431847333908,0.0,0.009606359526515007,0.0,0.0,0.06415721029043198,9.955218297315044e-06
16,True,,,0.0,0.0,,,0.0028929009567946196,0.07173927128314972,0.0,0.01006682775914669,0.0,0.0,0.06991282105445862,9.930093975377127e-06
17,True,,,0.0,0.0,,,0.005114381667226553,0.10875529795885086,0.0,0.015989910811185837,0.0,0.0,0.05628463253378868,9.899450307998715e-06
18,True,,,0.0,0.0,,,0.0017912816256284714,0.07122628390789032,0.0,0.008913910016417503,0.0,0.0,0.045565731823444366,9.863325473373498e-06
19,True,,,0.0,0.0,,,0.000891305913683027,0.06243903934955597,0.0,0.0071352100931108,0.0,0.0,0.07876918464899063,9.821764478547008e-06
20,True,,,0.0,0.0,,,0.001676715794019401,0.05390286073088646,0.0,0.007067001890391111,0.0,0.0,0.06219460815191269,9.77481910334346e-06
21,True,,,0.0,0.0,,,0.0012713087489828467,0.05927268788218498,0.0,0.007198577746748924,0.0,0.0,0.060653045773506165,9.722547835854534e-06
22,True,,,0.0,0.0,,,0.0032395466696470976,0.06289763748645782,0.0,0.009529310278594494,0.0,0.0,0.0521913580596447,9.665015799570497e-06
23,True,,,0.0,0.0,,,0.004827470052987337,0.1226617842912674,0.0,0.01709364913403988,0.0,0.0,0.1472642719745636,9.602294672244439e-06
24,True,,,0.0,0.0,,,0.0010339673608541489,0.051441505551338196,0.0,0.006178117822855711,0.0,0.0,0.04296114295721054,9.534462596590729e-06
25,True,,,0.0,0.0,,,0.005511200055480003,0.07186895608901978,0.0,0.012698095291852951,0.0,0.0,0.04614498093724251,9.461604082928912e-06
26,True,,,0.0,0.0,,,0.004385441076010466,0.11879561841487885,0.0,0.016265003010630608,0.0,0.0,0.09408208727836609,9.38380990389438e-06
27,True,,,0.0,0.0,,,0.0035227739717811346,0.04072092846035957,0.0,0.007594866678118706,0.0,0.0,0.06595302373170853,9.30117698134697e-06
28,True,,,0.0,0.0,,,0.008407583460211754,0.09818852692842484,0.0,0.018226437270641327,0.0,0.0,0.05456792190670967,9.2138082656184e-06
29,True,,,0.0,0.0,,,0.0026517200749367476,0.06053098291158676,0.0,0.008704818785190582,0.0,0.0,0.05045139417052269,9.121812607248966e-06
30,True,,,0.0,0.0,,,0.006215329747647047,0.10652714222669601,0.0,0.016868043690919876,0.0,0.0,0.08025117963552475,9.025304621373337e-06
31,True,,,0.0,0.0,,,0.003394218860194087,0.10249139368534088,0.0,0.013643358834087849,0.0,0.0,0.05779033526778221,8.924404544924355e-06
32,True,,,0.0,0.0,,,0.002004159614443779,0.05615267902612686,0.0,0.007619427517056465,0.0,0.0,0.047565557062625885,8.8192380868328e-06
33,True,,,0.0,0.0,,,0.0012432062067091465,0.05416101962327957,0.0,0.006659308448433876,0.0,0.0,0.05695413053035736,8.709936271409712e-06
34,True,,,0.0,0.0,,,0.0008731904672458768,0.05902456119656563,0.0,0.006775646470487118,0.0,0.0,0.09092485159635544,8.59663527510641e-06
35,True,,,0.0,0.0,,,0.0034349483903497458,0.03891444951295853,0.0,0.007326393388211727,0.0,0.0,0.04861518368124962,8.479476256855603e-06
36,True,,,0.0,0.0,,,0.0027189641259610653,0.07672518491744995,0.0,0.010391483083367348,0.0,0.0,0.04082655534148216,8.358605182204924e-06
37,True,,,0.0,0.0,,,0.0016130502335727215,0.0499863475561142,0.0,0.0066116852685809135,0.0,0.0,0.043510764837265015,8.234172641462046e-06
38,True,,,0.0,0.0,,,0.0032007689587771893,0.05154282599687576,0.0,0.008355051279067993,0.0,0.0,0.04919305443763733,8.106333662077902e-06
39,True,,,0.0,0.0,,,0.005499168299138546,0.06779992580413818,0.0,0.01227916032075882,0.0,0.0,0.039620522409677505,7.975247515501787e-06
