candidate,source,method,bits,clip,step,psnr,ssim,psnr_p05,min_psnr,quality_violation_fraction,target_mse,feasible,semantic_lowpass_mse,generated_reference_mse,natural_validation_mse,natural_validation_lpips,natural_validation_residual,natural_validation_spectral,selection_objective,code_change_fraction_vs_rtn,code_offset_rms,code_offset_ge_one_fraction
natural_residual_qat_w8_c1.0_step0,rtn_fallback,natural_residual_qat,8,1.0,0,57.079551696777344,0.9997357130050659,53.200199127197266,52.35443115234375,0.0,0.00448062992109044,True,3.0512774955582246e-07,2.304731731328502e-06,0.00448062992109044,0.07531345781171694,0.03073531175948574,,0.04274744002562265,0.0,0.0,0.0
natural_residual_qat_w8_c1.0_step100,natural_residual_qat,natural_residual_qat,8,1.0,100,43.36481857299805,0.9952092170715332,38.562171936035156,38.44929504394531,0.0,0.0042461668117539375,True,5.669015689591106e-06,5.8177286791760705e-05,0.0042461668117539375,0.07740922339871759,0.02838873830137345,,0.04037866196084394,0.008116893470287323,0.011579216808927267,0.0
natural_residual_qat_w8_c1.0_step200,natural_residual_qat,natural_residual_qat,8,1.0,200,41.226051330566406,0.9918190836906433,36.32461929321289,36.27523422241211,0.0,0.004166681973458708,True,1.1317627013340825e-05,9.500505047981278e-05,0.004166681973458708,0.07793586751358816,0.027715915329622476,,0.03968184286794667,0.012377089820802212,0.017908391991718862,0.0
natural_residual_qat_w8_c1.0_step300,natural_residual_qat,natural_residual_qat,8,1.0,300,40.073055267333984,0.9889361262321472,35.06166076660156,35.03938293457031,0.0,0.00412584157834317,True,1.4321289222607448e-05,0.00012428062855178722,0.00412584157834317,0.07813095380697632,0.02730874984399634,,0.03925484744764844,0.01567850634455681,0.022876529269630404,0.0
natural_residual_qat_w8_c1.0_step400,natural_residual_qat,natural_residual_qat,8,1.0,400,39.494606018066406,0.9871174693107605,34.50941467285156,34.41725540161133,0.0,0.004100839983721016,True,1.6119643805723172e-05,0.0001414438862411771,0.004100839983721016,0.077693193408777,0.027102366411781986,,0.03898058555828356,0.0180840902030468,0.02651829270936018,0.0
natural_residual_qat_w8_c1.0_step500,natural_residual_qat,natural_residual_qat,8,1.0,500,39.046180725097656,0.9853785634040833,34.04342269897461,33.91780090332031,0.0,0.0040873205045386385,True,1.684824117091921e-05,0.00015678250365454006,0.0040873205045386385,0.0773353698241408,0.026941231915998287,,0.038770513523536464,0.020032044500112534,0.02948329444881572,0.0
natural_residual_qat_w8_c1.0_step600,natural_residual_qat,natural_residual_qat,8,1.0,600,38.72127151489258,0.9841853380203247,33.772361755371094,33.61082458496094,0.0,0.004076320408501033,True,1.7828178033596487e-05,0.000168196897902817,0.004076320408501033,0.07703699651756324,0.026845686105843924,,0.03863462025511808,0.02138710394501686,0.03155378305397955,0.0
natural_residual_qat_w8_c1.0_step700,natural_residual_qat,natural_residual_qat,8,1.0,700,38.52107620239258,0.9832990765571594,33.56968307495117,33.380733489990234,0.0,0.0040664326403430096,True,1.845922538450395e-05,0.00017609529677429237,0.0040664326403430096,0.07687803051521769,0.026776132760801374,,0.0385395980653584,0.02235257811844349,0.03304801677699646,0.0
natural_residual_qat_w8_c1.0_step800,natural_residual_qat,natural_residual_qat,8,1.0,800,38.407066345214844,0.9827305674552917,33.453636169433594,33.235347747802734,0.0,0.004063047630324945,True,1.8643321254785405e-05,0.0001808822726161452,0.004063047630324945,0.07673721514584031,0.026732822623102948,,0.038478913428639315,0.02298700623214245,0.03401749479620144,0.0
natural_residual_qat_w8_c1.0_step900,natural_residual_qat,natural_residual_qat,8,1.0,900,38.32964324951172,0.9823489189147949,33.37590026855469,33.15802001953125,0.0,0.00406092419802917,True,1.8910204653366235e-05,0.000184133693073818,0.00406092419802917,0.07664095659129089,0.02670819328386642,,0.03844266824335136,0.023364460095763206,0.03460055667582787,0.0
natural_residual_qat_w8_c1.0_step1000,natural_residual_qat,natural_residual_qat,8,1.0,1000,38.27971649169922,0.9820505976676941,33.31610107421875,33.09541320800781,0.0,0.004059138725381217,True,1.8950004755424742e-05,0.00018639983427419792,0.004059138725381217,0.07659009973576758,0.02668827967136167,,0.03841590337269735,0.02364948019385338,0.035053548542820334,0.0
