candidate,source,method,bits,clip,step,psnr,ssim,psnr_p05,min_psnr,quality_violation_fraction,target_mse,feasible,semantic_lowpass_mse,selection_objective,generated_reference_mse,natural_validation_mse,natural_validation_lpips,natural_validation_residual,natural_validation_spectral,code_change_fraction_vs_rtn,code_offset_rms,code_offset_ge_one_fraction
natural_residual_w4_c1.0_step100,natural_residual,natural_residual,4,1.0,100,31.1936092376709,0.8862593770027161,26.035242080688477,25.507980346679688,0.44999998807907104,0.003961416695574371,False,4.8521765984332886e-05,0.03689533275125996,0.0009559309444739483,0.003961416695574371,0.07063976769131841,0.02577289575458508,,,,
natural_residual_w4_c1.0_step200,natural_residual,natural_residual,4,1.0,200,30.427440643310547,0.8624047040939331,24.993698120117188,24.68877601623535,0.699999988079071,0.003989208626762775,False,5.8926970996253655e-05,0.03609920570800113,0.001162008311075624,0.003989208626762775,0.0668679169320967,0.025305351446036184,,,,
natural_residual_w4_c1.0_step300,natural_residual,natural_residual,4,1.0,300,30.012313842773438,0.846459686756134,24.34644317626953,24.187454223632812,0.699999988079071,0.003943966238438179,False,5.831440848851344e-05,0.035376924034920876,0.00129344975866843,0.003943966238438179,0.06427247040483053,0.024889081939022617,,,,
natural_residual_w4_c1.0_step400,natural_residual,natural_residual,4,1.0,400,29.81118392944336,0.8367961049079895,24.212690353393555,23.843338012695312,0.699999988079071,0.003944411460565789,False,6.154701595733059e-05,0.035103513927947465,0.0013636062925797888,0.003944411460565789,0.0627314083139936,0.02476286760406765,,,,
natural_residual_w4_c1.0_step500,natural_residual,natural_residual,4,1.0,500,29.808547973632812,0.833304762840271,24.059118270874023,23.632617950439453,0.75,0.003883384039511384,False,5.422078611445613e-05,0.0347350884743264,0.0013733718296862207,0.003883384039511384,0.06209580909853685,0.024533681952732422,,,,
natural_residual_w4_c1.0_step600,natural_residual,natural_residual,4,1.0,600,29.77799415588379,0.8306690454483032,24.017051696777344,23.663558959960938,0.75,0.0038759863954851426,False,5.068423324701143e-05,0.034460705356957534,0.0013826308873831294,0.0038759863954851426,0.061134160594519926,0.024369934435526375,,,,
natural_residual_w4_c1.0_step700,natural_residual,natural_residual,4,1.0,700,29.72572898864746,0.8272867202758789,23.896825790405273,23.579875946044922,0.75,0.0038830698810556896,False,5.047258455306292e-05,0.03430526724831679,0.0014121799831627868,0.0038830698810556896,0.06039970002893824,0.024281282195261156,,,,
natural_residual_w4_c1.0_step800,natural_residual,natural_residual,4,1.0,800,29.757427215576172,0.8282808065414429,24.000394821166992,23.67642593383789,0.75,0.003835540483223099,False,5.2118631901976184e-05,0.03412893045419594,0.0013900653197197244,0.003835540483223099,0.06025287578086136,0.02416386512908275,,,,
natural_residual_w4_c1.0_step900,natural_residual,natural_residual,4,1.0,900,29.753976821899414,0.828773021697998,23.965055465698242,23.653846740722656,0.75,0.0038389175133488607,False,5.624913610517979e-05,0.03405725332892189,0.0013954292109701783,0.0038389175133488607,0.05983562813344179,0.02412227473001849,,,,
natural_residual_w4_c1.0_step1000,natural_residual,natural_residual,4,1.0,1000,29.73284339904785,0.827172577381134,23.943273544311523,23.592432022094727,0.75,0.0038494102519166518,False,5.262839149509091e-05,0.03403870748105647,0.001406786909501534,0.0038494102519166518,0.0595810708218778,0.02412593336396185,,,,
natural_residual_qat_w4_c1.0_step0,rtn_fallback,natural_residual_qat,4,1.0,0,33.35065841674805,0.943604588508606,29.569433212280273,28.793678283691406,0.0,0.004610004772871434,True,8.52470307108888e-05,0.044815149041369295,0.0005406524978752714,0.004610004772871434,0.08563141724152956,0.03147150848292313,,0.0,0.0,0.0
natural_residual_qat_w4_c1.0_step100,natural_residual_qat,natural_residual_qat,4,1.0,100,32.235015869140625,0.9124765396118164,27.362314224243164,26.703277587890625,0.4000000059604645,0.003994225092185388,True,3.9657063553022454e-05,0.0374152142636035,0.0007391231280053035,0.003994225092185388,0.07320557753700996,0.026021117290611073,,0.007823014631867409,0.00986141373640053,0.0
natural_residual_qat_w4_c1.0_step200,natural_residual_qat,natural_residual_qat,4,1.0,200,31.3233585357666,0.8880265355110168,26.14191436767578,25.596887588500977,0.44999998807907104,0.0039875749024531615,False,4.382545557746198e-05,0.03645070823303058,0.0009352628003398422,0.0039875749024531615,0.06842915208108025,0.025532567211314472,,0.010998673737049103,0.013961965528566602,0.0
natural_residual_qat_w4_c1.0_step300,natural_residual_qat,natural_residual_qat,4,1.0,300,30.826528549194336,0.8725296258926392,25.31838607788086,25.013750076293945,0.6499999761581421,0.003933871613838846,False,5.481087109728833e-05,0.03579655244968194,0.0010596836742479353,0.003933871613838846,0.06665799081747537,0.02508726001190098,,0.013115779496729374,0.016654425667676002,0.0
natural_residual_qat_w4_c1.0_step400,natural_residual_qat,natural_residual_qat,4,1.0,400,30.591333389282227,0.8633902668952942,25.037017822265625,24.642297744750977,0.699999988079071,0.003950191969892103,False,4.328001441535889e-05,0.03539279418324099,0.0011302120590698905,0.003950191969892103,0.06457912922633113,0.02489812926188506,,0.014550370164215565,0.01849519688542613,0.0
natural_residual_qat_w4_c1.0_step500,natural_residual_qat,natural_residual_qat,4,1.0,500,30.406291961669922,0.8571505546569824,24.79802894592285,24.407730102539062,0.699999988079071,0.00390871103451218,False,6.144296057755127e-05,0.03516486372349163,0.0011827431677374988,0.00390871103451218,0.064026660475065,0.024730600720317852,,0.01563957892358303,0.019916188460441155,0.0
natural_residual_qat_w4_c1.0_step600,natural_residual_qat,natural_residual_qat,4,1.0,600,30.370737075805664,0.8526071310043335,24.68502426147461,24.324705123901367,0.699999988079071,0.0038895933235778557,False,4.529636344159371e-05,0.0348914019311394,0.001197593056713231,0.0038895933235778557,0.06316653139947448,0.024594562740730908,,0.016342375427484512,0.020796638650477237,0.0
natural_residual_qat_w4_c1.0_step700,natural_residual_qat,natural_residual_qat,4,1.0,700,30.251745223999023,0.8467608690261841,24.468839645385742,24.173629760742188,0.699999988079071,0.0038959353090319837,False,4.8011684884841085e-05,0.0347313803932991,0.001240327952837106,0.0038959353090319837,0.0623835977530689,0.02450106193919055,,0.016792424023151398,0.021380496453541415,0.0
natural_residual_qat_w4_c1.0_step800,natural_residual_qat,natural_residual_qat,4,1.0,800,30.254257202148438,0.846209704875946,24.473093032836914,24.140792846679688,0.699999988079071,0.003874071387940603,False,4.6241055042628434e-05,0.03461611315510709,0.0012402382199070416,0.003874071387940603,0.06219510966548114,0.024430048690533113,,0.01705309934914112,0.02172325236621211,0.0
natural_residual_qat_w4_c1.0_step900,natural_residual_qat,natural_residual_qat,4,1.0,900,30.249553680419922,0.8461615443229675,24.46754264831543,24.1457576751709,0.699999988079071,0.003870068933892412,False,4.649754400816164e-05,0.034560131094880826,0.0012410589086357504,0.003870068933892412,0.062016600524657406,0.024395407020506354,,0.01720314286649227,0.02192746920181928,0.0
natural_residual_qat_w4_c1.0_step1000,natural_residual_qat,natural_residual_qat,4,1.0,1000,30.207983016967773,0.8448699116706848,24.432893753051758,24.063209533691406,0.699999988079071,0.0038767796548597744,False,4.6910551918699636e-05,0.03454758991120457,0.0012564668446430004,0.0038767796548597744,0.061887888332421426,0.024388200319265252,,0.017322247847914696,0.02207896555637191,0.0
natural_residual_w8_c1.0_step0,rtn_fallback,natural_residual,8,1.0,0,57.079833984375,0.9997356534004211,53.20294952392578,52.35723114013672,0.0,0.004480636581718045,True,3.0519668321460357e-07,0.0427479024669914,2.3042802979489354e-06,0.004480636581718045,0.07531318787368946,0.030735336704537985,,,,
natural_residual_w8_c1.0_step100,natural_residual,natural_residual,8,1.0,100,42.428646087646484,0.9939142465591431,37.640830993652344,37.52288055419922,0.0,0.004207557761560565,True,8.203854849853088e-06,0.04013971162232792,7.222922122309682e-05,0.004207557761560565,0.07810248383611906,0.028105497767455745,,,,
natural_residual_w8_c1.0_step200,natural_residual,natural_residual,8,1.0,200,40.74474334716797,0.9904203414916992,35.85237121582031,35.82904052734375,0.0,0.004135327948688428,True,9.972578925498966e-06,0.03948954400741513,0.0001058639626535296,0.004135327948688428,0.07827786383131752,0.027506484517743957,,,,
natural_residual_w8_c1.0_step300,natural_residual,natural_residual,8,1.0,300,39.81792449951172,0.9876145124435425,34.83796310424805,34.74435806274414,0.0,0.004102424701216023,True,1.023381398681522e-05,0.03908443329781903,0.00013149723163223824,0.004102424701216023,0.07819003285112558,0.02714253768351682,,,,
natural_residual_w8_c1.0_step400,natural_residual,natural_residual,8,1.0,400,39.29529571533203,0.9858919978141785,34.33224105834961,34.18564224243164,0.0,0.00408238231489122,True,1.12951875280487e-05,0.03882649744009541,0.00014772357517358614,0.00408238231489122,0.07754576823936077,0.026966947926212015,,,,
natural_residual_w8_c1.0_step500,natural_residual,natural_residual,8,1.0,500,38.85999298095703,0.9840885996818542,33.89794921875,33.712860107421875,0.0,0.004073200811944844,True,1.1832904249331477e-05,0.03862571620718427,0.00016321193579642567,0.004073200811944844,0.07705941946915118,0.026822907639825644,,,,
natural_residual_w8_c1.0_step600,natural_residual,natural_residual,8,1.0,600,38.57001495361328,0.982948899269104,33.66359329223633,33.432010650634766,0.0,0.004062556556903019,True,1.2250840904926008e-05,0.03849833020607321,0.00017375922179780902,0.004062556556903019,0.07675639972876525,0.02673563199448381,,,,
natural_residual_w8_c1.0_step700,natural_residual,natural_residual,8,1.0,700,38.37763977050781,0.9820534586906433,33.477020263671875,33.21974182128906,0.0,0.004053123621076793,True,1.2559132187561772e-05,0.038412220503812475,0.00018152216289308855,0.004053123621076793,0.0766275331916404,0.02667122529919652,,,,
natural_residual_w8_c1.0_step800,natural_residual,natural_residual,8,1.0,800,38.2682991027832,0.9814939498901367,33.34290313720703,33.08131790161133,0.0,0.004051848521498869,True,1.3118479932927584e-05,0.038357595220304574,0.00018642640498001128,0.004051848521498869,0.07644201607763534,0.026635308131176316,,,,
natural_residual_w8_c1.0_step900,natural_residual,natural_residual,8,1.0,900,38.19792175292969,0.9811283946037292,33.28318786621094,33.00841522216797,0.0,0.004049962250633143,True,1.321536968816872e-05,0.038324358027080056,0.00018940275967906927,0.004049962250633143,0.07634617312578484,0.026613347724492087,,,,
natural_residual_w8_c1.0_step1000,natural_residual,natural_residual,8,1.0,1000,38.15569305419922,0.9808750152587891,33.239410400390625,32.954307556152344,0.0,0.004048035895010571,True,1.3182378256715311e-05,0.03830053352443769,0.00019134478934574873,0.004048035895010571,0.07630498406069819,0.026595634466843876,,,,
