step,applied,reason,joint_w4_loss,cycle_loss,teacher_mse,budget_penalty,dual_mse,dual_ssim,block,discriminator_loss,discriminator_applied,reconstruction_mse,perceptual_loss,preservation_mse,loss,residual_loss,trust_loss,spectral_loss,adversarial_loss,grad_norm,learning_rate,reconstruction_gradient_norm,cycle_gradient_norm,joint_w4_gradient_norm
37,True,,0.016914894804358482,0.037914834916591644,,0.0,,,,,,0.005316555500030518,0.10760936141014099,0.0,0.033371537923812866,0.0,0.0,0.0,0.0,0.15379920601844788,0.000499927426628967,,,
38,True,,0.011318299919366837,0.04779482260346413,,0.0,,,,,,0.002497322391718626,0.07816394418478012,0.0,0.022109966725111008,0.0,0.0,0.0,0.0,0.26496100425720215,0.0004999180720356365,,,
39,True,,0.012322642840445042,0.038575317710638046,,0.0,,,,,,0.0034050538670271635,0.0824771374464035,0.0,0.02436116337776184,0.0,0.0,0.0,0.0,0.16851583123207092,0.0004999081506389436,,,
40,True,,0.010151645168662071,0.0407208614051342,,0.0,,,,,,0.002772353123873472,0.06415346264839172,0.0,0.019746553152799606,0.0,0.0,0.0,0.0,0.16310083866119385,0.0004998976624638906,,,
41,True,,0.023103738203644753,0.05414292961359024,,0.0,,,,,,0.008085368201136589,0.1372065246105194,0.0,0.04545118659734726,0.0,0.0,0.0,0.0,0.2349015325307846,0.0004998866075369082,,,
42,True,,0.01637985371053219,0.04117901250720024,,0.0,,,,,,0.005409928970038891,0.09933939576148987,0.0,0.03213551267981529,0.0,0.0,0.0,0.0,0.1352130025625229,0.0004998749858858554,,,
43,True,,0.018254108726978302,0.06987808644771576,,0.0,,,,,,0.004375960677862167,0.11890824139118195,0.0,0.03521967679262161,0.0,0.0,0.0,0.0,0.19330845773220062,0.0004998627975400191,,,
44,True,,0.012132599949836731,0.03661246597766876,,0.0,,,,,,0.003365575335919857,0.07748809456825256,0.0,0.023613110184669495,0.0,0.0,0.0,0.0,0.15431497991085052,0.0004998500425301146,,,
45,True,,0.018408913165330887,0.042193375527858734,,0.0,,,,,,0.007231376599520445,0.1002880185842514,0.0,0.03609102591872215,0.0,0.0,0.0,0.0,0.19151106476783752,0.0004998367208882849,,,
46,True,,0.015106950886547565,0.04004254937171936,,0.0,,,,,,0.0038146600127220154,0.10181137919425964,0.0,0.029503174126148224,0.0,0.0,0.0,0.0,0.21319381892681122,0.0004998228326481012,,,
47,True,,0.01128955464810133,0.03917507082223892,,0.0,,,,,,0.003233887953683734,0.06979064643383026,0.0,0.02189425751566887,0.0,0.0,0.0,0.0,0.13688848912715912,0.0004998083778445626,,,
48,True,,0.015538292936980724,0.03753513842821121,,0.0,,,,,,0.004982594400644302,0.09761521965265274,0.0,0.030657760798931122,0.0,0.0,0.0,0.0,0.16974715888500214,0.0004997933565140958,,,
49,True,,0.009089849889278412,0.03785935044288635,,0.0,,,,,,0.002004156354814768,0.06174115091562271,0.0,0.01764671504497528,0.0,0.0,0.0,0.0,0.14978355169296265,0.0004997777686945551,,,
50,True,,0.011329329572618008,0.04818146675825119,,0.0,,,,,,0.0025389273650944233,0.07449954748153687,0.0,0.021800026297569275,0.0,0.0,0.0,0.0,0.13996566832065582,0.0004997616144252225,,,
51,True,,0.011157919652760029,0.0431104376912117,,0.0,,,,,,0.0023343530483543873,0.07514915615320206,0.0,0.021438293159008026,0.0,0.0,0.0,0.0,0.258295476436615,0.0004997448937468076,,,
