candidate,source,method,bits,clip,step,psnr,ssim,budget_violation_fraction,psnr_p05,min_psnr,quality_violation_fraction,target_mse,feasible,semantic_lowpass_mse,generated_reference_mse,natural_validation_mse,natural_validation_lpips,natural_validation_residual,natural_validation_spectral,natural_validation_cycle,selection_objective,joint_w4_objective,joint_w4_psnr,joint_w4_ssim,fp32_feasible,joint_w4_feasible
natural_joint_finetune_w32_c1.0_step0,marked_fp32_fallback,natural_joint_finetune,32,1.0,0,120.0,1.0,,120.0,120.0,0.0,0.0044825395657994704,True,0.0,0.0,0.0044825395657994704,0.07518677371990634,,,0.028499546675448073,0.0258993318078592,0.013613119403314614,33.350563049316406,0.943604588508606,True,True
natural_joint_finetune_w32_c1.0_step100,natural_joint_finetune,natural_joint_finetune,32,1.0,100,27.994487762451172,0.8095601797103882,,23.294721603393555,23.13394546508789,0.44999998807907104,0.004709403323431616,True,0.0002286347978952108,0.0019150955427903681,0.004709403323431616,0.085564754474035,,,0.03584523771860404,0.027711052649701744,0.014086721501680586,27.836034774780273,0.8025578260421753,True,True
natural_joint_finetune_w32_c1.0_step200,natural_joint_finetune,natural_joint_finetune,32,1.0,200,27.346363067626953,0.8114388585090637,,23.169260025024414,22.59708023071289,0.4000000059604645,0.004585990024565945,True,0.0004219828057102859,0.0021409554610727355,0.004585990024565945,0.08075206972716842,,,0.03721161148860119,0.026602527711474977,0.013569214599306179,26.9675235748291,0.8065938949584961,True,True
natural_joint_finetune_w32_c1.0_step300,natural_joint_finetune,natural_joint_finetune,32,1.0,300,28.213211059570312,0.8071945905685425,,23.361902236938477,23.08831214904785,0.44999998807907104,0.004410964300973319,True,0.00019776083463511894,0.0018488339410396293,0.004410964300973319,0.07836283655342413,,,0.03321358443645295,0.02574421977342581,0.01316483597274555,27.98613929748535,0.8007969856262207,True,True
natural_joint_finetune_w32_c1.0_step400,natural_joint_finetune,natural_joint_finetune,32,1.0,400,27.530004501342773,0.7967346906661987,,23.362548828125,22.839262008666992,0.44999998807907104,0.004616865648586099,False,0.0003125652547169011,0.0020559828262776136,0.004616865648586099,0.08435272864880972,,,0.03445080736128148,0.027643565152584412,0.01424691856550453,27.08780860900879,0.7892318367958069,False,False
natural_joint_finetune_w32_c1.0_step500,natural_joint_finetune,natural_joint_finetune,32,1.0,500,28.09122085571289,0.804115891456604,,23.31070899963379,22.554407119750977,0.44999998807907104,0.004389653158796136,True,0.00019895615841960534,0.0019096557516604662,0.004389653158796136,0.07136760631692596,,,0.027411167000536807,0.02422434867875836,0.01242382321826426,27.709768295288086,0.800193190574646,True,True
natural_joint_finetune_w32_c1.0_step600,natural_joint_finetune,natural_joint_finetune,32,1.0,600,27.825923919677734,0.7950277328491211,,23.173336029052734,22.683218002319336,0.44999998807907104,0.004344923131384348,False,0.00026776231316034683,0.0019899696402717383,0.004344923131384348,0.07431143747089664,,,0.026952324391459115,0.024529442610933073,0.01248385248854447,27.609111785888672,0.7887542843818665,False,False
natural_joint_finetune_w32_c1.0_step700,natural_joint_finetune,natural_joint_finetune,32,1.0,700,27.7607364654541,0.8021305203437805,,23.319015502929688,22.858064651489258,0.44999998807907104,0.004409000868236035,False,0.000345377506891964,0.00197655308584217,0.004409000868236035,0.07259333874389995,,,0.02681285748985829,0.024331378955002946,0.012394915637478333,27.523168563842773,0.7988632917404175,True,False
natural_joint_finetune_w32_c1.0_step800,natural_joint_finetune,natural_joint_finetune,32,1.0,800,28.32525062561035,0.8065544366836548,,23.32004737854004,23.056102752685547,0.44999998807907104,0.0042280156790184265,True,0.00017086631924030372,0.0017991146771237255,0.0042280156790184265,0.07058991756639443,,,0.026150995574425906,0.023558793097031412,0.012010275705629283,28.068538665771484,0.8026818037033081,True,True
natural_joint_finetune_w32_c1.0_step900,natural_joint_finetune,natural_joint_finetune,32,1.0,900,28.411834716796875,0.8094223141670227,,23.685514450073242,23.252532958984375,0.4000000059604645,0.004154691189057758,True,0.00019178466172888874,0.0017505271680420265,0.004154691189057758,0.07114388739864808,,,0.029027394881268265,0.02347036599628382,0.01191101211854857,28.17983627319336,0.8063729405403137,True,True
