candidate,source,method,bits,clip,step,psnr,ssim,psnr_p05,min_psnr,quality_violation_fraction,target_mse,feasible,semantic_lowpass_mse,generated_reference_mse,natural_validation_mse,natural_validation_lpips,natural_validation_residual,natural_validation_spectral,selection_objective,code_change_fraction_vs_rtn,code_offset_rms,code_offset_ge_one_fraction
natural_qat_purification_w4_c1.0_step0,rtn_fallback,natural_qat_purification,4,1.0,0,33.350128173828125,0.9434767961502075,29.57149887084961,28.767127990722656,0.0,0.004856428870698437,True,8.513084630976664e-05,0.0005414379287685733,0.004856428870698437,0.09604388605803252,,,0.014631079169121222,0.0,0.0,0.0
natural_qat_purification_w4_c1.0_step10,natural_qat_purification,natural_qat_purification,4,1.0,10,33.72140121459961,0.9443449974060059,29.716859817504883,28.895404815673828,0.0,0.0047903714410495015,True,4.323368229961488e-05,0.0005035260270233266,0.0047903714410495015,0.08570117522031069,,,0.0134469563276798,0.001410365803167224,0.001703421044937711,0.0
natural_qat_purification_w4_c1.0_step20,natural_qat_purification,natural_qat_purification,4,1.0,20,33.30207061767578,0.9416066408157349,29.54842758178711,28.66762351989746,0.05000000074505806,0.004706595238531008,True,6.266858054004842e-05,0.00054535605959245,0.004706595238531008,0.08354450017213821,,,0.013186382416824927,0.0026369793340563774,0.0032527464134968283,0.0
natural_qat_purification_w4_c1.0_step30,natural_qat_purification,natural_qat_purification,4,1.0,30,33.47772216796875,0.9416804313659668,29.542821884155273,28.625171661376953,0.0,0.0046871441998519005,True,4.2385263441246934e-05,0.0005318293573509436,0.0046871441998519005,0.0812542524188757,,,0.012897339968621965,0.003268374130129814,0.00407105347383679,0.0
natural_qat_purification_w4_c1.0_step40,natural_qat_purification,natural_qat_purification,4,1.0,40,33.411800384521484,0.9406349062919617,29.383554458618164,28.368648529052734,0.10000000149011612,0.004692964217974804,True,4.116552827326814e-05,0.0005442116293124854,0.004692964217974804,0.0796274036169052,,,0.012738035636211861,0.0038040808867663145,0.004763463164324314,0.0
natural_qat_purification_w4_c1.0_step50,natural_qat_purification,natural_qat_purification,4,1.0,50,33.72820281982422,0.9438613057136536,29.83341407775879,28.687225341796875,0.0,0.004598837223602459,True,3.3803959013312124e-05,0.0005028150364523754,0.004598837223602459,0.07965376693755388,,,0.012631821835384471,0.004109343979507685,0.005181993850103506,0.0
natural_qat_purification_w4_c1.0_step60,natural_qat_purification,natural_qat_purification,4,1.0,60,33.496768951416016,0.9423367381095886,29.472192764282227,28.561439514160156,0.0,0.0046176493051461875,True,4.8857680212677224e-05,0.0005287092135404237,0.0046176493051461875,0.07839922308921814,,,0.012555286974493356,0.004349372815340757,0.00548946120046826,0.0
natural_qat_purification_w4_c1.0_step70,natural_qat_purification,natural_qat_purification,4,1.0,70,33.59615707397461,0.9426517486572266,29.45570945739746,28.592792510986328,0.0,0.004629444613237865,True,4.128028003833606e-05,0.0005202534674026537,0.004629444613237865,0.07722789477556943,,,0.01243479465087148,0.004480913281440735,0.005655263286359804,0.0
natural_qat_purification_w4_c1.0_step80,natural_qat_purification,natural_qat_purification,4,1.0,80,33.60502243041992,0.9421988725662231,29.52855110168457,28.555259704589844,0.0,0.004635153006529435,True,3.571975539671257e-05,0.0005202374275540933,0.004635153006529435,0.07696010023355485,,,0.012402602540678345,0.004574902821332216,0.005775042838136353,0.0
natural_qat_purification_w4_c1.0_step90,natural_qat_purification,natural_qat_purification,4,1.0,90,33.63524627685547,0.9424026608467102,29.60845947265625,28.58382797241211,0.0,0.004616888167220168,True,3.3766134720281116e-05,0.000516080890520243,0.004616888167220168,0.0768990971148014,,,0.01237433014814087,0.004628590773791075,0.00584542767722222,0.0
natural_qat_purification_w4_c1.0_step100,natural_qat_purification,natural_qat_purification,4,1.0,100,33.64330291748047,0.9424154162406921,29.594057083129883,28.589771270751953,0.0,0.004611519142054021,True,3.37849193783768e-05,0.0005156310100574047,0.004611519142054021,0.07676100730895996,,,0.01235518971170677,0.004668285604566336,0.005893545549760133,0.0
