candidate,source,method,bits,clip,step,psnr,ssim,budget_violation_fraction,psnr_p05,min_psnr,quality_violation_fraction,target_mse,feasible,semantic_lowpass_mse,generated_reference_mse,natural_validation_mse,natural_validation_lpips,natural_validation_residual,natural_validation_spectral,natural_validation_cycle,selection_objective
natural_residual_w4_c1.0_step0,rtn_fallback,natural_residual,4,1.0,0,33.350563049316406,0.943604588508606,,29.569313049316406,28.79359245300293,0.0,0.004609984279966284,True,8.52526811286225e-05,0.0005406601558206603,0.004609984279966284,0.08563281597889727,0.031471448441038774,,,0.0446873406594591
natural_residual_w4_c1.0_step100,natural_residual,natural_residual,4,1.0,100,31.023101806640625,0.8850472569465637,,25.92874526977539,25.45836639404297,0.05000000074505806,0.003975295049002625,True,6.540974936797284e-05,0.0009803312015719712,0.003975295049002625,0.07039442430686904,0.02576853840776039,,,0.0368159807621339
natural_residual_w4_c1.0_step200,natural_residual,natural_residual,4,1.0,200,30.271255493164062,0.8607792854309082,,24.863597869873047,24.601459503173828,0.25,0.003979018071589735,True,8.180040204024408e-05,0.0012031456353724934,0.003979018071589735,0.06685188458504854,0.02531292809482011,,,0.03601803482593482
natural_residual_w4_c1.0_step300,natural_residual,natural_residual,4,1.0,300,29.896770477294922,0.8454200625419617,,24.257959365844727,24.14603042602539,0.3499999940395355,0.003935368114582616,True,7.499257517338265e-05,0.0013215158644015901,0.003935368114582616,0.0647818978104624,0.02493282739658298,,,0.03538388157979852
natural_residual_w4_c1.0_step400,natural_residual,natural_residual,4,1.0,400,29.66794204711914,0.8336283564567566,,24.107666015625,23.80707550048828,0.3499999940395355,0.003940172989871371,True,7.268939671121189e-05,0.001392371927795466,0.003940172989871371,0.0633240270180977,0.024839798858579343,,,0.03514871924861609
natural_residual_w4_c1.0_step500,natural_residual,natural_residual,4,1.0,500,29.550128936767578,0.827441394329071,,23.858793258666992,23.415908813476562,0.4000000059604645,0.003922011441119366,True,6.724410050082952e-05,0.0014456974371569232,0.003922011441119366,0.062097703710605856,0.024679033132201766,,,0.03484443699463213
natural_residual_w4_c1.0_step600,natural_residual,natural_residual,4,1.0,600,29.4989013671875,0.8241302371025085,,23.789012908935547,23.49382781982422,0.4000000059604645,0.0038704771126845117,True,7.37609821044316e-05,0.001457144036248792,0.0038704771126845117,0.06262473217066145,0.024533081738013607,,,0.03470291255881648
natural_residual_w4_c1.0_step700,natural_residual,natural_residual,4,1.0,700,29.516433715820312,0.8221131563186646,,23.756853103637695,23.410493850708008,0.4000000059604645,0.003884009075591166,True,7.42006368454895e-05,0.0014690946161863394,0.003884009075591166,0.060949234659346985,0.024414357226135053,,,0.03443039008608366
natural_residual_w4_c1.0_step800,natural_residual,natural_residual,4,1.0,800,29.38228988647461,0.8210150599479675,,23.801342010498047,23.446455001831055,0.4000000059604645,0.003871546211925647,True,8.280291276605568e-05,0.0014956630824599416,0.003871546211925647,0.06115113282794482,0.02432996903263529,,,0.03435802998373844
natural_residual_w4_c1.0_step900,natural_residual,natural_residual,4,1.0,900,29.415462493896484,0.8213275671005249,,23.7514705657959,23.376049041748047,0.4000000059604645,0.003856332299264409,True,7.836050554033136e-05,0.001495650717697572,0.003856332299264409,0.060274348230450414,0.02422549443826938,,,0.034148441813348994
natural_residual_w4_c1.0_step1000,natural_residual,natural_residual,4,1.0,1000,29.43881607055664,0.8205380439758301,,23.740150451660156,23.385276794433594,0.44999998807907104,0.0038601938987881113,True,7.238059824885568e-05,0.0014912416125298477,0.0038601938987881113,0.05938891488403897,0.024255042133006555,,,0.034090317819322986
natural_residual_w4_c1.0_step1100,natural_residual,natural_residual,4,1.0,1100,29.488506317138672,0.8213597536087036,,23.825654983520508,23.49787139892578,0.44999998807907104,0.00385053251119416,True,6.190972289914498e-05,0.0014666674644104206,0.00385053251119416,0.05896309825766366,0.02421993540326639,,,0.03399773260167649
natural_residual_w4_c1.0_step1200,natural_residual,natural_residual,4,1.0,1200,29.42131996154785,0.8217503428459167,,23.747215270996094,23.451900482177734,0.44999998807907104,0.003836110282279037,True,7.335450745813433e-05,0.0014830970932962373,0.003836110282279037,0.058879955216980306,0.024167511039877354,,,0.03392829409758349
natural_residual_w4_c1.0_step1300,natural_residual,natural_residual,4,1.0,1300,29.4671573638916,0.8220012784004211,,23.764158248901367,23.464801788330078,0.4000000059604645,0.0038226169724566716,True,7.32844138838118e-05,0.0014765709958737717,0.0038226169724566716,0.05871358339936705,0.02412291600728622,,,0.0338535335266215
natural_residual_w4_c1.0_step1400,natural_residual,natural_residual,4,1.0,1400,29.503536224365234,0.8225874900817871,,23.799205780029297,23.49258041381836,0.4000000059604645,0.00381107862736485,True,6.947813408260117e-05,0.0014627207870944402,0.00381107862736485,0.058653095442423364,0.024074842746699687,,,0.03378596998534818
natural_residual_w4_c1.0_step1500,natural_residual,natural_residual,4,1.0,1500,29.459569931030273,0.821658730506897,,23.775510787963867,23.53653907775879,0.44999998807907104,0.003816424045567146,True,6.850371046311921e-05,0.0014727160989423283,0.003816424045567146,0.058395110889250645,0.024040404674281035,,,0.03373059166400481
natural_residual_w4_c1.0_step1600,natural_residual,natural_residual,4,1.0,1600,29.464508056640625,0.8220750689506531,,23.835317611694336,23.497201919555664,0.4000000059604645,0.0038087348507787055,True,6.876853794892667e-05,0.00146995718969265,0.0038087348507787055,0.05843948930851184,0.024040146097718207,,,0.03372721414832256
natural_residual_w4_c1.0_step1700,natural_residual,natural_residual,4,1.0,1700,29.48691749572754,0.8216983675956726,,23.79408836364746,23.470975875854492,0.4000000059604645,0.003796854857228027,True,7.046536575217033e-05,0.001470541991875507,0.003796854857228027,0.05852561179563054,0.023974637564492696,,,0.03365928628415986
natural_residual_w4_c1.0_step1800,natural_residual,natural_residual,4,1.0,1800,29.49802017211914,0.8233086466789246,,23.782306671142578,23.48222541809082,0.4000000059604645,0.0038043327439254426,True,7.196101960289525e-05,0.0014668276940938084,0.0038043327439254426,0.057970722918980755,0.023993130768644733,,,0.0336305163142697
natural_residual_w4_c1.0_step1900,natural_residual,natural_residual,4,1.0,1900,29.501989364624023,0.8222417831420898,,23.813390731811523,23.48800277709961,0.44999998807907104,0.003799453964205668,True,7.034151904008467e-05,0.0014677222148748114,0.003799453964205668,0.05782269266273943,0.023957427322272906,,,0.03357432131227256
natural_residual_w4_c1.0_step2000,natural_residual,natural_residual,4,1.0,2000,29.487804412841797,0.8219000101089478,,23.779691696166992,23.48257827758789,0.44999998807907104,0.0038027763839636464,True,7.231915415104596e-05,0.001471862023754511,0.0038027763839636464,0.05784048230270855,0.023947999889401217,,,0.03357098408071124
