step,applied,reason,block,spectral_loss,adversarial_loss,discriminator_loss,discriminator_applied,reconstruction_mse,perceptual_loss,preservation_mse,loss,residual_loss,trust_loss,grad_norm,learning_rate
1,True,,,0.0,0.6970363855361938,0.6950942277908325,True,0.000613343552686274,0.02967427484691143,3.8182650996532175e-07,0.07328516989946365,0.0,0.0,4.385252032079734e-05,0.0001
2,True,,,0.0,0.6997501850128174,0.6937146186828613,True,0.0036031613126397133,0.08902117609977722,2.0663978261836746e-07,0.08248071372509003,0.0,2.4133040010809736e-10,4.434783841134049e-05,0.0002
3,True,,,0.0,0.7135968208312988,0.6945124864578247,True,0.0024803271517157555,0.05233430862426758,6.7566775214800145e-06,0.07908695936203003,0.0,1.6656171997198044e-09,4.25215475843288e-05,0.00030000000000000003
4,True,,,0.0,0.7007973194122314,0.6941971778869629,True,0.002002537250518799,0.118474081158638,2.0936894884471258e-07,0.083930104970932,0.0,5.654829493551006e-09,0.0001769635855453089,0.0004
5,True,,,0.0,0.6962556838989258,0.693567156791687,True,0.0024683945812284946,0.07606662809848785,6.1177852330729365e-06,0.0797128677368164,0.0,1.5601214542471098e-08,4.82370778627228e-05,0.0005
6,True,,,0.0,0.6820530295372009,0.693548321723938,True,0.005462292581796646,0.06829759478569031,3.6806363823416177e-07,0.0804980918765068,0.0,3.792417402337378e-08,4.317103230278008e-05,0.0006000000000000001
7,True,,,0.0,0.665164589881897,0.6934673190116882,True,0.0028492368292063475,0.08671507239341736,6.341671223708545e-07,0.07803846895694733,0.0,7.33223188831289e-08,4.5181419409345835e-05,0.0007
8,True,,,0.0,0.657239556312561,0.6938682198524475,True,0.003469237592071295,0.05687370151281357,1.4131121588434326e-06,0.07488339394330978,0.0,1.2277585881292907e-07,5.013303234591149e-05,0.0008
9,True,,,0.0,0.6809061765670776,0.6935048699378967,True,0.0003227981214877218,0.05145004391670227,1.7798417673020595e-07,0.07355877757072449,0.0,1.8785614486205304e-07,7.703879964537919e-05,0.0009000000000000001
10,True,,,0.0,0.6844584941864014,0.6933355331420898,True,0.001610634266398847,0.04713676869869232,6.571503035956994e-06,0.0747833102941513,0.0,2.732466839461267e-07,3.6957473639631644e-05,0.001
11,True,,,0.0,0.7030512690544128,0.6932550668716431,True,0.000698141404427588,0.038063377141952515,2.186146957683377e-06,0.07481398433446884,0.0,3.7888909787398006e-07,5.3312451200326905e-05,0.001
12,True,,,0.0,0.6906468868255615,0.6928926706314087,True,0.0015285585541278124,0.06227409839630127,3.078018835367402e-07,0.07682128250598907,0.0,4.956079351359222e-07,7.560683297924697e-05,0.0009997196780178901
