candidate,source,method,bits,clip,step,psnr,ssim,psnr_p05,min_psnr,quality_violation_fraction,target_mse,feasible,semantic_lowpass_mse,generated_reference_mse,natural_validation_mse,natural_validation_lpips,natural_validation_residual,natural_validation_spectral,selection_objective,code_change_fraction_vs_rtn,code_offset_rms,code_offset_ge_one_fraction
natural_gan_qat_w8_c1.0_step0,rtn_fallback,natural_gan_qat,8,1.0,0,57.088462829589844,0.9997348785400391,53.132598876953125,52.35213851928711,0.0,0.0046882540482329205,True,3.0203195748867985e-07,2.307051457250964e-06,0.0046882540482329205,0.08544022031128407,,,0.013232880143276305,0.0,0.0,0.0
natural_gan_qat_w8_c1.0_step10,natural_gan_qat,natural_gan_qat,8,1.0,10,56.94561004638672,0.9997305870056152,53.0919075012207,52.29507827758789,0.0,0.004686781630152836,True,3.205922759264013e-07,2.367577579320823e-06,0.004686781630152836,0.08520758617669344,,,0.013208181432374032,0.0004470357671380043,0.0006155396340046359,0.0
natural_gan_qat_w8_c1.0_step20,natural_gan_qat,natural_gan_qat,8,1.0,20,56.32487869262695,0.9997066259384155,52.785804748535156,51.89377212524414,0.0,0.0046835722430842,True,4.121125371625567e-07,2.6735625112905837e-06,0.0046835722430842,0.08465782981365919,,,0.013150179449524445,0.0009844816522672772,0.0014149723874316488,0.0
natural_gan_qat_w8_c1.0_step30,natural_gan_qat,natural_gan_qat,8,1.0,30,55.0378303527832,0.9996454119682312,51.72629165649414,50.999855041503906,0.0,0.004680075778742321,True,7.406773903539942e-07,3.511354202601069e-06,0.004680075778742321,0.083980892598629,,,0.013079646393385928,0.0014623147435486317,0.0021440280648085757,0.0
natural_gan_qat_w8_c1.0_step40,natural_gan_qat,natural_gan_qat,8,1.0,40,53.47991943359375,0.9995319247245789,50.45658874511719,49.85450744628906,0.0,0.00467715309932828,True,1.414384536246871e-06,4.958395106768876e-06,0.00467715309932828,0.08338213358074427,,,0.0130181952264752,0.0019200274255126715,0.002846621347194744,0.0
natural_gan_qat_w8_c1.0_step50,natural_gan_qat,natural_gan_qat,8,1.0,50,52.24153518676758,0.9994128942489624,49.34086990356445,48.91709899902344,0.0,0.004675366976880468,True,2.2187392119121796e-06,6.527741663830966e-06,0.004675366976880468,0.08296961784362793,,,0.012976766239667085,0.0023652836680412292,0.0034971306100927747,0.0
natural_gan_qat_w8_c1.0_step60,natural_gan_qat,natural_gan_qat,8,1.0,60,51.301307678222656,0.9992762804031372,48.52635192871094,48.13505172729492,0.0,0.004676580493105575,True,3.079382105397599e-06,8.070553622019361e-06,0.004676580493105575,0.08266268111765385,,,0.012949007369081755,0.002729714848101139,0.004027711576648474,0.0
natural_gan_qat_w8_c1.0_step70,natural_gan_qat,natural_gan_qat,8,1.0,70,50.780521392822266,0.9991723895072937,48.1031494140625,47.68930435180664,0.0,0.004677703499328345,True,3.6171552949326723e-06,9.076609467228991e-06,0.004677703499328345,0.08248068988323212,,,0.012933006798241421,0.002963555743917823,0.004374548893315079,0.0
natural_gan_qat_w8_c1.0_step80,natural_gan_qat,natural_gan_qat,8,1.0,80,50.36517333984375,0.9990943074226379,47.67865753173828,47.33356475830078,0.0,0.004679164875415154,True,4.090421106184294e-06,9.97276642920042e-06,0.004679164875415154,0.08235104661434889,,,0.012922450379062412,0.003137339139357209,0.004639184368207076,0.0
natural_gan_qat_w8_c1.0_step90,natural_gan_qat,natural_gan_qat,8,1.0,90,50.16909408569336,0.9990493655204773,47.437042236328125,47.14105987548828,0.0,0.0046795935224508865,True,4.323916596149502e-06,1.0442594157211715e-05,0.0046795935224508865,0.0822849178686738,,,0.012916733142510564,0.003251610556617379,0.0048018152446562875,0.0
natural_gan_qat_w8_c1.0_step100,natural_gan_qat,natural_gan_qat,8,1.0,100,50.072731018066406,0.9990243911743164,47.32242965698242,47.04163360595703,0.0,0.004679845439386554,True,4.4088572735745405e-06,1.0681242861210194e-05,0.004679845439386554,0.08224072996526957,,,0.012912736150460659,0.003323558485135436,0.004910057396598287,0.0
