method,comparison_group,role,detector,test_quality_valid,search_quality_valid,bit_accuracy,tpr,n,evasion_rate,evasion_ci95_low,evasion_ci95_high,mean_abs_bit_accuracy_minus_half,detected_count,tpr_ci95_low,tpr_ci95_high,threshold_matches,lower_threshold_matches,lpips,psnr,ssim,highpass_energy_ratio,highpass_mse,reference_valid,total_bits,correct_bits,error_bits,net_additional_bit_errors,decoding_improved_images,decoding_worsened_images,decoding_tied_images,exact_message_accuracy,bit_accuracy_drop_pp,bit_accuracy_drop_ci95_low_pp,bit_accuracy_drop_ci95_high_pp,survival_on_originally_detected,evasion_on_originally_detected,survival_ci95_low,survival_ci95_high,tpr_drop_percentage_points,tpr_drop_ci95_low_pp,tpr_drop_ci95_high_pp,bit_accuracy_retained_percent,tpr_retained_percent
marked_reference_test,,reference,double,True,,0.985625,0.99,100,0.010000000000000009,0.0017674320641406505,0.054486196178705426,0.485625,99,0.9455138038212946,0.9982325679358593,36,12,0.0,120.0,1.0,1.0,0.0,True,4800,4731,69,0,0,0,100,0.75,0.0,0.0,0.0,1.0,0.0,0.9626467879321725,1.0,0.0,0.0,0.0,100.0,100.0
pseudo_target_test,,diagnostic,double,True,,0.9814583333333331,0.99,100,0.010000000000000009,0.0017674320641406505,0.054486196178705426,0.48145833333333343,99,0.9455138038212946,0.9982325679358593,36,12,0.01303590188268572,41.636995010375976,0.9925714315192385,0.6611548715829849,6.312042258286965e-05,True,4800,4711,89,20,1,15,84,0.69,0.4166666666666667,0.20833333333333323,0.6666666666666664,1.0,0.0,0.9626467879321725,1.0,0.0,0.0,0.0,99.57725639399702,100.0
fixed_ptq_w8_c1.0_test,w8_c1.0_all,candidate,double,True,True,0.9852083333333332,0.99,100,0.010000000000000009,0.0017674320641406505,0.054486196178705426,0.4852083333333333,99,0.9455138038212946,0.9982325679358593,36,12,0.00019757633192057255,56.706695556640625,0.9997078776359558,0.998166937828064,1.5602092038591308e-06,True,4800,4729,71,2,0,2,98,0.74,0.041666666666666664,0.0,0.10416666666666662,1.0,0.0,0.9626467879321725,1.0,0.0,0.0,0.0,99.9577256393997,100.0
reconstruction_w8_c1.0_test,w8_c1.0_all,candidate,double,True,True,0.9854166666666667,0.99,100,0.010000000000000009,0.0017674320641406505,0.054486196178705426,0.48541666666666666,99,0.9455138038212946,0.9982325679358593,36,12,0.00017972082481719552,56.87177658081055,0.9996856451034546,0.9964477396011353,1.4015156611435486e-06,True,4800,4730,70,1,0,1,99,0.75,0.020833333333333332,0.0,0.06250000000000011,1.0,0.0,0.9626467879321725,1.0,0.0,0.0,0.0,99.97886281969986,100.0
natural_residual_qat_w8_c1.0_test,w8_c1.0_all,candidate,double,True,True,0.9820833333333334,0.99,100,0.010000000000000009,0.0017674320641406505,0.054486196178705426,0.4820833333333333,99,0.9455138038212946,0.9982325679358593,36,12,0.014419632591307163,38.49213790893555,0.9812166094779968,0.8358859556913376,0.00010226704053820867,True,4800,4714,86,17,9,19,72,0.71,0.3541666666666667,1.1102230246251565e-16,0.7291666666666667,1.0,0.0,0.9626467879321725,1.0,0.0,0.0,0.0,99.6406679348975,100.0
natural_residual_w4_c1.0_test,w4_c1.0_all,candidate,double,True,True,0.771875,0.67,100,0.32999999999999996,0.2456312273412803,0.42694656204909476,0.27229166666666665,67,0.5730534379509052,0.7543687726587197,36,12,0.041890682419762015,29.619482040405273,0.8232219219207764,0.7588618618249893,0.0008936419106612448,True,4800,3705,1095,1026,0,100,0,0.0,21.375,19.520833333333332,23.145833333333332,0.6767676767676768,0.3232323232323232,0.5795296789352459,0.7607999935660273,31.999999999999996,23.0,40.0,78.3132530120482,67.67676767676768
natural_residual_qat_w4_c1.0_test,w4_c1.0_all,candidate,double,True,True,0.8497916666666666,0.86,100,0.14,0.08526343659939128,0.22137188210963832,0.35020833333333334,86,0.7786281178903617,0.9147365634006087,36,12,0.03899330541491509,30.10356903076172,0.8409860730171204,0.7586851871013641,0.0008010875846230192,True,4800,4079,721,652,0,100,0,0.0,13.583333333333334,12.187500000000002,14.895833333333334,0.8686868686868687,0.13131313131313127,0.7882028722021367,0.9216275875862331,13.0,7.000000000000001,20.0,86.21855844430353,86.86868686868686
natural_full_finetune_fp32_test,fp32_unrestricted_decoder_control,finetune_control,double,True,True,0.6279166666666668,0.06,100,0.94,0.8752318455410408,0.9722138760368119,0.14,6,0.027786123963188185,0.1247681544589592,36,12,0.04847997959703207,28.903244018554688,0.8142602443695068,0.658386415541172,0.0009400929495313904,True,4800,3014,1786,1717,0,100,0,0.0,35.770833333333336,34.1875,37.3546875,0.06060606060606061,0.9393939393939394,0.02806979744622149,0.12596787376489954,93.0,88.0,97.0,63.70746142464596,6.0606060606060606
reconstruction_w8_c1.0_final_test,w8_c1.0_all,endpoint_control,double,True,True,0.985625,0.99,100,0.010000000000000009,0.0017674320641406505,0.054486196178705426,0.485625,99,0.9455138038212946,0.9982325679358593,36,12,0.00017981740813411307,56.86073303222656,0.9996785521507263,0.9955176770687103,1.4026593238725126e-06,True,4800,4731,69,0,0,0,100,0.75,0.0,0.0,0.0,1.0,0.0,0.9626467879321725,1.0,0.0,0.0,0.0,100.0,100.0
