candidate,source,method,bits,clip,step,psnr,ssim,psnr_p05,min_psnr,quality_violation_fraction,target_mse,feasible,semantic_lowpass_mse,selection_objective,generated_reference_mse,natural_validation_mse,natural_validation_lpips,natural_validation_residual,natural_validation_spectral,code_change_fraction_vs_rtn,code_offset_rms,code_offset_ge_one_fraction
natural_residual_w4_c1.0_step1000,natural_residual,natural_residual,4,1.0,1000,29.87026023864746,0.8293029069900513,24.000173568725586,23.64474105834961,0.3499999940395355,0.0038590270138456617,True,3.4092343230440744e-05,0.03425401599296265,0.0013723066571401433,0.0038590270138456617,0.05978789599976153,0.02414346063329731,,,,
natural_residual_qat_w4_c1.0_step0,rtn_fallback,natural_residual_qat,4,1.0,0,33.35065841674805,0.943604588508606,29.569433212280273,28.793678283691406,0.0,0.004610004772871434,True,8.52470307108888e-05,0.04532663122563463,0.0005406524978752714,0.004610004772871434,0.08563141724152956,0.03147150848292313,,0.0,0.0,0.0
natural_residual_qat_w4_c1.0_step100,natural_residual_qat,natural_residual_qat,4,1.0,100,32.408546447753906,0.9139173626899719,27.509105682373047,26.790851593017578,0.0,0.004005211809328557,True,2.798208342937869e-05,0.03763151905440054,0.000715399399632588,0.004005211809328557,0.0734725979709765,0.026055190780539306,,0.007776748389005661,0.009796041565371314,0.0
natural_residual_qat_w4_c1.0_step200,natural_residual_qat,natural_residual_qat,4,1.0,200,31.50116539001465,0.891045093536377,26.27912139892578,25.69891929626465,0.05000000074505806,0.004011767471553185,True,3.451405450505263e-05,0.0366909947577085,0.0009030501547385939,0.004011767471553185,0.06859143116162159,0.02554397173395273,,0.010930810123682022,0.013860055124353805,0.0
natural_residual_qat_w4_c1.0_step300,natural_residual_qat,natural_residual_qat,4,1.0,300,31.028366088867188,0.8749982714653015,25.480937957763672,25.090614318847656,0.15000000596046448,0.003942370743061474,True,3.315701883366273e-05,0.036007347454915364,0.0010211233027803245,0.003942370743061474,0.06692647210729774,0.02510707335045481,,0.013041526079177856,0.01655513744577645,0.0
natural_residual_qat_w4_c1.0_step400,natural_residual_qat,natural_residual_qat,4,1.0,400,30.699352264404297,0.8651798367500305,25.12604331970215,24.73201560974121,0.20000000298023224,0.003965240945888127,True,3.456957770140434e-05,0.035640674318301535,0.001103556077578105,0.003965240945888127,0.06482985970069421,0.024915890780732752,,0.014481374993920326,0.018395727234098946,0.0
natural_residual_qat_w4_c1.0_step500,natural_residual_qat,natural_residual_qat,4,1.0,500,30.575225830078125,0.8588390350341797,24.869413375854492,24.46937370300293,0.30000001192092896,0.003921949553131299,True,3.4871128991653674e-05,0.03536763156191114,0.0011485408394946717,0.003921949553131299,0.06418067828781204,0.024748645148065407,,0.015601865947246552,0.01982063325041461,0.0
natural_residual_qat_w4_c1.0_step600,natural_residual_qat,natural_residual_qat,4,1.0,600,30.501605987548828,0.8549073934555054,24.7539005279541,24.406278610229492,0.3499999940395355,0.0039008677416632054,True,3.2053933136921844e-05,0.03511271055590441,0.001170456426916644,0.0039008677416632054,0.06338400955064571,0.024617010394081262,,0.01628783904016018,0.02070544093264585,0.0
natural_residual_qat_w4_c1.0_step700,natural_residual_qat,natural_residual_qat,4,1.0,700,30.392955780029297,0.8491320610046387,24.552759170532227,24.23751449584961,0.3499999940395355,0.003912104809359107,True,3.2572730742685965e-05,0.03495410145987421,0.0012088356932508759,0.003912104809359107,0.06260487589679542,0.024520927214894073,,0.016748301684856415,0.021297607544316133,0.0
natural_residual_qat_w4_c1.0_step800,natural_residual_qat,natural_residual_qat,4,1.0,800,30.403076171875,0.848534107208252,24.549190521240234,24.213754653930664,0.3499999940395355,0.0038908938696522455,True,2.872748400477576e-05,0.03480479565859013,0.001207870984217152,0.0038908938696522455,0.06239836232634843,0.024444245684264843,,0.01700752042233944,0.021644016778587436,0.0
natural_residual_qat_w4_c1.0_step900,natural_residual_qat,natural_residual_qat,4,1.0,900,30.391803741455078,0.8481193780899048,24.516685485839844,24.19626235961914,0.3499999940395355,0.003876845363748771,True,3.10925734538614e-05,0.034750976790786585,0.0012122734886361286,0.003876845363748771,0.06228345457930118,0.0243970453814768,,0.017168544232845306,0.021850961543429852,0.0
natural_residual_qat_w4_c1.0_step1000,natural_residual_qat,natural_residual_qat,4,1.0,1000,30.352901458740234,0.8469775319099426,24.5328426361084,24.166854858398438,0.3499999940395355,0.003881463730294854,True,2.866256786546728e-05,0.034725237294935596,0.0012204958897200414,0.003881463730294854,0.06217085800744826,0.024397387220972178,,0.01728888228535652,0.02200356270159434,0.0
natural_residual_qat_w8_c1.0_step0,rtn_fallback,natural_residual_qat,8,1.0,0,57.079551696777344,0.9997357130050659,53.200199127197266,52.35443115234375,0.0,0.00448062992109044,True,3.0512774955582246e-07,0.042749728483744316,2.304731731328502e-06,0.00448062992109044,0.07531345781171694,0.03073531175948574,,0.0,0.0,0.0
natural_residual_qat_w8_c1.0_step100,natural_residual_qat,natural_residual_qat,8,1.0,100,43.692955017089844,0.9953360557556152,38.83232498168945,38.76130676269531,0.0,0.004248330248969978,True,3.2026596045398038e-06,0.04041442787322467,5.4218423701968274e-05,0.004248330248969978,0.07744290638220264,0.028396185709198107,,0.008065914735198021,0.011518355057964563,0.0
natural_residual_qat_w8_c1.0_step200,natural_residual_qat,natural_residual_qat,8,1.0,200,41.709625244140625,0.9920538067817688,36.749244689941406,36.69502639770508,0.0,0.0041727732617573565,True,3.930710249733238e-06,0.039731850289172144,8.53697388265573e-05,0.0041727732617573565,0.07800683917594142,0.02772694742782278,,0.012305445037782192,0.017815317471730072,0.0
natural_residual_qat_w8_c1.0_step300,natural_residual_qat,natural_residual_qat,8,1.0,300,40.57270050048828,0.9892970323562622,35.53783416748047,35.3748664855957,0.0,0.004133664672224313,True,4.450943941947117e-06,0.03931370945095977,0.00011126149283882114,0.004133664672224313,0.07825793162919581,0.027318644064280306,,0.015605607070028782,0.022771329767909812,0.0
natural_residual_qat_w8_c1.0_step400,natural_residual_qat,natural_residual_qat,8,1.0,400,39.97896194458008,0.9875408411026001,34.97154235839844,34.743385314941406,0.0,0.004109450664827818,True,4.998844963211013e-06,0.039043525926945225,0.00012706922098004725,0.004109450664827818,0.07782490854879143,0.027111593647532573,,0.017994144931435585,0.026395114043862734,0.0
natural_residual_qat_w8_c1.0_step500,natural_residual_qat,natural_residual_qat,8,1.0,500,39.511070251464844,0.985907256603241,34.48847198486328,34.21675109863281,0.0,0.0040960789232826755,True,5.550976260337847e-06,0.038840553121792715,0.00014154366363072768,0.0040960789232826755,0.0774657221409143,0.0269534941743359,,0.01991807483136654,0.029337582519850587,0.0
natural_residual_qat_w8_c1.0_step600,natural_residual_qat,natural_residual_qat,8,1.0,600,39.18754577636719,0.9847785234451294,34.21166229248047,33.90264892578125,0.0,0.004085178278614876,True,5.77978361775422e-06,0.0387089030119796,0.00015183311043074355,0.004085178278614876,0.07721465745271416,0.026856020719151275,,0.021272044628858566,0.03139478328836714,0.0
natural_residual_qat_w8_c1.0_step700,natural_residual_qat,natural_residual_qat,8,1.0,700,38.96729278564453,0.9838688969612122,33.97526931762695,33.657997131347656,0.0,0.004076610506956513,True,6.049718712120011e-06,0.03861852872543068,0.00015973441422829638,0.004076610506956513,0.07708344802813372,0.026785175665963834,,0.022233594208955765,0.032879126902212966,0.0
natural_residual_qat_w8_c1.0_step800,natural_residual_qat,natural_residual_qat,8,1.0,800,38.84932327270508,0.9833111763000488,33.848140716552734,33.50498580932617,0.0,0.004073843556795964,True,6.161966371109884e-06,0.03855962551232324,0.00016421618183812826,0.004073843556795964,0.07691959903604584,0.02674452632095381,,0.02285168319940567,0.03383692984985364,0.0
natural_residual_qat_w8_c1.0_step900,natural_residual_qat,natural_residual_qat,8,1.0,900,38.776611328125,0.9829637408256531,33.783939361572266,33.43009948730469,0.0,0.004071308439051791,True,6.29398294904604e-06,0.038522601916201896,0.00016700508349458686,0.004071308439051791,0.07681908399536042,0.026719033214021692,,0.023220138624310493,0.03441391118911578,0.0
natural_residual_qat_w8_c1.0_step1000,natural_residual_qat,natural_residual_qat,8,1.0,1000,38.721351623535156,0.9826816320419312,33.71887969970703,33.36289978027344,0.0,0.004069137952114943,True,6.350191506498959e-06,0.03849650154381834,0.00016927018332353329,0.004069137952114943,0.07677317317575216,0.02669924474207619,,0.023507343605160713,0.03486408585333189,0.0
