candidate,source,method,bits,clip,step,psnr,ssim,psnr_p05,min_psnr,quality_violation_fraction,target_mse,feasible,semantic_lowpass_mse,selection_objective
block_reconstruction_w4_c1.0_step0,rtn_fallback,block_reconstruction,4,1.0,0,33.350032806396484,0.9434765577316284,29.57146453857422,28.76714515686035,0.0,0.0005414434664999135,True,8.513591728842584e-05,0.0005414434664999135
block_reconstruction_w4_c1.0_step10,block_reconstruction,block_reconstruction,4,1.0,10,33.3553581237793,0.9439719319343567,29.63610076904297,28.741413116455078,0.0,0.0005433414429717231,True,8.738410951991682e-05,0.0005433414429717231
block_reconstruction_w4_c1.0_step20,block_reconstruction,block_reconstruction,4,1.0,20,33.88698959350586,0.9503089785575867,30.37067985534668,29.41936683654785,0.0,0.00047307441564043985,True,7.15127759576717e-05,0.00047307441564043985
block_reconstruction_w4_c1.0_step30,block_reconstruction,block_reconstruction,4,1.0,30,34.068809509277344,0.9525068402290344,30.509492874145508,29.72696304321289,0.0,0.0004498242553381715,True,7.144056044126046e-05,0.0004498242553381715
block_reconstruction_w4_c1.0_step40,block_reconstruction,block_reconstruction,4,1.0,40,34.53408432006836,0.9559772610664368,30.88334083557129,30.01706314086914,0.0,0.0004093988161912421,True,5.870769546163501e-05,0.0004093988161912421
block_reconstruction_w4_c1.0_step50,block_reconstruction,block_reconstruction,4,1.0,50,34.87607955932617,0.9593697786331177,31.056509017944336,30.262479782104492,0.0,0.00037876901660638396,True,5.069810677014175e-05,0.00037876901660638396
block_reconstruction_w4_c1.0_step60,block_reconstruction,block_reconstruction,4,1.0,60,34.90736770629883,0.9602189064025879,31.23583221435547,30.328474044799805,0.0,0.0003736517850484233,True,5.4976348292257174e-05,0.0003736517850484233
block_reconstruction_w4_c1.0_step70,block_reconstruction,block_reconstruction,4,1.0,70,35.00397872924805,0.9605692028999329,31.252456665039062,30.3964900970459,0.0,0.0003667064622277394,True,5.174465159143438e-05,0.0003667064622277394
block_reconstruction_w4_c1.0_step80,block_reconstruction,block_reconstruction,4,1.0,80,34.911216735839844,0.9595799446105957,30.862232208251953,30.24834442138672,0.0,0.00037654882653441745,True,5.406523378042039e-05,0.00037654882653441745
block_reconstruction_w4_c1.0_step90,block_reconstruction,block_reconstruction,4,1.0,90,35.24401092529297,0.9612571001052856,31.04119110107422,30.372318267822266,0.0,0.00035434477285889443,True,4.2689712790888736e-05,0.00035434477285889443
block_reconstruction_w4_c1.0_step100,block_reconstruction,block_reconstruction,4,1.0,100,35.33785629272461,0.9609808921813965,31.154382705688477,30.413528442382812,0.0,0.000347624508140143,True,3.8567797128052915e-05,0.000347624508140143
