candidate,source,method,bits,clip,step,psnr,ssim,psnr_p05,min_psnr,quality_violation_fraction,target_mse,feasible,semantic_lowpass_mse,generated_reference_mse,natural_validation_mse,natural_validation_lpips,natural_validation_residual,selection_objective
natural_residual_w4_c1.0_step0,rtn_fallback,natural_residual,4,1.0,0,33.350032806396484,0.9434765577316284,29.57146453857422,28.76714515686035,0.0,0.004032868329886696,True,8.513591728842584e-05,0.0005414434664999135,0.004032868329886696,0.09538653830531985,0.027925111557124183,0.04149663371754286
natural_residual_w4_c1.0_step50,natural_residual,natural_residual,4,1.0,50,32.639122009277344,0.9241279363632202,27.80911636352539,27.137088775634766,0.3499999940395355,0.0035348494438949274,True,5.2802364280069014e-05,0.000676342749648029,0.0035348494438949274,0.08470006327843294,0.023570117871713592,0.035574973643451815
natural_residual_w4_c1.0_step100,natural_residual,natural_residual,4,1.0,100,32.24427795410156,0.923662006855011,27.277570724487305,27.204978942871094,0.3499999940395355,0.003503081566577748,True,0.00010698568848965806,0.0007268010587722529,0.003503081566577748,0.08222945994930342,0.023257052569533698,0.03498308013104179
natural_residual_w4_c1.0_step150,natural_residual,natural_residual,4,1.0,150,32.35839080810547,0.9178210496902466,27.397342681884766,26.78264617919922,0.3499999940395355,0.003485973248643859,True,6.0923174532945265e-05,0.0007191932199930307,0.003485973248643859,0.07749408634845167,0.022946681765461108,0.034182063648950135
natural_residual_w4_c1.0_step200,natural_residual,natural_residual,4,1.0,200,32.009071350097656,0.9101701974868774,26.867387771606445,26.501405715942383,0.4000000059604645,0.0034536440803094592,True,6.496301730294363e-05,0.0007864091981900856,0.0034536440803094592,0.07845630604424514,0.02264233521600545,0.033941609900739425
