step,applied,reason,block,discriminator_loss,discriminator_applied,reconstruction_mse,perceptual_loss,preservation_mse,loss,residual_loss,trust_loss,spectral_loss,adversarial_loss,grad_norm,learning_rate
1,True,,,,,0.004551718011498451,0.07249654084444046,0.0,0.011801372282207012,0.0,0.0,0.0,0.0,0.03632981702685356,2.5e-05
2,True,,,,,0.0027317791245877743,0.05479152500629425,0.0,0.008210931904613972,0.0,0.0,0.0,0.0,0.027195047587156296,5e-05
3,True,,,,,0.0029001384973526,0.0550789050757885,0.0,0.00840802863240242,0.0,0.0,0.0,0.0,0.04553385078907013,7.500000000000001e-05
4,True,,,,,0.0024531371891498566,0.052011966705322266,0.0,0.007654333952814341,0.0,0.0,0.0,0.0,0.038677532225847244,0.0001
5,True,,,,,0.004539250861853361,0.07198654860258102,0.0,0.011737905442714691,0.0,0.0,0.0,0.0,0.04272789508104324,0.000125
6,True,,,,,0.006067601963877678,0.10094085335731506,0.0,0.016161687672138214,0.0,0.0,0.0,0.0,0.05306430906057358,0.00015000000000000001
7,True,,,,,0.004583146423101425,0.08535809814929962,0.0,0.013118956238031387,0.0,0.0,0.0,0.0,0.055877815932035446,0.000175
8,True,,,,,0.003336177906021476,0.06184852123260498,0.0,0.009521029889583588,0.0,0.0,0.0,0.0,0.041337016969919205,0.0002
9,True,,,,,0.009944556280970573,0.11261862516403198,0.0,0.02120641991496086,0.0,0.0,0.0,0.0,0.07750257849693298,0.00022500000000000002
10,True,,,,,0.002607962116599083,0.06345805525779724,0.0,0.008953767828643322,0.0,0.0,0.0,0.0,0.07227642089128494,0.00025
11,True,,,,,0.0043201628141105175,0.09760841727256775,0.0,0.01408100500702858,0.0,0.0,0.0,0.0,0.11569657176733017,0.00027499999999999996
12,True,,,,,0.003754842560738325,0.08177778124809265,0.0,0.011932620778679848,0.0,0.0,0.0,0.0,0.05037635192275047,0.00030000000000000003
13,True,,,,,0.003815424395725131,0.0901549756526947,0.0,0.01283092238008976,0.0,0.0,0.0,0.0,0.06006907299160957,0.00032500000000000004
14,True,,,,,0.005524595268070698,0.08140920102596283,0.0,0.013665515929460526,0.0,0.0,0.0,0.0,0.05550059303641319,0.00035
15,True,,,,,0.004090152680873871,0.07811767607927322,0.0,0.011901920661330223,0.0,0.0,0.0,0.0,0.04173189401626587,0.000375
16,True,,,,,0.0038567716255784035,0.09441763162612915,0.0,0.013298534788191319,0.0,0.0,0.0,0.0,0.09659763425588608,0.0004
17,True,,,,,0.003225579857826233,0.07755953073501587,0.0,0.01098153367638588,0.0,0.0,0.0,0.0,0.06301514059305191,0.00042500000000000003
18,True,,,,,0.0046077570877969265,0.10358128696680069,0.0,0.014965886250138283,0.0,0.0,0.0,0.0,0.07420703768730164,0.00045000000000000004
19,True,,,,,0.006744730286300182,0.09698104858398438,0.0,0.016442835330963135,0.0,0.0,0.0,0.0,0.07371179014444351,0.000475
20,True,,,,,0.0018377348314970732,0.04993678629398346,0.0,0.006831413134932518,0.0,0.0,0.0,0.0,0.07379322499036789,0.0005
21,True,,,,,0.006963090039789677,0.09005042910575867,0.0,0.01596813276410103,0.0,0.0,0.0,0.0,0.08005787432193756,0.0005
22,True,,,,,0.001999740954488516,0.0688747763633728,0.0,0.008887218311429024,0.0,0.0,0.0,0.0,0.08106052875518799,0.0004999988415254123
23,True,,,,,0.0027462225407361984,0.06359104812145233,0.0,0.009105327539145947,0.0,0.0,0.0,0.0,0.05212796479463577,0.0004999953661135786
24,True,,,,,0.003108993172645569,0.09017333388328552,0.0,0.012126326560974121,0.0,0.0,0.0,0.0,0.07786767184734344,0.0004999895738002872
25,True,,,,,0.003997655585408211,0.0866423100233078,0.0,0.012661886401474476,0.0,0.0,0.0,0.0,0.08047045767307281,0.0004999814646451848
26,True,,,,,0.006010470446199179,0.10748360306024551,0.0,0.016758831217885017,0.0,0.0,0.0,0.0,0.0641932338476181,0.0004999710387317757
27,True,,,,,0.0039651887491345406,0.0773102194070816,0.0,0.011696210131049156,0.0,0.0,0.0,0.0,0.0732988491654396,0.0004999582961674213
28,True,,,,,0.002631124574691057,0.06968357414007187,0.0,0.009599482640624046,0.0,0.0,0.0,0.0,0.06258950382471085,0.0004999432370833389
29,True,,,,,0.003587943036109209,0.0839499682188034,0.0,0.011982940137386322,0.0,0.0,0.0,0.0,0.07497484982013702,0.0004999258616346003
30,True,,,,,0.0058001368306577206,0.10415143519639969,0.0,0.016215279698371887,0.0,0.0,0.0,0.0,0.07139336317777634,0.0004999061700001298
31,True,,,,,0.0029462878592312336,0.10295657813549042,0.0,0.013241946697235107,0.0,0.0,0.0,0.0,0.06168033927679062,0.0004998841623827032
32,True,,,,,0.0052463095635175705,0.0960540920495987,0.0,0.01485171914100647,0.0,0.0,0.0,0.0,0.07718093693256378,0.0004998598390089451
33,True,,,,,0.0036823726259171963,0.08704671263694763,0.0,0.012387044727802277,0.0,0.0,0.0,0.0,0.1014612466096878,0.0004998332001293266
34,True,,,,,0.004362623207271099,0.097617506980896,0.0,0.014124373905360699,0.0,0.0,0.0,0.0,0.12905630469322205,0.0004998042460181632
35,True,,,,,0.004830619320273399,0.08805760741233826,0.0,0.013636380434036255,0.0,0.0,0.0,0.0,0.0549735464155674,0.000499772976973611
36,True,,,,,0.004235444590449333,0.08825510740280151,0.0,0.013060955330729485,0.0,0.0,0.0,0.0,0.05195627734065056,0.0004997393933176648
37,True,,,,,0.005446966737508774,0.10316016525030136,0.0,0.01576298475265503,0.0,0.0,0.0,0.0,0.060559455305337906,0.0004997034953961541
38,True,,,,,0.002437995746731758,0.08829262852668762,0.0,0.011267258785665035,0.0,0.0,0.0,0.0,0.1380877047777176,0.0004996652835787394
39,True,,,,,0.003206419525668025,0.08524486422538757,0.0,0.011730906553566456,0.0,0.0,0.0,0.0,0.07749921083450317,0.0004996247582589092
40,True,,,,,0.0029942397959530354,0.06826967746019363,0.0,0.009821208193898201,0.0,0.0,0.0,0.0,0.11343168467283249,0.0004995819198539748
41,True,,,,,0.008032327517867088,0.1384904682636261,0.0,0.021881375461816788,0.0,0.0,0.0,0.0,0.12017347663640976,0.0004995367688050669
42,True,,,,,0.0053327674977481365,0.10853475332260132,0.0,0.016186242923140526,0.0,0.0,0.0,0.0,0.096527598798275,0.000499489305577131
43,True,,,,,0.0042228433303534985,0.12663067877292633,0.0,0.01688591204583645,0.0,0.0,0.0,0.0,0.12308571487665176,0.0004994395306589218
44,True,,,,,0.003141809953376651,0.07716009020805359,0.0,0.010857818648219109,0.0,0.0,0.0,0.0,0.06998850405216217,0.0004993874445629995
45,True,,,,,0.007107949815690517,0.11038479954004288,0.0,0.01814642921090126,0.0,0.0,0.0,0.0,0.09201594442129135,0.0004993330478257231
46,True,,,,,0.003927493467926979,0.1161259114742279,0.0,0.015540084801614285,0.0,0.0,0.0,0.0,0.1232999637722969,0.000499276341007246
47,True,,,,,0.0031012161634862423,0.06943769752979279,0.0,0.010044986382126808,0.0,0.0,0.0,0.0,0.055653270334005356,0.0004992173246915094
48,True,,,,,0.004860442131757736,0.11049044877290726,0.0,0.015909487381577492,0.0,0.0,0.0,0.0,0.08070920407772064,0.0004991559994862371
49,True,,,,,0.0021132947877049446,0.06613171100616455,0.0,0.008726466447114944,0.0,0.0,0.0,0.0,0.06870611757040024,0.0004990923660229285
50,True,,,,,0.0026801475323736668,0.08190598338842392,0.0,0.010870745405554771,0.0,0.0,0.0,0.0,0.07133018225431442,0.0004990264249568523
51,True,,,,,0.0024892291985452175,0.07508199661970139,0.0,0.009997429326176643,0.0,0.0,0.0,0.0,0.08374778926372528,0.0004989581769670404
52,True,,,,,0.005819662939757109,0.11178094893693924,0.0,0.01699775829911232,0.0,0.0,0.0,0.0,0.08924537152051926,0.0004988876227562798
53,True,,,,,0.003289797343313694,0.0726279765367508,0.0,0.010552594438195229,0.0,0.0,0.0,0.0,0.07884351164102554,0.000498814763051106
54,True,,,,,0.00494389608502388,0.10317301750183105,0.0,0.01526119839400053,0.0,0.0,0.0,0.0,0.09649518877267838,0.000498739598601796
