step,applied,reason,reconstruction_mse,perceptual_loss,preservation_mse,loss,residual_loss,trust_loss,grad_norm,learning_rate
1,True,,0.0010085930116474628,0.055071596056222916,0.0003896011330652982,0.014509469270706177,0.007214515004307032,0.0,0.0014025059062987566,0.0001
2,True,,0.0006420724093914032,0.0772351399064064,0.00043201312655583024,0.014075135812163353,0.0048455228097736835,4.98301533369272e-09,0.0019211691105738282,0.0002
3,True,,0.0027343479450792074,0.1296197474002838,9.76326409727335e-05,0.03278546780347824,0.016893882304430008,2.8297407084210136e-08,0.002759057329967618,0.00030000000000000003
4,True,,0.0012102623004466295,0.045047689229249954,0.0004377822042442858,0.009311708621680737,0.002721112221479416,8.782256344375128e-08,0.0017839313950389624,0.0004
5,True,,0.0006875994149595499,0.0484020933508873,0.0013087576953694224,0.011218500323593616,0.0030731738079339266,2.11349529877225e-07,0.0018270667642354965,0.0005
6,True,,0.0024581400211900473,0.05432702973484993,0.0005286786472424865,0.02394631877541542,0.014998115599155426,4.2806581745935546e-07,0.0011532801436260343,0.0006000000000000001
7,True,,0.0023135002702474594,0.06364662200212479,0.0016702280845493078,0.029245199635624886,0.017226573079824448,7.560888661828358e-07,0.001725135836750269,0.0007
8,True,,0.002486076671630144,0.04039258509874344,0.0006385847227647901,0.022464847192168236,0.014662330970168114,1.2042004300383269e-06,0.001800418016500771,0.0008
9,True,,0.0039960527792572975,0.07822297513484955,0.00016642161062918603,0.04274006932973862,0.03058885782957077,1.8236420373796136e-06,0.0021859316620975733,0.0009000000000000001
10,True,,0.0005606594495475292,0.04929251968860626,0.0005923479329794645,0.010383808985352516,0.003709175391122699,2.563168663982651e-06,0.0013616455253213644,0.001
11,True,,0.0009938774164766073,0.051471494138240814,0.00047108708531595767,0.012809441424906254,0.005726206116378307,3.490673179840087e-06,0.0016811443492770195,0.001
12,True,,0.01045246608555317,0.14740437269210815,0.0006684800027869642,0.114431232213974,0.08790132403373718,4.463345248950645e-06,0.0029712796676903963,0.0009999977296682896
13,True,,0.001626024954020977,0.05221324414014816,0.0008914968348108232,0.019515955820679665,0.010885559022426605,5.451864581118571e-06,0.0015111896209418774,0.0009999909186960666
14,True,,0.0014941466506570578,0.051797524094581604,0.00015223360969685018,0.017757195979356766,0.010778764262795448,6.5162316786882e-06,0.000875250727403909,0.0009999795671520565
15,True,,0.007987673394382,0.122464120388031,0.00041862690704874694,0.06525244563817978,0.04418103024363518,7.648178325325716e-06,0.001957160187885165,0.0009999636751508
16,True,,0.0009968698723241687,0.06133164465427399,0.001331750419922173,0.017293907701969147,0.007500284817069769,8.79017352417577e-06,0.001395104220137,0.0009999432428526539
17,True,,0.0017295608995482326,0.04943905770778656,0.0006942290347069502,0.01776554435491562,0.009703520685434341,9.944064913725015e-06,0.0013579140650108457,0.0009999182704637868
18,True,,0.0007681797724217176,0.050466835498809814,0.0005202741594985127,0.01100306399166584,0.004147541709244251,1.1093528883066028e-05,0.0014025226701050997,0.0009998887582361798
19,True,,0.0009501958265900612,0.060527656227350235,0.0002615059493109584,0.016967304050922394,0.009441209957003593,1.219168279931182e-05,0.0018477425910532475,0.0009998547064676213
20,True,,0.007074257358908653,0.11466410756111145,0.00018668058328330517,0.07494111359119415,0.05602695047855377,1.329212318523787e-05,0.0019349220674484968,0.0009998161155017067
21,True,,0.0013804221525788307,0.03678007051348686,0.00039184981142170727,0.01561528630554676,0.009773014113307,1.4386424481926952e-05,0.0009517914731986821,0.0009997729857278322
22,True,,0.002966528292745352,0.11798389256000519,0.0006879044231027365,0.042696572840213776,0.02655569091439247,1.548195541545283e-05,0.0014650170924142003,0.0009997253175811935
23,True,,0.004686766304075718,0.16504861414432526,0.0008609543438069522,0.054582495242357254,0.03166879341006279,1.6591544408584014e-05,0.00246897479519248,0.000999673111542779
24,True,,0.00014309905236586928,0.020047221332788467,0.0004694296803791076,0.0036734810564666986,0.0005866237916052341,1.768152833392378e-05,0.0014755325391888618,0.0009996163681393671
25,True,,0.004809925332665443,0.12694045901298523,0.0002731084532570094,0.05225091427564621,0.03420053794980049,1.8776525394059718e-05,0.0014053951017558575,0.0009995550879435188
26,True,,0.005615777801722288,0.1273851841688156,0.00016094354214146733,0.04673216864466667,0.028055787086486816,1.9871557014994323e-05,0.0016171121969819069,0.0009994892715735738
27,True,,0.0009056261042132974,0.07908796519041061,0.0005023255944252014,0.015532114543020725,0.005712830927222967,2.0952340491930954e-05,0.0011263119522482157,0.0009994189196936435
28,True,,0.007942937314510345,0.13108941912651062,0.0005545142339542508,0.10064312070608139,0.07848198711872101,2.200527160312049e-05,0.002238811459392309,0.0009993440330136032
29,True,,0.0005874163471162319,0.051526106894016266,0.0007170262979343534,0.010104335844516754,0.0029300255700945854,2.3071113901096396e-05,0.0014259457821026444,0.0009992646122890872
30,True,,0.004176373593509197,0.09289946407079697,0.00016359469736926258,0.04054105654358864,0.02674730308353901,2.4124999981722794e-05,0.0014265840873122215,0.0009991806583214795
31,True,,0.0010569391306489706,0.04876154661178589,0.00010927663242910057,0.011281950399279594,0.005130050703883171,2.5196124624926597e-05,0.0007206695736385882,0.0009990921719579058
