candidate,source,method,bits,clip,step,psnr,ssim,psnr_p05,min_psnr,quality_violation_fraction,target_mse,feasible,semantic_lowpass_mse,generated_reference_mse,natural_validation_mse,natural_validation_lpips,natural_validation_residual,selection_objective,code_change_fraction_vs_rtn,code_offset_rms,code_offset_ge_one_fraction
natural_residual_qat_w4_c1.0_step0,rtn_fallback,natural_residual_qat,4,1.0,0,33.350128173828125,0.9434767961502075,29.57149887084961,28.767127990722656,0.0,0.004032883123727515,True,8.513084630976664e-05,0.0005414379287685733,0.004032883123727515,0.09538438788149506,0.027925196780415718,0.04149651869229274,0.0,0.0,0.0
natural_residual_qat_w4_c1.0_step50,natural_residual_qat,natural_residual_qat,4,1.0,50,33.38853073120117,0.9352935552597046,28.562122344970703,27.789011001586914,0.15000000596046448,0.0036059912190467003,True,4.155366796112503e-05,0.0005726071503886487,0.0036059912190467003,0.08260509875253774,0.023995719937374815,0.03586222103167529,0.0053896657191216946,0.006698091080747552,0.0
natural_residual_qat_w4_c1.0_step100,natural_residual_qat,natural_residual_qat,4,1.0,100,33.34406661987305,0.9362105131149292,28.776153564453125,27.911479949951172,0.15000000596046448,0.003514448055284447,True,4.335792873462196e-05,0.0005668488491210155,0.003514448055284447,0.07987445170874707,0.02358566190014244,0.035087555126301594,0.007155120372772217,0.008956562308462309,0.0
natural_residual_qat_w4_c1.0_step150,natural_residual_qat,natural_residual_qat,4,1.0,150,33.17267990112305,0.931127667427063,28.4215087890625,27.56197166442871,0.20000000298023224,0.0034463156853234977,True,4.1518789021210975e-05,0.0005953520674665924,0.0034463156853234977,0.07973207245231606,0.022989500725088874,0.03440902365564398,0.008815746754407883,0.011080943096831464,0.0
natural_residual_qat_w4_c1.0_step200,natural_residual_qat,natural_residual_qat,4,1.0,200,32.93775177001953,0.9274626970291138,27.750368118286133,27.22469139099121,0.30000001192092896,0.0034621235681697726,True,4.835894542338792e-05,0.0006399771933502052,0.0034621235681697726,0.07724592005251907,0.022897863262187457,0.034084578835609135,0.010197479277849197,0.012784512128063344,0.0
natural_residual_qat_w4_c1.0_step250,natural_residual_qat,natural_residual_qat,4,1.0,250,32.850135803222656,0.9261506199836731,27.79269790649414,27.115314483642578,0.30000001192092896,0.003451875608334376,True,5.289387081575114e-05,0.0006510427396278828,0.003451875608334376,0.07573486104956828,0.022721018660377013,0.033746380373668214,0.011084998957812786,0.013921754787114172,0.0
natural_residual_qat_w4_c1.0_step300,natural_residual_qat,natural_residual_qat,4,1.0,300,32.945068359375,0.9250699877738953,27.85671615600586,27.111160278320312,0.30000001192092896,0.003415321073589439,True,3.930213988496689e-05,0.0006409734021872282,0.003415321073589439,0.07497426113695838,0.022507589739689138,0.033420336926974416,0.012130792252719402,0.015222073251082352,0.0
natural_residual_qat_w4_c1.0_step350,natural_residual_qat,natural_residual_qat,4,1.0,350,32.84906005859375,0.9238381385803223,27.580081939697266,26.91101837158203,0.30000001192092896,0.0034593011901051796,True,4.9643827514955775e-05,0.0006645659617788624,0.0034593011901051796,0.0735772030602675,0.022512099514642614,0.033329121010774544,0.012928690761327744,0.016224786002282714,0.0
natural_residual_qat_w4_c1.0_step400,natural_residual_qat,natural_residual_qat,4,1.0,400,32.94336700439453,0.9257625341415405,27.882673263549805,26.969440460205078,0.30000001192092896,0.003456420555266959,True,4.0577200979896586e-05,0.0006454526112065651,0.003456420555266959,0.0728113031364046,0.022525031274199137,0.03326258214310655,0.013742987997829914,0.017240273500938093,0.0
natural_residual_qat_w4_c1.0_step450,natural_residual_qat,natural_residual_qat,4,1.0,450,32.907569885253906,0.9263585805892944,27.793703079223633,27.049386978149414,0.30000001192092896,0.003437599334120023,True,4.2323431489421634e-05,0.0006475208894698881,0.003437599334120023,0.0730799434822984,0.02248097521442105,0.03322656889677091,0.014391126111149788,0.01804837409518484,0.0
natural_residual_qat_w4_c1.0_step500,natural_residual_qat,natural_residual_qat,4,1.0,500,32.86505889892578,0.9251330494880676,27.938003540039062,27.175512313842773,0.25,0.00343800957671192,True,4.798795125680044e-05,0.0006500679890450555,0.00343800957671192,0.07242501046857797,0.022362575569786713,0.03304308619335643,0.014921292662620544,0.01871660056131162,0.0
natural_residual_qat_w4_c1.0_step550,natural_residual_qat,natural_residual_qat,4,1.0,550,32.97270202636719,0.9264410138130188,27.946706771850586,27.143564224243164,0.30000001192092896,0.0034275461275683483,True,4.163556714047445e-05,0.000638099239586154,0.0034275461275683483,0.07174257343285717,0.0223705525186233,0.03297235598947736,0.015444179065525532,0.019369832978688984,0.0
natural_residual_qat_w4_c1.0_step600,natural_residual_qat,natural_residual_qat,4,1.0,600,32.896018981933594,0.9251964688301086,27.996347427368164,27.086978912353516,0.30000001192092896,0.0034331550159549806,True,4.479006247493089e-05,0.0006462907047534827,0.0034331550159549806,0.07137691127718426,0.02232474681295571,0.03289559295662912,0.015846122056245804,0.019867250261412017,0.0
natural_residual_qat_w4_c1.0_step650,natural_residual_qat,natural_residual_qat,4,1.0,650,32.96449661254883,0.9253958463668823,27.99907112121582,27.131546020507812,0.30000001192092896,0.00343645063776421,True,3.546055249898927e-05,0.0006361290958011523,0.00343645063776421,0.07120002657757141,0.02234538135235198,0.03290183464787333,0.016242582350969315,0.02035816191451115,0.0
natural_residual_qat_w4_c1.0_step700,natural_residual_qat,natural_residual_qat,4,1.0,700,32.813987731933594,0.9236431121826172,27.78565788269043,26.92102813720703,0.30000001192092896,0.0034411202868795954,True,4.717577348856139e-05,0.0006619030362344347,0.0034411202868795954,0.07080827502068132,0.02231252043384302,0.03283446822279075,0.016563639044761658,0.020751182457694438,0.0
natural_residual_qat_w4_c1.0_step750,natural_residual_qat,natural_residual_qat,4,1.0,750,32.9387321472168,0.9247230291366577,27.902469635009766,27.080425262451172,0.30000001192092896,0.0034278966736565053,True,3.884435363943339e-05,0.0006432476693589706,0.0034278966736565053,0.07148306944873184,0.022215033422980923,0.032791237041510615,0.016841258853673935,0.021091493953928443,0.0
natural_residual_qat_w4_c1.0_step800,natural_residual_qat,natural_residual_qat,4,1.0,800,32.853553771972656,0.9242826700210571,27.748355865478516,26.896087646484375,0.30000001192092896,0.0034415750801599643,True,4.321556752984179e-05,0.0006601486500585451,0.0034415750801599643,0.07041733572259545,0.022260607865973725,0.032743916518393236,0.0170473363250494,0.021345603408776028,0.0
natural_residual_qat_w4_c1.0_step850,natural_residual_qat,natural_residual_qat,4,1.0,850,32.88432312011719,0.9246710538864136,27.905513763427734,26.953916549682617,0.30000001192092896,0.003439094516579644,True,3.8019476596673486e-05,0.000650121567741735,0.003439094516579644,0.07035940757486969,0.02224956190366356,0.03272459717773017,0.01721426472067833,0.021547135076014797,0.0
natural_residual_qat_w4_c1.0_step900,natural_residual_qat,natural_residual_qat,4,1.0,900,32.906593322753906,0.924979031085968,27.860767364501953,26.992267608642578,0.30000001192092896,0.0034301339796911634,True,4.298758985896711e-05,0.0006501667798147537,0.0034301339796911634,0.07052427882445045,0.022234427560761105,0.032716989422897316,0.017346957698464394,0.02171156321050657,0.0
natural_residual_qat_w4_c1.0_step950,natural_residual_qat,natural_residual_qat,4,1.0,950,32.94219207763672,0.9253318905830383,27.897533416748047,27.02822494506836,0.30000001192092896,0.0034319113301535253,True,4.1233863430534254e-05,0.0006439593773393427,0.0034319113301535253,0.07034337599179707,0.022258585297095124,0.032724834226428356,0.01745479926466942,0.021841938556022986,0.0
natural_residual_qat_w4_c1.0_step1000,natural_residual_qat,natural_residual_qat,4,1.0,1000,32.90831756591797,0.9250820875167847,27.890819549560547,26.977739334106445,0.30000001192092896,0.0034254242773386068,True,4.426868790687877e-05,0.0006506431549496483,0.0034254242773386068,0.07046017097309232,0.02220728622887691,0.03267872760352475,0.0175548754632473,0.021962177241491087,0.0
