step,applied,reason,block,discriminator_loss,discriminator_applied,reconstruction_mse,perceptual_loss,preservation_mse,loss,residual_loss,trust_loss,spectral_loss,adversarial_loss,grad_norm,learning_rate
15,True,,,,,9.443754606763832e-06,0.0,3.879157702613156e-06,1.1383333912817761e-05,0.0,0.0,0.0,0.0,2.0444217341264448e-07,0.0075
16,True,,,,,4.524153609963832e-06,0.0,1.5089381122379564e-06,5.278622666082811e-06,0.0,0.0,0.0,0.0,1.28402461996302e-07,0.008
17,True,,,,,2.1729181298724143e-06,0.0,5.351053005142603e-07,2.4404707801295444e-06,0.0,0.0,0.0,0.0,1.221637688786359e-07,0.0085
18,True,,,,,7.145833478716668e-06,0.0,3.8448515624622814e-06,9.068258805200458e-06,0.0,0.0,0.0,0.0,2.5828848038145225e-07,0.009
19,True,,,,,9.108569429372437e-06,0.0,3.828658918791916e-06,1.1022899343515746e-05,0.0,0.0,0.0,0.0,2.7906583000003593e-07,0.0095
20,True,,,,,1.4977862520026974e-05,0.0,6.490081432275474e-06,1.822290323616471e-05,0.0,0.0,0.0,0.0,2.7428620796854375e-07,0.01
21,True,,,,,5.090269769425504e-05,0.0,3.380609268788248e-05,6.780574040021747e-05,0.0,0.0,0.0,0.0,1.2249852261447813e-06,0.01
22,True,,,,,8.054948921198957e-06,0.0,4.304150024836417e-06,1.0207024388364516e-05,0.0,0.0,0.0,0.0,2.4020457090045966e-07,0.009999976830508246
23,True,,,,,6.789131475670729e-06,0.0,1.9033417402170016e-06,7.740802175248973e-06,0.0,0.0,0.0,0.0,2.0642249864977202e-07,0.009999907322271573
24,True,,,,,5.808589776279405e-06,0.0,1.8163818822358735e-06,6.7167807173973415e-06,0.0,0.0,0.0,0.0,1.4309850371319044e-07,0.009999791476005744
25,True,,,,,1.336798413831275e-05,0.0,4.211063242109958e-06,1.5473515304620378e-05,0.0,0.0,0.0,0.0,2.3062581533395132e-07,0.009999629292903696
26,True,,,,,7.994461157068145e-06,0.0,4.570759756461484e-06,1.0279841262672562e-05,0.0,0.0,0.0,0.0,2.883241450035712e-07,0.009999420774635514
27,True,,,,,2.4609187221358297e-06,0.0,7.954633360895969e-07,2.8586503049155e-06,0.0,0.0,0.0,0.0,1.244735727823354e-07,0.009999165923348426
28,True,,,,,8.592767699155957e-06,0.0,3.6250635275791865e-06,1.0405299690319225e-05,0.0,0.0,0.0,0.0,2.46761402422635e-07,0.009998864741666778
29,True,,,,,4.9442627641838044e-05,0.0,3.223810199415311e-05,6.556167500093579e-05,0.0,0.0,0.0,0.0,1.1724297337423195e-06,0.009998517232692006
30,True,,,,,3.0225560294638854e-06,0.0,8.080471616267459e-07,3.4265794965904206e-06,0.0,0.0,0.0,0.0,1.2848104802287708e-07,0.009998123400002596
31,True,,,,,1.2985972716705874e-05,0.0,6.686505912512075e-06,1.6329226127709262e-05,0.0,0.0,0.0,0.0,3.0554483032574353e-07,0.009997683247654064
32,True,,,,,5.0052481128659565e-06,0.0,1.794423042156268e-06,5.9024596339440905e-06,0.0,0.0,0.0,0.0,8.777485760447234e-08,0.009997196780178902
33,True,,,,,5.045348370913416e-05,0.0,3.207967529306188e-05,6.64933177176863e-05,0.0,0.0,0.0,0.0,1.1443219136708649e-06,0.009996664002586532
34,True,,,,,5.403351678978652e-06,0.0,2.086576159854303e-06,6.446639872592641e-06,0.0,0.0,0.0,0.0,1.4135746084775747e-07,0.009996084920363264
35,True,,,,,1.588341183378361e-05,0.0,6.519596354337409e-06,1.9143210010952316e-05,0.0,0.0,0.0,0.0,2.73578592668855e-07,0.009995459539472219
36,True,,,,,2.3521247385360766e-06,0.0,5.822810180688975e-07,2.643265361257363e-06,0.0,0.0,0.0,0.0,1.0437801734042296e-07,0.009994787866353296
37,True,,,,,7.5277857831679285e-06,0.0,3.2692787499399856e-06,9.162425158137921e-06,0.0,0.0,0.0,0.0,2.1822904727741843e-07,0.009994069907923082
38,True,,,,,6.216954261617502e-06,0.0,3.0188298296707217e-06,7.726369403826538e-06,0.0,0.0,0.0,0.0,2.0004981138299627e-07,0.00999330567157479
39,True,,,,,7.226075013022637e-06,0.0,4.0312670535058714e-06,9.241708539775573e-06,0.0,0.0,0.0,0.0,2.557896436883311e-07,0.009992495165178182
40,True,,,,,6.43108023723471e-06,0.0,2.0090024008823093e-06,7.435581210302189e-06,0.0,0.0,0.0,0.0,1.3828680778260605e-07,0.009991638397079495
41,True,,,,,3.7484110180230346e-06,0.0,1.2289867754589068e-06,4.36290429206565e-06,0.0,0.0,0.0,0.0,1.0441453213161367e-07,0.009990735376101338
42,True,,,,,3.492651330816443e-06,0.0,8.094888244158938e-07,3.897395799867809e-06,0.0,0.0,0.0,0.0,1.364618498200798e-07,0.00998978611154262
43,True,,,,,3.272052254033042e-06,0.0,9.29484656353452e-07,3.73679449694464e-06,0.0,0.0,0.0,0.0,1.390981765325705e-07,0.009988790613178436
44,True,,,,,4.040688054374186e-06,0.0,1.3148853668099036e-06,4.698130851465976e-06,0.0,0.0,0.0,0.0,1.0164345809471342e-07,0.00998774889125999
45,True,,,,,1.393328420817852e-05,0.0,6.2933868321124464e-06,1.7079977624234743e-05,0.0,0.0,0.0,0.0,2.7839183758260333e-07,0.009986660956514463
46,True,,,,,6.679877969872905e-06,0.0,2.8394867968017934e-06,8.09962148196064e-06,0.0,0.0,0.0,0.0,1.917359071512692e-07,0.00998552682014492
47,True,,,,,5.798463462269865e-05,0.0,3.577706957003102e-05,7.587316940771416e-05,0.0,0.0,0.0,0.0,1.1714827223840985e-06,0.009984346493830188
48,True,,,,,5.574001079367008e-06,0.0,2.0782649698958267e-06,6.613133336941246e-06,0.0,0.0,0.0,0.0,1.2867025134255528e-07,0.009983119989724744
49,True,,,,,2.7898872758669313e-06,0.0,7.447315510944463e-07,3.1622530514141545e-06,0.0,0.0,0.0,0.0,1.0809485928575668e-07,0.00998184732045857
50,True,,,,,6.239979029487586e-06,0.0,2.589888708826038e-06,7.534923497587442e-06,0.0,0.0,0.0,0.0,1.841594325924234e-07,0.009980528499137047
51,True,,,,,5.310220876708627e-05,0.0,3.163041401421651e-05,6.891741941217333e-05,0.0,0.0,0.0,0.0,1.0859283747777226e-06,0.009979163539340807
52,True,,,,,6.733690497640055e-06,0.0,3.4318370580876945e-06,8.449608685623389e-06,0.0,0.0,0.0,0.0,1.817802797177137e-07,0.009977752455125595
53,True,,,,,4.236733730067499e-06,0.0,1.5164523574640043e-06,4.994959908799501e-06,0.0,0.0,0.0,0.0,1.1213608530624697e-07,0.00997629526102212
54,True,,,,,1.3907625543652102e-05,0.0,7.03015030012466e-06,1.7422700693714432e-05,0.0,0.0,0.0,0.0,2.7752071218856145e-07,0.009974791972035919
55,True,,,,,5.25797440786846e-06,0.0,1.988805252040038e-06,6.252376806514803e-06,0.0,0.0,0.0,0.0,1.0740065192749171e-07,0.009973242603647185
56,True,,,,,5.1110964705003425e-06,0.0,1.2389588164296583e-06,5.730576049245428e-06,0.0,0.0,0.0,0.0,1.531470132931645e-07,0.00997164717181062
57,True,,,,,6.0676588873320725e-06,0.0,1.7962241827262915e-06,6.965770808164962e-06,0.0,0.0,0.0,0.0,9.788089272433353e-08,0.009970005692955267
58,True,,,,,4.1217108446289785e-06,0.0,1.2816724392905599e-06,4.762547177961096e-06,0.0,0.0,0.0,0.0,1.559429136932522e-07,0.009968318183984337
59,True,,,,,5.337726179277524e-06,0.0,1.026724362418463e-06,5.851088189956499e-06,0.0,0.0,0.0,0.0,1.7303217703101836e-07,0.009966584662275046
60,True,,,,,6.922010925336508e-06,0.0,2.680129910004325e-06,8.26207542559132e-06,0.0,0.0,0.0,0.0,1.0462049715442845e-07,0.00996480514567842
61,True,,,,,9.009682798932772e-06,0.0,3.456092599662952e-06,1.0737729098764248e-05,0.0,0.0,0.0,0.0,2.235594536159624e-07,0.009962979652519122
62,True,,,,,8.283602255687583e-06,0.0,4.660982540372061e-06,1.0614093298499938e-05,0.0,0.0,0.0,0.0,2.2220544337869796e-07,0.009961108201595268
63,True,,,,,1.1484144124551676e-05,0.0,5.851481546415016e-06,1.4409884897759184e-05,0.0,0.0,0.0,0.0,2.379501466975853e-07,0.009959190812178217
64,True,,,,,4.417308809934184e-05,0.0,2.7679354388965294e-05,5.801276711281389e-05,0.0,0.0,0.0,0.0,1.0334881608287105e-06,0.009957227504012386
65,True,,,,,1.036448338709306e-05,0.0,4.13865564041771e-06,1.2433811207301915e-05,0.0,0.0,0.0,0.0,1.6940347791205568e-07,0.009955218297315044
66,True,,,,,1.0020839908975177e-05,0.0,4.217983587295748e-06,1.212983170262305e-05,0.0,0.0,0.0,0.0,2.0889331153739477e-07,0.009953163212776102
67,True,,,,,6.018835847498849e-06,0.0,3.3228923257411225e-06,7.680281669308897e-06,0.0,0.0,0.0,0.0,1.8959919145800086e-07,0.0099510622715579
68,True,,,,,6.84907990944339e-06,0.0,1.5479358808079269e-06,7.6230480772210285e-06,0.0,0.0,0.0,0.0,1.6942600211677927e-07,0.009948915495294985
69,True,,,,,4.4978485675528646e-05,0.0,2.7795198548119515e-05,5.88760849495884e-05,0.0,0.0,0.0,0.0,1.0406824912934098e-06,0.0099467229060939
70,True,,,,,4.598236046149395e-06,0.0,1.4343467000799137e-06,5.315409453032771e-06,0.0,0.0,0.0,0.0,1.0740276223941692e-07,0.009944484526532946
71,True,,,,,4.743534191220533e-06,0.0,2.7722430786525365e-06,6.129655957920477e-06,0.0,0.0,0.0,0.0,1.5947811959904357e-07,0.009942200379661955
72,True,,,,,7.272031325555872e-06,0.0,2.767475507425843e-06,8.655769306642469e-06,0.0,0.0,0.0,0.0,1.7715854028210742e-07,0.009939870489002044
73,True,,,,,2.1785922399431e-06,0.0,6.217298960109474e-07,2.489457074261736e-06,0.0,0.0,0.0,0.0,1.2149926931215305e-07,0.009937494878545384
74,True,,,,,7.570771231257822e-06,0.0,3.0109872568573337e-06,9.076265087060165e-06,0.0,0.0,0.0,0.0,1.6687927484326792e-07,0.009935073572754947
75,True,,,,,4.567342693917453e-05,0.0,2.810121441143565e-05,5.972403596388176e-05,0.0,0.0,0.0,0.0,1.0172285556109273e-06,0.009932606596564255
76,True,,,,,6.280180514295353e-06,0.0,2.1137484509381466e-06,7.337054739764426e-06,0.0,0.0,0.0,0.0,1.1166398650175324e-07,0.009930093975377126
77,True,,,,,8.078126484178938e-06,0.0,3.4482097817090107e-06,9.80223103397293e-06,0.0,0.0,0.0,0.0,1.8841009818970633e-07,0.009927535735067402
78,True,,,,,3.4901927392638754e-06,0.0,8.580285566495149e-07,3.919206847058376e-06,0.0,0.0,0.0,0.0,1.1419294310144323e-07,0.009924931901978701
79,True,,,,,5.738945219491143e-06,0.0,3.2322884635505034e-06,7.355089564953232e-06,0.0,0.0,0.0,0.0,1.833884937241237e-07,0.009922282502924125
80,True,,,,,1.459030136174988e-05,0.0,5.581659024755936e-06,1.73811313288752e-05,0.0,0.0,0.0,0.0,2.4529447273380356e-07,0.009919587565186
81,True,,,,,8.940780389821157e-06,0.0,3.7472927942872047e-06,1.081442678696476e-05,0.0,0.0,0.0,0.0,1.9292258457426215e-07,0.009916847116515587
82,True,,,,,3.9877850213088095e-06,0.0,9.213322300638538e-07,4.448451363714412e-06,0.0,0.0,0.0,0.0,9.609681228539557e-08,0.009914061185132798
83,True,,,,,3.376055246917531e-06,0.0,1.0163321348954923e-06,3.884221314365277e-06,0.0,0.0,0.0,0.0,1.0504421510404427e-07,0.009911229799725906
84,True,,,,,1.804008752515074e-05,0.0,7.257519428094383e-06,2.166884769394528e-05,0.0,0.0,0.0,0.0,2.762668032119109e-07,0.00990835298945125
85,True,,,,,6.696921445836779e-06,0.0,2.847861196642043e-06,8.120851816784125e-06,0.0,0.0,0.0,0.0,1.6235301814049308e-07,0.009905430783932932
86,True,,,,,4.9261871026828885e-06,0.0,3.0445680749835446e-06,6.448471140174661e-06,0.0,0.0,0.0,0.0,1.5014263965440477e-07,0.009902463213262517
87,True,,,,,3.1408690119860694e-06,0.0,7.600194180668041e-07,3.520878635754343e-06,0.0,0.0,0.0,0.0,1.2931975845731358e-07,0.009899450307998716
88,True,,,,,4.334799450589344e-05,0.0,2.644039341248572e-05,5.65681912121363e-05,0.0,0.0,0.0,0.0,9.901963267111569e-07,0.009896392099167076
89,True,,,,,5.693152161256876e-06,0.0,1.7466661574871978e-06,6.5664853536873125e-06,0.0,0.0,0.0,0.0,1.2828763829020318e-07,0.009893288618259664
90,True,,,,,9.452302037971094e-06,0.0,3.453516910667531e-06,1.117906049330486e-05,0.0,0.0,0.0,0.0,1.8790282751979248e-07,0.009890139897234735
