candidate,source,method,bits,clip,step,psnr,ssim,budget_violation_fraction,psnr_p05,min_psnr,quality_violation_fraction,target_mse,feasible,semantic_lowpass_mse,generated_reference_mse,natural_validation_mse,natural_validation_lpips,natural_validation_residual,natural_validation_spectral,natural_validation_cycle,selection_objective,code_change_fraction_vs_rtn,code_offset_rms,code_offset_ge_one_fraction
natural_residual_qat_warm_w4_c1.0_step0,rtn_fallback,natural_residual_qat_warm,4,1.0,0,29.487804412841797,0.8219000101089478,,23.779691696166992,23.48257827758789,0.44999998807907104,0.0038027763839636464,True,7.231915415104596e-05,0.001471862023754511,0.0038027763839636464,0.05784048230270855,0.023947999889401217,,,0.03357098408071124,0.032524943351745605,0.2913733466341625,0.0
natural_residual_qat_warm_w4_c1.0_step100,natural_residual_qat_warm,natural_residual_qat_warm,4,1.0,100,29.487804412841797,0.8219000101089478,,23.779691696166992,23.48257827758789,0.44999998807907104,0.0038027763839636464,True,7.231915415104596e-05,0.001471862023754511,0.0038027763839636464,0.05784048230270855,0.023947999889401217,,,0.03357098408071124,0.032524943351745605,0.29142867607978334,0.0
natural_residual_qat_warm_w4_c1.0_step200,natural_residual_qat_warm,natural_residual_qat_warm,4,1.0,200,29.487804412841797,0.8219000101089478,,23.779691696166992,23.48257827758789,0.44999998807907104,0.0038027763839636464,True,7.231915415104596e-05,0.001471862023754511,0.0038027763839636464,0.05784048230270855,0.023947999889401217,,,0.03357098408071124,0.032524943351745605,0.29177183429356107,0.0
natural_residual_qat_warm_w4_c1.0_step300,natural_residual_qat_warm,natural_residual_qat_warm,4,1.0,300,29.487804412841797,0.8219000101089478,,23.779691696166992,23.48257827758789,0.44999998807907104,0.0038027763839636464,True,7.231915415104596e-05,0.001471862023754511,0.0038027763839636464,0.05784048230270855,0.023947999889401217,,,0.03357098408071124,0.032524943351745605,0.2923041116091204,0.0
natural_residual_qat_warm_w4_c1.0_step400,natural_residual_qat_warm,natural_residual_qat_warm,4,1.0,400,29.487804412841797,0.8219000101089478,,23.779691696166992,23.48257827758789,0.44999998807907104,0.0038027763839636464,True,7.231915415104596e-05,0.001471862023754511,0.0038027763839636464,0.05784048230270855,0.023947999889401217,,,0.03357098408071124,0.032524943351745605,0.29309859895055707,0.0
natural_residual_qat_warm_w4_c1.0_step500,natural_residual_qat_warm,natural_residual_qat_warm,4,1.0,500,29.487804412841797,0.8219000101089478,,23.779691696166992,23.48257827758789,0.44999998807907104,0.0038027763839636464,True,7.231915415104596e-05,0.001471862023754511,0.0038027763839636464,0.05784048230270855,0.023947999889401217,,,0.03357098408071124,0.032524943351745605,0.2940921100055536,0.0
natural_residual_qat_warm_w4_c1.0_step600,natural_residual_qat_warm,natural_residual_qat_warm,4,1.0,600,29.487804412841797,0.8219000101089478,,23.779691696166992,23.48257827758789,0.44999998807907104,0.0038027763839636464,True,7.231915415104596e-05,0.001471862023754511,0.0038027763839636464,0.05784048230270855,0.023947999889401217,,,0.03357098408071124,0.032524943351745605,0.2952288488964617,0.0
natural_residual_qat_warm_w4_c1.0_step700,natural_residual_qat_warm,natural_residual_qat_warm,4,1.0,700,29.494579315185547,0.8217889070510864,,23.786853790283203,23.48346519470215,0.44999998807907104,0.0038038292642568194,True,6.853232489447691e-05,0.001469375162560027,0.0038038292642568194,0.05773747969942633,0.023946586899683098,,,0.033558430296329794,0.03252514451742172,0.2962932030646857,8.088583314247444e-08
natural_residual_qat_warm_w4_c1.0_step800,natural_residual_qat_warm,natural_residual_qat_warm,4,1.0,800,29.472187042236328,0.8214947581291199,,23.75126838684082,23.477474212646484,0.44999998807907104,0.0038071205869698588,True,7.531035234933369e-05,0.001478297810535878,0.0038071205869698588,0.05767226113312063,0.023942040511087725,,,0.033554042387544315,0.032525405287742615,0.29716633004279835,2.2243604291816155e-07
natural_residual_qat_warm_w4_c1.0_step900,natural_residual_qat_warm,natural_residual_qat_warm,4,1.0,900,29.472911834716797,0.8215597867965698,,23.753374099731445,23.481016159057617,0.44999998807907104,0.0038039981414783597,True,7.377354231721255e-05,0.0014771407484658993,0.0038039981414783597,0.05762917311585625,0.02393579805823265,,,0.03353960028245524,0.03252581134438515,0.2979753455925848,4.0442915860694484e-07
natural_residual_qat_warm_w4_c1.0_step1000,natural_residual_qat_warm,natural_residual_qat_warm,4,1.0,1000,29.470556259155273,0.821475625038147,,23.75189781188965,23.47287940979004,0.44999998807907104,0.0038050267151845674,True,7.606568051414797e-05,0.0014789289023610763,0.0038050267151845674,0.05760133161311387,0.023930638215688305,,,0.03353383093244133,0.03252637758851051,0.29853356248344687,4.853150130657014e-07
natural_residual_qat_warm_w4_c1.0_step1100,natural_residual_qat_warm,natural_residual_qat_warm,4,1.0,1100,29.452627182006836,0.8213445544242859,,23.75779151916504,23.472782135009766,0.44999998807907104,0.0038095404864293414,True,7.238720336317783e-05,0.001478706087800674,0.0038095404864293414,0.05784335904172622,0.023935300104653834,,,0.033565370096937386,0.03252694383263588,0.29909297949233654,5.055364340478263e-07
natural_residual_qat_warm_w4_c1.0_step1200,natural_residual_qat_warm,natural_residual_qat_warm,4,1.0,1200,29.44270896911621,0.8212000131607056,,23.725543975830078,23.462726593017578,0.44999998807907104,0.003809658937200311,True,7.967947894940152e-05,0.0014864333279547282,0.003809658937200311,0.05783500760662719,0.02393074630731462,,,0.03356374574465235,0.03252755105495453,0.2995768125263867,6.066437663321267e-07
natural_residual_qat_warm_w4_c1.0_step1300,natural_residual_qat_warm,natural_residual_qat_warm,4,1.0,1300,29.463912963867188,0.8215112686157227,,23.753225326538086,23.470909118652344,0.44999998807907104,0.003806278644390204,True,7.715328711128677e-05,0.0014793878319323995,0.003806278644390204,0.05760465246567037,0.0239226619225974,,,0.033527982457110285,0.03252815827727318,0.29995716206355083,7.27972519598552e-07
natural_residual_qat_warm_w4_c1.0_step1400,natural_residual_qat_warm,natural_residual_qat_warm,4,1.0,1400,29.47726821899414,0.8215958476066589,,23.74679946899414,23.471023559570312,0.44999998807907104,0.0038019070888708484,True,7.589198776258854e-05,0.0014774758921703324,0.0038019070888708484,0.05763175267566112,0.023920675518638745,,,0.033523703868957,0.032528478652238846,0.3002329076234295,7.48193940580677e-07
natural_residual_qat_warm_w4_c1.0_step1500,natural_residual_qat_warm,natural_residual_qat_warm,4,1.0,1500,29.479656219482422,0.8216423988342285,,23.774187088012695,23.48362922668457,0.44999998807907104,0.003802373539713244,True,7.040579484964837e-05,0.0014723764470545575,0.003802373539713244,0.05763690171079361,0.023919961531362333,,,0.033521228139579765,0.032529067248106,0.3004371235033489,8.290797950394335e-07
natural_residual_qat_warm_w4_c1.0_step1600,natural_residual_qat_warm,natural_residual_qat_warm,4,1.0,1600,29.481740951538086,0.8216667175292969,,23.761999130249023,23.477603912353516,0.44999998807907104,0.003803400693229264,True,7.066773569022188e-05,0.00147314528003335,0.003803400693229264,0.05758881368092261,0.023918723746419346,,,0.03351633967558598,0.03252951055765152,0.3006108532073192,8.695226938471023e-07
natural_residual_qat_warm_w4_c1.0_step1700,natural_residual_qat_warm,natural_residual_qat_warm,4,1.0,1700,29.488361358642578,0.8217982053756714,,23.78377914428711,23.481021881103516,0.44999998807907104,0.003803262306689703,True,6.863381522634882e-05,0.0014700150830321945,0.003803262306689703,0.05760668879156583,0.02392469836922828,,,0.03352294646268774,0.03252951055765152,0.30072209160391195,9.706300261314027e-07
natural_residual_qat_warm_w4_c1.0_step1800,natural_residual_qat_warm,natural_residual_qat_warm,4,1.0,1800,29.489505767822266,0.82173091173172,,23.777437210083008,23.484512329101562,0.44999998807907104,0.003800753304915361,True,6.982578734096023e-05,0.001470556782442145,0.003800753304915361,0.057580700082326075,0.02391795318635559,,,0.03351168939317404,0.032529592514038086,0.30081416854062765,9.504085483058589e-07
natural_residual_qat_warm_w4_c1.0_step1900,natural_residual_qat_warm,natural_residual_qat_warm,4,1.0,1900,29.480770111083984,0.8214185833930969,,23.76354217529297,23.487825393676758,0.44999998807907104,0.003801930803177811,True,6.966111841393286e-05,0.001473414538486395,0.003801930803177811,0.057592472643591464,0.02392401299840685,,,0.033520021625150775,0.03252991661429405,0.3008806015011463,9.706300261314027e-07
natural_residual_qat_warm_w4_c1.0_step2000,natural_residual_qat_warm,natural_residual_qat_warm,4,1.0,2000,29.48847007751465,0.8216938972473145,,23.7681884765625,23.486974716186523,0.44999998807907104,0.0038007492637461837,True,7.11121298991202e-05,0.0014718365375301801,0.0038007492637461837,0.05762932358265971,0.023920309057018585,,,0.0335195467439803,0.03252973407506943,0.3009219769309755,9.706300261314027e-07
