step,applied,reason,joint_w4_loss,cycle_loss,teacher_mse,budget_penalty,dual_mse,dual_ssim,block,discriminator_loss,discriminator_applied,reconstruction_mse,perceptual_loss,preservation_mse,loss,residual_loss,trust_loss,spectral_loss,adversarial_loss,grad_norm,learning_rate,reconstruction_gradient_norm,residual_gradient_norm,preservation_gradient_norm
1,True,,,,,0.0,,,,,,0.003799453843384981,0.0541805699467659,4.181037002126686e-05,0.03410317003726959,0.024015765637159348,0.0848984345793724,0.0,0.0,0.0007935799076221883,5e-05,,,
2,True,,,,,0.0,,,,,,0.002188649959862232,0.04437250643968582,8.300004992634058e-05,0.0233908761292696,0.01587449014186859,0.08489837497472763,0.0,0.0,0.0006286147981882095,0.0001,,,
3,True,,,,,0.0,,,,,,0.002242874354124069,0.04078981280326843,4.107535278308205e-05,0.01984437182545662,0.012652996927499771,0.08489826321601868,0.0,0.0,0.0007859211764298379,0.00015000000000000001,,,
4,True,,,,,0.0,,,,,,0.0020633358508348465,0.03601423278450966,8.033138874452561e-05,0.018024319782853127,0.011470413766801357,0.08489810675382614,0.0,0.0,0.0004989963490515947,0.0002,,,
5,True,,,,,0.0,,,,,,0.003843043465167284,0.056309379637241364,4.8101712309289724e-05,0.03596419095993042,0.02561718039214611,0.08489789068698883,0.0,0.0,0.0007726991316303611,0.00025,,,
6,True,,,,,0.0,,,,,,0.005406375043094158,0.07339790463447571,6.275133637245744e-05,0.04602211341261864,0.03239559754729271,0.08489762991666794,0.0,0.0,0.00085446797311306,0.00030000000000000003,,,
7,True,,,,,0.0,,,,,,0.00392808485776186,0.061380401253700256,3.079832822550088e-05,0.03470447659492493,0.023773975670337677,0.08489734679460526,0.0,0.0,0.000764163036365062,0.00035,,,
8,True,,,,,0.0,,,,,,0.0027221746277064085,0.04808163642883301,4.308111238060519e-05,0.024240953847765923,0.01584010384976864,0.08489707112312317,0.0,0.0,0.0006636950420215726,0.0004,,,
9,True,,,,,0.0,,,,,,0.008802561089396477,0.08974392712116241,4.181037002126686e-05,0.0748709887266159,0.056224167346954346,0.08489673584699631,0.0,0.0,0.0013419141760095954,0.00045000000000000004,,,
10,True,,,,,0.0,,,,,,0.0019573208410292864,0.04370155185461044,8.300004992634058e-05,0.019569551572203636,0.012351610697805882,0.08489646762609482,0.0,0.0,0.0005328390398062766,0.0005,,,
11,True,,,,,0.0,,,,,,0.003514916403219104,0.06366842985153198,4.107535278308205e-05,0.033449936658144,0.02269867993891239,0.08489613980054855,0.0,0.0,0.000819475797470659,0.0005499999999999999,,,
12,True,,,,,0.0,,,,,,0.0031673102639615536,0.0563187375664711,8.033138874452561e-05,0.028125453740358353,0.01843714527785778,0.08489584922790527,0.0,0.0,0.0006353640928864479,0.0006000000000000001,,,
13,True,,,,,0.0,,,,,,0.003260285360738635,0.06235774606466293,4.8101712309289724e-05,0.0332086943089962,0.022839626297354698,0.0848955288529396,0.0,0.0,0.0007025711820460856,0.0006500000000000001,,,
14,True,,,,,0.0,,,,,,0.004871223587542772,0.06034582108259201,6.275133637245744e-05,0.04348796233534813,0.03170182928442955,0.08489522337913513,0.0,0.0,0.000784918840508908,0.0007,,,
15,True,,,,,0.0,,,,,,0.0033873103093355894,0.055859699845314026,3.079832822550088e-05,0.030611038208007812,0.02077341079711914,0.08489494025707245,0.0,0.0,0.0006497044232673943,0.00075,,,
16,True,,,,,0.0,,,,,,0.0031722746789455414,0.06341533362865448,4.308111238060519e-05,0.033001694828271866,0.02261740155518055,0.08489461243152618,0.0,0.0,0.0007035647286102176,0.0008,,,
17,True,,,,,0.0,,,,,,0.002549441996961832,0.050667278468608856,4.181037002126686e-05,0.02485874854028225,0.01637272909283638,0.08489431440830231,0.0,0.0,0.000644860730972141,0.0008500000000000001,,,
18,True,,,,,0.0,,,,,,0.0038381563499569893,0.06563664972782135,8.300004992634058e-05,0.03576723858714104,0.0244749765843153,0.08489397168159485,0.0,0.0,0.0007906410028226674,0.0009000000000000001,,,
19,True,,,,,0.0,,,,,,0.005948612000793219,0.06259545683860779,4.107535278308205e-05,0.05601505562663078,0.042937424033880234,0.0848936140537262,0.0,0.0,0.0009010323556140065,0.00095,,,
20,True,,,,,0.0,,,,,,0.0012060812441632152,0.02780357375741005,8.033138874452561e-05,0.011397437192499638,0.006521899718791246,0.08489329367876053,0.0,0.0,0.0005622489843517542,0.001,,,
21,True,,,,,0.0,,,,,,0.005673801526427269,0.05720854550600052,4.8101712309289724e-05,0.04573901742696762,0.033471379429101944,0.08489295840263367,0.0,0.0,0.000850068056024611,0.001,,,
22,True,,,,,0.0,,,,,,0.0014982328284531832,0.03945007175207138,6.275133637245744e-05,0.016774548217654228,0.010451005771756172,0.08489268273115158,0.0,0.0,0.0005482716951519251,0.0009999994329901755,,,
23,True,,,,,0.0,,,,,,0.0018863945733755827,0.03730074316263199,3.079832822550088e-05,0.017703015357255936,0.011222222819924355,0.0848923921585083,0.0,0.0,0.0006035515107214451,0.000999997731962131,,,
24,True,,,,,0.0,,,,,,0.0023304629139602184,0.046751707792282104,4.308111238060519e-05,0.020952099934220314,0.013076003640890121,0.08489210158586502,0.0,0.0,0.0006076073623262346,0.0009999948969201533,,,
25,True,,,,,0.0,,,,,,0.0031465203501284122,0.04764866828918457,4.181037002126686e-05,0.028916480019688606,0.020135268568992615,0.08489181846380234,0.0,0.0,0.0007613045163452625,0.0009999909278713864,,,
26,True,,,,,0.0,,,,,,0.005188317503780127,0.07297098636627197,8.300004992634058e-05,0.04813896492123604,0.03476313129067421,0.08489156514406204,0.0,0.0,0.0007822201587259769,0.000999985824825833,,,
27,True,,,,,0.0,,,,,,0.0031387819908559322,0.04365059360861778,4.107535278308205e-05,0.02628394030034542,0.01791064813733101,0.08489139378070831,0.0,0.0,0.0006921362946741283,0.0009999795877963526,,,
28,True,,,,,0.0,,,,,,0.001837645540945232,0.03404107689857483,8.033138874452561e-05,0.017568815499544144,0.011437986046075821,0.08489123731851578,0.0,0.0,0.00057675113203004,0.000999972216798663,,,
29,True,,,,,0.0,,,,,,0.0027138690929859877,0.04923456162214279,4.8101712309289724e-05,0.025879081338644028,0.017368795350193977,0.08489106595516205,0.0,0.0,0.000625736836809665,0.0009999637118513394,,,
