step,applied,reason,reconstruction_mse,perceptual_loss,preservation_mse,loss,residual_loss,trust_loss,grad_norm,learning_rate
1,True,,0.0009404639131389558,0.0436001755297184,0.0,0.005300481803715229,0.0,0.0,0.033019375056028366,1.0000000000000002e-06
2,True,,0.0006127431988716125,0.06375227868556976,0.0,0.006987971253693104,0.0,0.0,0.10714979469776154,2.0000000000000003e-06
3,True,,0.002683828119188547,0.1212611123919487,0.0,0.01480994001030922,0.0,0.0,0.11634290963411331,3.0000000000000005e-06
4,True,,0.0008703872445039451,0.03437892720103264,0.0,0.004308280069380999,0.0,0.0,0.07079151272773743,4.000000000000001e-06
5,True,,0.0006948398659005761,0.037484653294086456,0.0,0.0044433050788939,0.0,0.0,0.053870074450969696,5e-06
6,True,,0.0023498700466006994,0.04680732637643814,0.0,0.007030602544546127,0.0,0.0,0.032300304621458054,6.000000000000001e-06
7,True,,0.002371204551309347,0.059780750423669815,0.0,0.008349279873073101,0.0,0.0,0.04668363183736801,7.000000000000001e-06
8,True,,0.00242689810693264,0.03538385033607483,0.0,0.005965283140540123,0.0,0.0,0.04325395077466965,8.000000000000001e-06
9,True,,0.003958238288760185,0.0658014565706253,0.0,0.010538384318351746,0.0,0.0,0.03923945873975754,9e-06
10,True,,0.0005570674547925591,0.04246603697538376,0.0,0.004803671035915613,0.0,0.0,0.04172840714454651,1e-05
11,True,,0.0009921388700604439,0.04406829550862312,0.0,0.005398968700319529,0.0,0.0,0.10979433357715607,1e-05
12,True,,0.011027175933122635,0.13382336497306824,0.0,0.024409513920545578,0.0,0.0,0.06853866577148438,9.999977296682896e-06
13,True,,0.0016573411412537098,0.04300765320658684,0.0,0.005958106368780136,0.0,0.0,0.05118759348988533,9.999909186960666e-06
14,True,,0.0015638833865523338,0.04359765350818634,0.0,0.005923648830503225,0.0,0.0,0.02728576585650444,9.999795671520565e-06
15,True,,0.008210033178329468,0.11080741882324219,0.0,0.019290775060653687,0.0,0.0,0.07328847050666809,9.999636751508002e-06
16,True,,0.0009870335925370455,0.05350877344608307,0.0,0.006337910890579224,0.0,0.0,0.07157855480909348,9.999432428526538e-06
17,True,,0.0017391019500792027,0.04542723670601845,0.0,0.006281825713813305,0.0,0.0,0.05069808289408684,9.999182704637869e-06
18,True,,0.0007843266939744353,0.04129808396100998,0.0,0.004914135206490755,0.0,0.0,0.08162455260753632,9.998887582361798e-06
19,True,,0.0009545790962874889,0.04906421899795532,0.0,0.005861001089215279,0.0,0.0,0.16033774614334106,9.998547064676213e-06
20,True,,0.007585143204778433,0.08940494060516357,0.0,0.016525637358427048,0.0,0.0,0.04435121268033981,9.998161155017067e-06
21,True,,0.0014841448282822967,0.03130340576171875,0.0,0.004614485427737236,0.0,0.0,0.04429474472999573,9.997729857278323e-06
22,True,,0.003169128205627203,0.10270868986845016,0.0,0.013439998030662537,0.0,0.0,0.051477838307619095,9.997253175811935e-06
23,True,,0.005227980669587851,0.13426737487316132,0.0,0.0186547189950943,0.0,0.0,0.11052669584751129,9.996731115427792e-06
24,True,,0.00013779912842437625,0.02057376131415367,0.0,0.0021951752714812756,0.0,0.0,0.10617559403181076,9.996163681393672e-06
25,True,,0.005090341437608004,0.1062956154346466,0.0,0.015719903632998466,0.0,0.0,0.056970592588186264,9.99555087943519e-06
26,True,,0.0061427513137459755,0.11973398178815842,0.0,0.018116150051355362,0.0,0.0,0.09070338308811188,9.99489271573574e-06
27,True,,0.0008992746006697416,0.06724931299686432,0.0,0.007624206133186817,0.0,0.0,0.05364152416586876,9.994189196936434e-06
28,True,,0.008526625111699104,0.10956509411334991,0.0,0.019483134150505066,0.0,0.0,0.04990037903189659,9.993440330136032e-06
29,True,,0.0005865659913979471,0.04882067069411278,0.0,0.005468633025884628,0.0,0.0,0.07626248151063919,9.992646122890873e-06
