candidate,source,method,bits,clip,step,psnr,ssim,psnr_p05,min_psnr,quality_violation_fraction,target_mse,feasible,semantic_lowpass_mse,generated_reference_mse,natural_validation_mse,natural_validation_lpips,natural_validation_residual,selection_objective
natural_full_finetune_w32_c1.0_step500,natural_full_finetune,natural_full_finetune,32,1.0,500,34.83500671386719,0.9635273218154907,30.334407806396484,29.968042373657227,0.0,0.003631424534432881,True,5.839886471221689e-05,0.00038823796203359964,0.003631424534432881,0.06622930165030994,,0.010254354699463876
natural_full_finetune_w32_c1.0_step550,natural_full_finetune,natural_full_finetune,32,1.0,550,34.747772216796875,0.962497889995575,30.27334976196289,29.897518157958984,0.0,0.0036216761432115163,True,5.730724406021182e-05,0.0003957108347094618,0.0036216761432115163,0.06600966714904644,,0.01022264285811616
natural_full_finetune_w32_c1.0_step600,natural_full_finetune,natural_full_finetune,32,1.0,600,34.63426971435547,0.9617915153503418,30.154483795166016,29.829330444335938,0.0,0.003626399184213369,True,6.557272399732028e-05,0.00040630741641507485,0.003626399184213369,0.06568510853685439,,0.010194910037898807
natural_full_finetune_w32_c1.0_step650,natural_full_finetune,natural_full_finetune,32,1.0,650,34.68718719482422,0.9617185592651367,30.246906280517578,29.90584945678711,0.0,0.0035956907372565183,True,5.944572612861521e-05,0.0004012165423773695,0.0035956907372565183,0.06578516462468542,,0.01017420719972506
natural_full_finetune_w32_c1.0_step700,natural_full_finetune,natural_full_finetune,32,1.0,700,34.57326126098633,0.960912823677063,30.04916763305664,29.715648651123047,0.0,0.0036135907553216384,True,6.27213902589574e-05,0.00041337575239595024,0.0036135907553216384,0.06547751734615304,,0.010161342489936942
natural_full_finetune_w32_c1.0_step750,natural_full_finetune,natural_full_finetune,32,1.0,750,34.58909606933594,0.9606202840805054,30.092599868774414,29.73444938659668,0.0,0.003603545560508792,True,5.812742610942223e-05,0.0004115938383620232,0.003603545560508792,0.06549560686107725,,0.010153106246616517
natural_full_finetune_w32_c1.0_step800,natural_full_finetune,natural_full_finetune,32,1.0,800,34.5051155090332,0.9600353240966797,30.018733978271484,29.696613311767578,0.0,0.0035993244996461726,True,6.326429493128672e-05,0.0004186402533377986,0.0035993244996461726,0.06538002415618394,,0.010137326915264568
natural_full_finetune_w32_c1.0_step850,natural_full_finetune,natural_full_finetune,32,1.0,850,34.50663375854492,0.9600136876106262,29.982698440551758,29.653385162353516,0.0,0.003601929622618627,True,6.134879013188765e-05,0.0004198387177893892,0.003601929622618627,0.06529368823976256,,0.010131298446594883
natural_full_finetune_w32_c1.0_step900,natural_full_finetune,natural_full_finetune,32,1.0,900,34.50061798095703,0.9597744941711426,29.935678482055664,29.607393264770508,0.0,0.0036068182757844625,True,6.0258262965362516e-05,0.0004211174382362515,0.0036068182757844625,0.06523384532192722,,0.010130202807977185
natural_full_finetune_w32_c1.0_step950,natural_full_finetune,natural_full_finetune,32,1.0,950,34.47065353393555,0.9594801068305969,29.94188117980957,29.614294052124023,0.0,0.003603817247949337,True,6.177260584081524e-05,0.00042310517383157273,0.003603817247949337,0.06513934925897047,,0.010117752173846384
natural_full_finetune_w32_c1.0_step1000,natural_full_finetune,natural_full_finetune,32,1.0,1000,34.450584411621094,0.9594605565071106,29.948013305664062,29.598886489868164,0.0,0.0036038849489159475,True,6.300014683802146e-05,0.00042521531067905014,0.0036038849489159475,0.06514123106899206,,0.010118008055815152
