method,layer,n,local_owner_gain,absolute_local_quality_dot,negative_owner_dot_fraction,diagnostic_priority
natural_full_finetune_fp32_test,up_blocks.2.resnets.1.conv1.weight,4,0.00010689442512676267,1.777414188070153e-05,1.0,5.56703655937753
natural_full_finetune_fp32_test,up_blocks.2.upsamplers.0.conv.weight,4,0.00022052001898909058,6.031657968201757e-05,1.0,3.5715356997045533
natural_full_finetune_fp32_test,up_blocks.2.resnets.2.conv2.weight,4,9.964036304175039e-05,3.0506687451694673e-05,1.0,3.1202103297277257
natural_full_finetune_fp32_test,up_blocks.2.resnets.0.conv1.weight,4,0.00013227512142979005,4.853340441184213e-05,1.0,2.6475898951005163
natural_full_finetune_fp32_test,up_blocks.2.resnets.0.conv_shortcut.weight,4,0.00032608348428981356,0.0001404531032060535,1.0,2.2983003112854634
natural_full_finetune_fp32_test,up_blocks.3.resnets.0.conv_shortcut.weight,4,0.0001556952233465012,6.929546943730654e-05,1.0,2.201490452226185
natural_full_finetune_fp32_test,up_blocks.3.resnets.1.conv1.weight,4,3.1419509396828984e-05,2.0351185341094843e-05,1.0,1.4426940762031473
natural_full_finetune_fp32_test,up_blocks.3.resnets.2.conv1.weight,4,4.187907882176439e-05,2.982889908865195e-05,0.75,1.339870151737033
natural_full_finetune_fp32_test,up_blocks.1.resnets.2.conv1.weight,4,8.844262808464619e-05,6.600344611725169e-05,1.0,1.3116093028517581
natural_full_finetune_fp32_test,conv_out.weight,4,9.854987290861869e-05,7.750077030357807e-05,1.0,1.2486056023575107
natural_full_finetune_fp32_test,up_blocks.3.resnets.1.conv2.weight,4,4.5116329333167406e-05,3.570933917582995e-05,1.0,1.2148779191140504
natural_full_finetune_fp32_test,up_blocks.3.resnets.0.conv2.weight,4,4.402205494290328e-05,3.655334797980061e-05,1.0,1.1590692581739854
natural_full_finetune_fp32_test,up_blocks.1.resnets.2.conv2.weight,4,8.285326330849304e-05,7.923025200325213e-05,1.0,1.027224247675915
natural_full_finetune_fp32_test,up_blocks.1.resnets.1.conv2.weight,4,6.907358398692107e-05,6.621010565633673e-05,1.0,1.021235401135392
natural_full_finetune_fp32_test,up_blocks.1.upsamplers.0.conv.weight,4,0.00023854825875206095,0.00024022499052607027,1.0,0.9871554829232502
natural_full_finetune_fp32_test,up_blocks.1.resnets.0.conv2.weight,4,5.282602367435388e-05,5.838789905376632e-05,1.0,0.8831557223499427
natural_full_finetune_fp32_test,up_blocks.3.resnets.2.conv2.weight,4,2.5038230274857345e-05,2.8937468812319322e-05,1.0,0.8245850537596905
natural_full_finetune_fp32_test,up_blocks.1.resnets.1.conv1.weight,4,3.429617303007264e-05,4.077087640141914e-05,1.0,0.8127430781686596
natural_full_finetune_fp32_test,mid_block.attentions.0.to_v.weight,4,1.2862054035794324e-05,1.4894312985490827e-05,1.0,0.7880442745571953
natural_full_finetune_fp32_test,mid_block.resnets.0.norm2.bias,4,2.327524898701118e-06,1.9062838462075944e-06,1.0,0.6982314771153993
natural_full_finetune_fp32_test,up_blocks.0.resnets.2.conv1.weight,4,1.4197118210000678e-05,1.9688043519429158e-05,1.0,0.6723643023372502
natural_full_finetune_fp32_test,mid_block.resnets.0.conv2.weight,4,3.958739751306694e-05,5.799010974449997e-05,1.0,0.6662606450817999
natural_full_finetune_fp32_test,up_blocks.0.upsamplers.0.conv.weight,4,0.00010467235023876234,0.0001700413244879896,1.0,0.6104465334540282
natural_full_finetune_fp32_test,up_blocks.2.resnets.0.norm1.weight,4,1.071928673935827e-06,4.765267304601518e-07,1.0,0.5630763787724054
natural_full_finetune_fp32_test,up_blocks.3.resnets.0.norm1.weight,4,1.134870485263075e-06,6.820955146053629e-07,0.75,0.5380396892799026
natural_full_finetune_fp32_test,up_blocks.0.resnets.2.norm2.weight,4,1.135573009656752e-06,7.909733902413621e-07,0.75,0.5119466959366983
natural_full_finetune_fp32_test,mid_block.resnets.0.norm2.weight,4,9.798544316018486e-07,6.759427343004025e-07,0.75,0.46590596418385494
natural_full_finetune_fp32_test,conv_norm_out.weight,4,4.660787948139529e-06,9.649895183640375e-06,1.0,0.42076004491269803
natural_full_finetune_fp32_test,up_blocks.2.resnets.1.norm1.weight,4,5.339972381007202e-07,1.417086708656184e-07,1.0,0.3403679528580111
natural_full_finetune_fp32_test,mid_block.attentions.0.to_q.weight,4,1.3092616686647637e-06,2.4934446361942868e-06,0.75,0.33394265861505734
natural_full_finetune_fp32_test,up_blocks.2.resnets.1.norm1.bias,4,5.067973566369842e-07,1.2303368790812212e-07,1.0,0.3269223212631575
natural_full_finetune_fp32_test,conv_in.weight,4,2.8704730173979458e-05,9.353259136134921e-05,1.0,0.3022830795063309
natural_full_finetune_fp32_test,up_blocks.3.resnets.2.norm1.bias,4,2.571905719770927e-06,7.250027684137016e-06,1.0,0.29639807158290316
natural_full_finetune_fp32_test,conv_in.bias,4,1.3994639596295887e-06,3.423860554120272e-06,0.75,0.28848775798094795
natural_full_finetune_fp32_test,up_blocks.2.resnets.2.norm1.bias,4,4.994809067353566e-07,3.3007774529958256e-07,1.0,0.2842398814172398
natural_full_finetune_fp32_test,mid_block.resnets.1.norm2.bias,4,6.398963539267341e-07,8.352518875330187e-07,0.75,0.28283643580300105
