method,role,comparison_group,threat_model,ssim,psnr,lpips,absolute_evasion,conditional_evasion,reference_valid,baseline_detected,original_quality_valid
marked_reference_test,reference,,unspecified,1.0,120.0,0.0,0.010000000000000009,0.0,True,99,True
pseudo_target_test,diagnostic,,unspecified,0.9925714315192385,41.636995010375976,0.01303590188268572,0.010000000000000009,0.0,True,99,True
fixed_ptq_w8_c1.0_test,candidate,w8_c1.0_all,marked_model_only,0.9997078776359558,56.706695556640625,0.00019757633192057255,0.010000000000000009,0.0,True,99,True
reconstruction_w8_c1.0_test,candidate,w8_c1.0_all,marked_model_only,0.9996856451034546,56.87177658081055,0.00017972082481719552,0.010000000000000009,0.0,True,99,True
natural_residual_qat_w8_c1.0_test,candidate,w8_c1.0_all,marked_model_plus_unpaired_natural_images,0.9812166094779968,38.49213790893555,0.014419632591307163,0.010000000000000009,0.0,True,99,True
natural_residual_w4_c1.0_test,candidate,w4_c1.0_all,marked_model_plus_unpaired_natural_images,0.8232219219207764,29.619482040405273,0.041890682419762015,0.32999999999999996,0.32323232323232326,True,99,True
natural_residual_qat_w4_c1.0_test,candidate,w4_c1.0_all,marked_model_plus_unpaired_natural_images,0.8409860730171204,30.10356903076172,0.03899330541491509,0.14,0.13131313131313133,True,99,True
natural_full_finetune_fp32_test,finetune_control,fp32_unrestricted_decoder_control,marked_model_plus_unpaired_natural_images_unrestricted_finetune,0.8142602443695068,28.903244018554688,0.04847997959703207,0.94,0.9393939393939394,True,99,True
reconstruction_w8_c1.0_final_test,endpoint_control,w8_c1.0_all,marked_model_only,0.9996785521507263,56.86073303222656,0.00017981740813411307,0.010000000000000009,0.0,True,99,True
