candidate,source,method,bits,clip,step,psnr,ssim,budget_violation_fraction,psnr_p05,min_psnr,quality_violation_fraction,target_mse,feasible,semantic_lowpass_mse,generated_reference_mse,natural_validation_mse,natural_validation_lpips,natural_validation_residual,natural_validation_spectral,natural_validation_cycle,selection_objective,code_change_fraction_vs_rtn,code_offset_rms,code_offset_ge_one_fraction
natural_residual_cycle_qat_warm_w4_c1.0_step0,rtn_fallback,natural_residual_cycle_qat_warm,4,1.0,0,29.487804412841797,0.8219000101089478,,23.779691696166992,23.48257827758789,0.44999998807907104,0.0038027763839636464,True,7.231915415104596e-05,0.001471862023754511,0.0038027763839636464,0.05784048230270855,0.023947999889401217,,0.03434555839703535,0.03391443966468159,0.032524943351745605,0.2913733466341625,0.0
natural_residual_cycle_qat_warm_w4_c1.0_step100,natural_residual_cycle_qat_warm,natural_residual_cycle_qat_warm,4,1.0,100,29.487804412841797,0.8219000101089478,,23.779691696166992,23.48257827758789,0.44999998807907104,0.0038027763839636464,True,7.231915415104596e-05,0.001471862023754511,0.0038027763839636464,0.05784048230270855,0.023947999889401217,,0.03434555839703535,0.03391443966468159,0.032524943351745605,0.2914288166911465,0.0
natural_residual_cycle_qat_warm_w4_c1.0_step200,natural_residual_cycle_qat_warm,natural_residual_cycle_qat_warm,4,1.0,200,29.487804412841797,0.8219000101089478,,23.779691696166992,23.48257827758789,0.44999998807907104,0.0038027763839636464,True,7.231915415104596e-05,0.001471862023754511,0.0038027763839636464,0.05784048230270855,0.023947999889401217,,0.03434555839703535,0.03391443966468159,0.032524943351745605,0.29180119880220196,0.0
natural_residual_cycle_qat_warm_w4_c1.0_step300,natural_residual_cycle_qat_warm,natural_residual_cycle_qat_warm,4,1.0,300,29.487804412841797,0.8219000101089478,,23.779691696166992,23.48257827758789,0.44999998807907104,0.0038027763839636464,True,7.231915415104596e-05,0.001471862023754511,0.0038027763839636464,0.05784048230270855,0.023947999889401217,,0.03434555839703535,0.03391443966468159,0.032524943351745605,0.29238953872517204,0.0
natural_residual_cycle_qat_warm_w4_c1.0_step400,natural_residual_cycle_qat_warm,natural_residual_cycle_qat_warm,4,1.0,400,29.487804412841797,0.8219000101089478,,23.779691696166992,23.48257827758789,0.44999998807907104,0.0038027763839636464,True,7.231915415104596e-05,0.001471862023754511,0.0038027763839636464,0.05784048230270855,0.023947999889401217,,0.03434555839703535,0.03391443966468159,0.032524943351745605,0.293253848909972,0.0
natural_residual_cycle_qat_warm_w4_c1.0_step500,natural_residual_cycle_qat_warm,natural_residual_cycle_qat_warm,4,1.0,500,29.487804412841797,0.8219000101089478,,23.779691696166992,23.48257827758789,0.44999998807907104,0.0038027763839636464,True,7.231915415104596e-05,0.001471862023754511,0.0038027763839636464,0.05784048230270855,0.023947999889401217,,0.03434555839703535,0.03391443966468159,0.032524943351745605,0.2943572519504128,0.0
natural_residual_cycle_qat_warm_w4_c1.0_step600,natural_residual_cycle_qat_warm,natural_residual_cycle_qat_warm,4,1.0,600,29.487804412841797,0.8219000101089478,,23.779691696166992,23.48257827758789,0.44999998807907104,0.0038027763839636464,True,7.231915415104596e-05,0.001471862023754511,0.0038027763839636464,0.05784048230270855,0.023947999889401217,,0.03434555839703535,0.03391443966468159,0.032524943351745605,0.2956147171353207,4.044291657123722e-08
natural_residual_cycle_qat_warm_w4_c1.0_step700,natural_residual_cycle_qat_warm,natural_residual_cycle_qat_warm,4,1.0,700,29.498397827148438,0.8217242360115051,,23.7894287109375,23.48276138305664,0.44999998807907104,0.0038082434715391855,True,6.503768508991925e-05,0.0014672618621261791,0.0038082434715391855,0.05768394770348095,0.02394744011041894,,0.034002038672042545,0.0338966175815716,0.03252508491277695,0.29675920637515657,2.0221457930347242e-07
natural_residual_cycle_qat_warm_w4_c1.0_step800,natural_residual_cycle_qat_warm,natural_residual_cycle_qat_warm,4,1.0,800,29.467784881591797,0.8212510347366333,,23.750442504882812,23.474533081054688,0.44999998807907104,0.003810303643717816,True,7.321835228140117e-05,0.0014779013057705016,0.003810303643717816,0.057629618375358405,0.02394442568197519,,0.03374975930637447,0.03389179793243329,0.03252575173974037,0.29776513768798935,5.66200810681039e-07
natural_residual_cycle_qat_warm_w4_c1.0_step900,natural_residual_cycle_qat_warm,natural_residual_cycle_qat_warm,4,1.0,900,29.47454261779785,0.821416974067688,,23.750459671020508,23.48321533203125,0.44999998807907104,0.003807044334450893,True,7.028604659353732e-05,0.00147592044522753,0.003807044334450893,0.05763407250560704,0.023938013833856076,,0.033403140976588475,0.033877639851930326,0.032526642084121704,0.29857137034261466,8.290797950394335e-07
natural_residual_cycle_qat_warm_w4_c1.0_step1000,natural_residual_cycle_qat_warm,natural_residual_cycle_qat_warm,4,1.0,1000,29.48984146118164,0.821517825126648,,23.7676944732666,23.47804069519043,0.44999998807907104,0.0038058542997134737,True,6.869032667964348e-05,0.0014718934762640856,0.0038058542997134737,0.05763689690866158,0.02393701655512359,,0.03304359075264074,0.03387134161656945,0.03252716735005379,0.2991350878693462,1.0717373015722842e-06
natural_residual_cycle_qat_warm_w4_c1.0_step1100,natural_residual_cycle_qat_warm,natural_residual_cycle_qat_warm,4,1.0,1100,29.478557586669922,0.8212417364120483,,23.752674102783203,23.463573455810547,0.44999998807907104,0.00381007906007369,True,7.046320415611262e-05,0.001475791569100693,0.00381007906007369,0.05756878951069666,0.023931106524969437,,0.03293223851869698,0.033862618523377824,0.03252777084708214,0.2997188755950331,1.1728445770131657e-06
natural_residual_cycle_qat_warm_w4_c1.0_step1200,natural_residual_cycle_qat_warm,natural_residual_cycle_qat_warm,4,1.0,1200,29.47235679626465,0.8211339116096497,,23.752979278564453,23.460962295532227,0.44999998807907104,0.003816211085833743,True,6.782672862755134e-05,0.0014753433802979997,0.003816211085833743,0.05754364101449028,0.023935880412182087,,0.03263269865055918,0.03386669595028423,0.03252900764346123,0.30023661759288667,1.3346162859306787e-06
natural_residual_cycle_qat_warm_w4_c1.0_step1300,natural_residual_cycle_qat_warm,natural_residual_cycle_qat_warm,4,1.0,1300,29.48590660095215,0.8215413093566895,,23.770856857299805,23.48141098022461,0.44999998807907104,0.0038090869373377245,True,6.903858366058557e-05,0.0014723191416123882,0.0038090869373377245,0.057570458848204,0.023924590767080645,,0.032806264298415044,0.03385330552405321,0.03253035992383957,0.3006510266876327,1.4155020835460164e-06
natural_residual_cycle_qat_warm_w4_c1.0_step1400,natural_residual_cycle_qat_warm,natural_residual_cycle_qat_warm,4,1.0,1400,29.469324111938477,0.8213465809822083,,23.7486572265625,23.47458267211914,0.44999998807907104,0.003805952201986429,True,7.63797170293401e-05,0.0014786109924898483,0.003805952201986429,0.05758333928679349,0.02392172259618519,,0.03259106786936172,0.03385010926405925,0.03253110870718956,0.3009374015031537,1.455945039197104e-06
natural_residual_cycle_qat_warm_w4_c1.0_step1500,natural_residual_cycle_qat_warm,natural_residual_cycle_qat_warm,4,1.0,1500,29.486303329467773,0.8214179277420044,,23.774953842163086,23.476896286010742,0.44999998807907104,0.0038083869195588704,True,6.730283057549968e-05,0.0014711520489072427,0.0038083869195588704,0.057590145133872284,0.02392585090939292,,0.03237671515671536,0.03385067090919392,0.03253185749053955,0.3011487350777097,1.5772737924635294e-06
natural_residual_cycle_qat_warm_w4_c1.0_step1600,natural_residual_cycle_qat_warm,natural_residual_cycle_qat_warm,4,1.0,1600,29.474224090576172,0.8214820027351379,,23.772863388061523,23.479890823364258,0.44999998807907104,0.003807277820925492,True,7.07515207977849e-05,0.0014742202867637389,0.003807277820925492,0.057549330304027535,0.023925705653368823,,0.032370161006838316,0.03384699387516434,0.0325322225689888,0.3013218814122899,1.5974951566022355e-06
natural_residual_cycle_qat_warm_w4_c1.0_step1700,natural_residual_cycle_qat_warm,natural_residual_cycle_qat_warm,4,1.0,1700,29.47737693786621,0.8215383291244507,,23.768068313598633,23.478248596191406,0.44999998807907104,0.0038065653197207894,True,7.052913442748832e-05,0.0014738367317477241,0.0038065653197207894,0.05750956351403147,0.023927189753976563,,0.03230374947816017,0.03384301348709584,0.03253260627388954,0.3014322642030422,1.658159590078867e-06
natural_residual_cycle_qat_warm_w4_c1.0_step1800,natural_residual_cycle_qat_warm,natural_residual_cycle_qat_warm,4,1.0,1800,29.488895416259766,0.8216292262077332,,23.77735137939453,23.480260848999023,0.44999998807907104,0.0038065320241997824,True,6.92592145242088e-05,0.0014712648873683066,0.0038065320241997824,0.057512548788508866,0.023922787814967705,,0.032438574753541616,0.033839590072815895,0.032532889395952225,0.30152103554077436,1.6783810679044109e-06
natural_residual_cycle_qat_warm_w4_c1.0_step1900,natural_residual_cycle_qat_warm,natural_residual_cycle_qat_warm,4,1.0,1900,29.47756004333496,0.8215285539627075,,23.771896362304688,23.48341941833496,0.44999998807907104,0.0038062250354755633,True,7.047779736240045e-05,0.0014736898316186852,0.0038062250354755633,0.05755457208942971,0.0239262627953849,,0.03216230584439472,0.03384480699692858,0.03253323212265968,0.30159036379150256,1.658159590078867e-06
