step,applied,reason,joint_w4_loss,cycle_loss,teacher_mse,budget_penalty,dual_mse,dual_ssim,block,discriminator_loss,discriminator_applied,reconstruction_mse,perceptual_loss,preservation_mse,loss,residual_loss,trust_loss,spectral_loss,adversarial_loss,grad_norm,learning_rate,reconstruction_gradient_norm,residual_gradient_norm,cycle_gradient_norm,preservation_gradient_norm
53,True,,,0.03316788002848625,,0.0,,,,,,0.002269200049340725,0.04364877939224243,4.8101712309289724e-05,0.020848911255598068,0.013010196387767792,0.08489054441452026,0.0,0.0,0.0007294013630598783,0.0009994195066654102,,,,
54,True,,,0.04000658914446831,,0.0,,,,,,0.003670657519251108,0.05448463186621666,6.275133637245744e-05,0.030235324054956436,0.019835852086544037,0.08489083498716354,0.0,0.0,0.0007454532897099853,0.0009993826673711458,,,,
55,True,,,0.02978251501917839,,0.0,,,,,,0.004699398763477802,0.060960039496421814,3.079832822550088e-05,0.044037893414497375,0.03208035230636597,0.08489111065864563,0.0,0.0,0.0010051483986899257,0.0009993446956129378,,,,
56,True,,,0.02764902263879776,,0.0,,,,,,0.003900822950527072,0.05251871421933174,4.308111238060519e-05,0.03251262754201889,0.022212985903024673,0.08489153534173965,0.0,0.0,0.0006598182953894138,0.0009993055914864768,,,,
57,True,,,0.03286006301641464,,0.0,,,,,,0.0024512624368071556,0.042305879294872284,4.181037002126686e-05,0.022395415231585503,0.014515139162540436,0.0848919078707695,0.0,0.0,0.0007272246875800192,0.0009992653550903062,,,,
58,True,,,0.03889337182044983,,0.0,,,,,,0.005087218713015318,0.051548682153224945,8.300004992634058e-05,0.038989223539829254,0.02746777981519699,0.08489236980676651,0.0,0.0,0.000849403440952301,0.0009992239865258242,,,,
59,True,,,0.025786953046917915,,0.0,,,,,,0.001924516400322318,0.038648538291454315,4.107535278308205e-05,0.020525306463241577,0.013608599081635475,0.08489285409450531,0.0,0.0,0.0006722037796862423,0.000999181485897281,,,,
60,True,,,0.03874502331018448,,0.0,,,,,,0.0044777486473321915,0.05604963377118111,8.033138874452561e-05,0.03865320608019829,0.027293946593999863,0.0848933607339859,0.0,0.0,0.001381032750941813,0.0009991378533117804,,,,
61,True,,,0.030051730573177338,,0.0,,,,,,0.0022426554933190346,0.045915380120277405,4.8101712309289724e-05,0.021408241242170334,0.013400539755821228,0.08489397168159485,0.0,0.0,0.0005375685868784785,0.0009990930888792778,,,,
62,True,,,0.03044246882200241,,0.0,,,,,,0.0030768737196922302,0.05547483265399933,6.275133637245744e-05,0.028854485601186752,0.019045382738113403,0.08489453792572021,0.0,0.0,0.0008491665939800441,0.0009990471927125823,,,,
63,True,,,0.033481232821941376,,0.0,,,,,,0.004393992479890585,0.056694064289331436,3.079832822550088e-05,0.036191366612911224,0.024928802624344826,0.08489519357681274,0.0,0.0,0.0007954395841807127,0.0009990001649273538,,,,
64,True,,,0.033341504633426666,,0.0,,,,,,0.004006959032267332,0.05508604645729065,4.308111238060519e-05,0.03668711706995964,0.025967638939619064,0.08489584922790527,0.0,0.0,0.0008685473585501313,0.0009989520056421042,,,,
65,True,,,0.03359734266996384,,0.0,,,,,,0.002592872828245163,0.04682987928390503,4.181037002126686e-05,0.025032034143805504,0.016550328582525253,0.0848964974284172,0.0,0.0,0.0008337790495716035,0.0009989027149781974,,,,
66,True,,,0.03617604821920395,,0.0,,,,,,0.006211809813976288,0.06469590216875076,8.300004992634058e-05,0.05222025141119957,0.03828662261366844,0.08489711582660675,0.0,0.0,0.0009794337674975395,0.0009988522930598478,,,,
67,True,,,0.04230862855911255,,0.0,,,,,,0.005733802914619446,0.0726117342710495,4.107535278308205e-05,0.05285963788628578,0.03857205808162689,0.08489774912595749,0.0,0.0,0.0009007937042042613,0.000998800740014121,,,,
