step,applied,reason,reconstruction_mse,perceptual_loss,preservation_mse,loss,residual_loss,trust_loss,grad_norm,learning_rate
1,True,,0.0007999438676051795,0.0,0.00018101504247169942,0.001161973923444748,0.0,0.0,0.00015519243606831878,0.01
2,True,,0.0010548394639045,0.0,0.00045656668953597546,0.001967972842976451,0.0,0.0,0.00030354276532307267,0.01
3,True,,0.0007409534882754087,0.0,0.00041199460974894464,0.001564942765980959,0.0,0.0,0.00035724331974051893,0.01
4,True,,0.0006539671448990703,0.0,0.0002326755493413657,0.0011193181853741407,0.0,0.0,0.00012365933798719198,0.01
5,True,,0.0007649545441381633,0.0,0.00038027120172046125,0.0015254969475790858,0.0,0.0,0.00019529281416907907,0.01
6,True,,0.0005656158900819719,0.0,0.00029813937726430595,0.0011618946446105838,0.0,0.0,0.0001261535071535036,0.01
7,True,,0.0016210138564929366,0.0,0.0003673587925732136,0.0023557315580546856,0.0,0.0,0.0002971997600980103,0.01
8,True,,0.001057722489349544,0.0,0.0003626673424150795,0.001783057115972042,0.0,0.0,0.00015188282122835517,0.01
9,True,,0.00028110513812862337,0.0,8.771086868364364e-05,0.00045652687549591064,0.0,0.0,6.400815618690103e-05,0.01
10,True,,0.0005850341403856874,0.0,0.00017400852811988443,0.0009330512257292867,0.0,0.0,0.00010105993715114892,0.01
11,True,,0.0003395429812371731,0.0,0.00022407268988899887,0.0007876883610151708,0.0,0.0,0.00021070617367513478,0.01
12,True,,0.0005044233985245228,0.0,0.00020788486290257424,0.0009201931534335017,0.0,0.0,0.0001282219891436398,0.01
13,True,,0.00016827833314891905,0.0,0.00010525294055696577,0.00037878419971093535,0.0,0.0,7.641741103725508e-05,0.01
14,True,,0.0002119755808962509,0.0,0.00011343121150275692,0.00043883800390176475,0.0,0.0,7.702665607212111e-05,0.01
15,True,,0.0011153186205774546,0.0,0.0005680655012838542,0.0022514495067298412,0.0,0.0,0.0003661051450762898,0.01
16,True,,0.0016771561931818724,0.0,0.0006734949420206249,0.0030241459608078003,0.0,0.0,0.0003190739662386477,0.01
17,True,,0.0005872344481758773,0.0,0.00023621541913598776,0.0010596653446555138,0.0,0.0,0.0001660489069763571,0.01
18,True,,0.0014487267471849918,0.0,0.0006394473602995276,0.002727621467784047,0.0,0.0,0.00029916942003183067,0.01
19,True,,0.0006228440906852484,0.0,0.000523909053299576,0.0016706621972844005,0.0,0.0,0.00035870264400728047,0.01
20,True,,0.0007556762429885566,0.0,0.00030401573167182505,0.0013637077063322067,0.0,0.0,0.0002026637375820428,0.01
21,True,,0.0005254418938420713,0.0,0.0001801452599465847,0.0008857324137352407,0.0,0.0,0.00015164772048592567,0.01
22,True,,0.0002625182969495654,0.0,0.00016332417726516724,0.0005891666514798999,0.0,0.0,0.0001453771983506158,0.01
23,True,,0.0002511141065042466,0.0,0.00018606764206197113,0.0006232493906281888,0.0,0.0,0.0001552886242279783,0.01
24,True,,0.0002818367793224752,0.0,0.00024022185243666172,0.0007622804841957986,0.0,0.0,0.00024272629525512457,0.01
25,True,,0.0008509996114298701,0.0,0.0003295551287010312,0.0015101098688319325,0.0,0.0,0.00017136114183813334,0.01
26,True,,0.0005494791548699141,0.0,0.00020658283028751612,0.0009626448154449463,0.0,0.0,0.0001181460393127054,0.01
27,True,,0.0006755719659850001,0.0,0.0002553728118073195,0.0011863175313919783,0.0,0.0,0.00023194262757897377,0.01
28,True,,0.000438085466157645,0.0,0.00019836668798234314,0.0008348188130185008,0.0,0.0,8.24820963316597e-05,0.01
29,True,,0.00023560434055980295,0.0,0.00010555493645370007,0.0004467142280191183,0.0,0.0,0.00011300745973130688,0.01
30,True,,0.000656074145808816,0.0,0.00014752952847629786,0.0009511332027614117,0.0,0.0,0.0001034161978168413,0.01
31,True,,0.0005976798129267991,0.0,0.00022746081231161952,0.001052601495757699,0.0,0.0,0.00015227361291181296,0.01
32,True,,0.00037964570219628513,0.0,0.0001467605761718005,0.0006731668254360557,0.0,0.0,0.00010321324953110889,0.01
33,True,,0.00043636083137243986,0.0,0.00012978841550648212,0.0006959376623854041,0.0,0.0,0.0001378824090352282,0.01
34,True,,0.00016980583313852549,0.0,7.676366658415645e-05,0.0003233331663068384,0.0,0.0,8.637081191409379e-05,0.01
35,True,,0.0009330633911304176,0.0,0.0005438330117613077,0.002020729472860694,0.0,0.0,0.00044743900070898235,0.01
36,True,,0.002735412446781993,0.0,0.0013862047344446182,0.005507822148501873,0.0,0.0,0.0007810583338141441,0.01
37,True,,0.00056077865883708,0.0,0.00020485121058300138,0.0009704810800030828,0.0,0.0,0.00014411279698833823,0.01
38,True,,9.771675104275346e-05,0.0,4.11913133575581e-05,0.00018009937775786966,0.0,0.0,3.914663102477789e-05,0.01
39,True,,0.0006509213708341122,0.0,0.0002089650952257216,0.0010688515612855554,0.0,0.0,0.00012011345097562298,0.01
40,True,,0.0006780579569749534,0.0,0.0002494027721695602,0.0011768634431064129,0.0,0.0,0.00025402780738659203,0.01
41,True,,0.00014359381748363376,0.0,8.29533237265423e-05,0.00030950046493671834,0.0,0.0,0.00010676485544536263,0.01
42,True,,0.0005141504807397723,0.0,0.00020644834148697555,0.0009270471637137234,0.0,0.0,0.00014735248987562954,0.01
43,True,,0.0004134334740228951,0.0,0.0001873201399575919,0.0007880737539380789,0.0,0.0,8.333426376339048e-05,0.01
44,True,,0.0002609403454698622,0.0,0.0001570312597323209,0.000575002864934504,0.0,0.0,0.00022348710626829416,0.01
45,True,,0.0003617895708885044,0.0,0.0001447256945539266,0.0006512409308925271,0.0,0.0,6.8520093918778e-05,0.01
46,True,,0.0004923492087982595,0.0,0.0001808307715691626,0.0008540107519365847,0.0,0.0,0.0001232508075190708,0.01
47,True,,0.0003890083753503859,0.0,0.0001487409754190594,0.0006864903261885047,0.0,0.0,0.00010483280493644997,0.01
48,True,,0.000491471029818058,0.0,0.00020193900854792446,0.0008953490760177374,0.0,0.0,0.0001227164757438004,0.01
