method,role,comparison_group,threat_model,ssim,psnr,lpips,absolute_evasion,conditional_evasion,reference_valid,baseline_detected,original_quality_valid,min_ssim_view,aggregate_quality_valid,per_image_quality_violation_fraction,joint_quality_and_evasion_on_baseline_detected,interpretation
marked_reference_test,reference,,unspecified,1.0,120.0,0.0,0.010000000000000009,0.0,True,99,True,0.8,True,0.0,0.0,posthoc view; does not retrain or change frozen checkpoint
marked_reference_test,reference,,unspecified,1.0,120.0,0.0,0.010000000000000009,0.0,True,99,True,0.82,True,0.0,0.0,posthoc view; does not retrain or change frozen checkpoint
marked_reference_test,reference,,unspecified,1.0,120.0,0.0,0.010000000000000009,0.0,True,99,True,0.85,True,0.0,0.0,posthoc view; does not retrain or change frozen checkpoint
marked_reference_test,reference,,unspecified,1.0,120.0,0.0,0.010000000000000009,0.0,True,99,True,0.86,True,0.0,0.0,posthoc view; does not retrain or change frozen checkpoint
marked_reference_test,reference,,unspecified,1.0,120.0,0.0,0.010000000000000009,0.0,True,99,True,0.9,True,0.0,0.0,posthoc view; does not retrain or change frozen checkpoint
marked_reference_test,reference,,unspecified,1.0,120.0,0.0,0.010000000000000009,0.0,True,99,True,0.95,True,0.0,0.0,posthoc view; does not retrain or change frozen checkpoint
pseudo_target_test,diagnostic,,unspecified,0.9925714315192385,41.636995010375976,0.01303590188268572,0.010000000000000009,0.0,True,99,True,0.8,True,0.0,0.0,posthoc view; does not retrain or change frozen checkpoint
pseudo_target_test,diagnostic,,unspecified,0.9925714315192385,41.636995010375976,0.01303590188268572,0.010000000000000009,0.0,True,99,True,0.82,True,0.0,0.0,posthoc view; does not retrain or change frozen checkpoint
pseudo_target_test,diagnostic,,unspecified,0.9925714315192385,41.636995010375976,0.01303590188268572,0.010000000000000009,0.0,True,99,True,0.85,True,0.0,0.0,posthoc view; does not retrain or change frozen checkpoint
pseudo_target_test,diagnostic,,unspecified,0.9925714315192385,41.636995010375976,0.01303590188268572,0.010000000000000009,0.0,True,99,True,0.86,True,0.0,0.0,posthoc view; does not retrain or change frozen checkpoint
pseudo_target_test,diagnostic,,unspecified,0.9925714315192385,41.636995010375976,0.01303590188268572,0.010000000000000009,0.0,True,99,True,0.9,True,0.0,0.0,posthoc view; does not retrain or change frozen checkpoint
pseudo_target_test,diagnostic,,unspecified,0.9925714315192385,41.636995010375976,0.01303590188268572,0.010000000000000009,0.0,True,99,True,0.95,True,0.0,0.0,posthoc view; does not retrain or change frozen checkpoint
fixed_ptq_w8_c1.0_test,candidate,w8_c1.0_all,marked_model_only,0.9997078776359558,56.706695556640625,0.00019757633192057255,0.010000000000000009,0.0,True,99,True,0.8,True,0.0,0.0,posthoc view; does not retrain or change frozen checkpoint
fixed_ptq_w8_c1.0_test,candidate,w8_c1.0_all,marked_model_only,0.9997078776359558,56.706695556640625,0.00019757633192057255,0.010000000000000009,0.0,True,99,True,0.82,True,0.0,0.0,posthoc view; does not retrain or change frozen checkpoint
fixed_ptq_w8_c1.0_test,candidate,w8_c1.0_all,marked_model_only,0.9997078776359558,56.706695556640625,0.00019757633192057255,0.010000000000000009,0.0,True,99,True,0.85,True,0.0,0.0,posthoc view; does not retrain or change frozen checkpoint
fixed_ptq_w8_c1.0_test,candidate,w8_c1.0_all,marked_model_only,0.9997078776359558,56.706695556640625,0.00019757633192057255,0.010000000000000009,0.0,True,99,True,0.86,True,0.0,0.0,posthoc view; does not retrain or change frozen checkpoint
fixed_ptq_w8_c1.0_test,candidate,w8_c1.0_all,marked_model_only,0.9997078776359558,56.706695556640625,0.00019757633192057255,0.010000000000000009,0.0,True,99,True,0.9,True,0.0,0.0,posthoc view; does not retrain or change frozen checkpoint
fixed_ptq_w8_c1.0_test,candidate,w8_c1.0_all,marked_model_only,0.9997078776359558,56.706695556640625,0.00019757633192057255,0.010000000000000009,0.0,True,99,True,0.95,True,0.0,0.0,posthoc view; does not retrain or change frozen checkpoint
reconstruction_w8_c1.0_test,candidate,w8_c1.0_all,marked_model_only,0.9997106790542603,56.90154266357422,0.00018025130037131021,0.010000000000000009,0.0,True,99,True,0.8,True,0.0,0.0,posthoc view; does not retrain or change frozen checkpoint
reconstruction_w8_c1.0_test,candidate,w8_c1.0_all,marked_model_only,0.9997106790542603,56.90154266357422,0.00018025130037131021,0.010000000000000009,0.0,True,99,True,0.82,True,0.0,0.0,posthoc view; does not retrain or change frozen checkpoint
reconstruction_w8_c1.0_test,candidate,w8_c1.0_all,marked_model_only,0.9997106790542603,56.90154266357422,0.00018025130037131021,0.010000000000000009,0.0,True,99,True,0.85,True,0.0,0.0,posthoc view; does not retrain or change frozen checkpoint
reconstruction_w8_c1.0_test,candidate,w8_c1.0_all,marked_model_only,0.9997106790542603,56.90154266357422,0.00018025130037131021,0.010000000000000009,0.0,True,99,True,0.86,True,0.0,0.0,posthoc view; does not retrain or change frozen checkpoint
reconstruction_w8_c1.0_test,candidate,w8_c1.0_all,marked_model_only,0.9997106790542603,56.90154266357422,0.00018025130037131021,0.010000000000000009,0.0,True,99,True,0.9,True,0.0,0.0,posthoc view; does not retrain or change frozen checkpoint
reconstruction_w8_c1.0_test,candidate,w8_c1.0_all,marked_model_only,0.9997106790542603,56.90154266357422,0.00018025130037131021,0.010000000000000009,0.0,True,99,True,0.95,True,0.0,0.0,posthoc view; does not retrain or change frozen checkpoint
natural_residual_qat_w8_c1.0_test,candidate,w8_c1.0_all,marked_model_plus_unpaired_natural_images,0.980517566204071,38.0805549621582,0.014727138062007726,0.010000000000000009,0.0,True,99,True,0.8,True,0.0,0.0,posthoc view; does not retrain or change frozen checkpoint
natural_residual_qat_w8_c1.0_test,candidate,w8_c1.0_all,marked_model_plus_unpaired_natural_images,0.980517566204071,38.0805549621582,0.014727138062007726,0.010000000000000009,0.0,True,99,True,0.82,True,0.0,0.0,posthoc view; does not retrain or change frozen checkpoint
natural_residual_qat_w8_c1.0_test,candidate,w8_c1.0_all,marked_model_plus_unpaired_natural_images,0.980517566204071,38.0805549621582,0.014727138062007726,0.010000000000000009,0.0,True,99,True,0.85,True,0.0,0.0,posthoc view; does not retrain or change frozen checkpoint
natural_residual_qat_w8_c1.0_test,candidate,w8_c1.0_all,marked_model_plus_unpaired_natural_images,0.980517566204071,38.0805549621582,0.014727138062007726,0.010000000000000009,0.0,True,99,True,0.86,True,0.0,0.0,posthoc view; does not retrain or change frozen checkpoint
natural_residual_qat_w8_c1.0_test,candidate,w8_c1.0_all,marked_model_plus_unpaired_natural_images,0.980517566204071,38.0805549621582,0.014727138062007726,0.010000000000000009,0.0,True,99,True,0.9,True,0.0,0.0,posthoc view; does not retrain or change frozen checkpoint
natural_residual_qat_w8_c1.0_test,candidate,w8_c1.0_all,marked_model_plus_unpaired_natural_images,0.980517566204071,38.0805549621582,0.014727138062007726,0.010000000000000009,0.0,True,99,True,0.95,True,0.01,0.0,posthoc view; does not retrain or change frozen checkpoint
natural_residual_w4_c1.0_test,candidate,w4_c1.0_all,marked_model_plus_unpaired_natural_images,0.8202562928199768,29.39948081970215,0.043319352259859445,0.38,0.37373737373737376,True,99,True,0.8,True,0.37,0.21212121212121213,posthoc view; does not retrain or change frozen checkpoint
natural_residual_w4_c1.0_test,candidate,w4_c1.0_all,marked_model_plus_unpaired_natural_images,0.8202562928199768,29.39948081970215,0.043319352259859445,0.38,0.37373737373737376,True,99,True,0.82,True,0.47,0.1717171717171717,posthoc view; does not retrain or change frozen checkpoint
natural_residual_w4_c1.0_test,candidate,w4_c1.0_all,marked_model_plus_unpaired_natural_images,0.8202562928199768,29.39948081970215,0.043319352259859445,0.38,0.37373737373737376,True,99,True,0.85,False,0.58,0.15151515151515152,posthoc view; does not retrain or change frozen checkpoint
natural_residual_w4_c1.0_test,candidate,w4_c1.0_all,marked_model_plus_unpaired_natural_images,0.8202562928199768,29.39948081970215,0.043319352259859445,0.38,0.37373737373737376,True,99,True,0.86,False,0.6,0.1414141414141414,posthoc view; does not retrain or change frozen checkpoint
natural_residual_w4_c1.0_test,candidate,w4_c1.0_all,marked_model_plus_unpaired_natural_images,0.8202562928199768,29.39948081970215,0.043319352259859445,0.38,0.37373737373737376,True,99,True,0.9,False,0.79,0.09090909090909091,posthoc view; does not retrain or change frozen checkpoint
natural_residual_w4_c1.0_test,candidate,w4_c1.0_all,marked_model_plus_unpaired_natural_images,0.8202562928199768,29.39948081970215,0.043319352259859445,0.38,0.37373737373737376,True,99,True,0.95,False,0.99,0.0,posthoc view; does not retrain or change frozen checkpoint
natural_residual_qat_w4_c1.0_test,candidate,w4_c1.0_all,marked_model_plus_unpaired_natural_images,0.8377979397773743,29.833942413330078,0.04050620844587684,0.19999999999999996,0.1919191919191919,True,99,True,0.8,True,0.31,0.15151515151515152,posthoc view; does not retrain or change frozen checkpoint
natural_residual_qat_w4_c1.0_test,candidate,w4_c1.0_all,marked_model_plus_unpaired_natural_images,0.8377979397773743,29.833942413330078,0.04050620844587684,0.19999999999999996,0.1919191919191919,True,99,True,0.82,True,0.37,0.15151515151515152,posthoc view; does not retrain or change frozen checkpoint
natural_residual_qat_w4_c1.0_test,candidate,w4_c1.0_all,marked_model_plus_unpaired_natural_images,0.8377979397773743,29.833942413330078,0.04050620844587684,0.19999999999999996,0.1919191919191919,True,99,True,0.85,False,0.53,0.12121212121212122,posthoc view; does not retrain or change frozen checkpoint
natural_residual_qat_w4_c1.0_test,candidate,w4_c1.0_all,marked_model_plus_unpaired_natural_images,0.8377979397773743,29.833942413330078,0.04050620844587684,0.19999999999999996,0.1919191919191919,True,99,True,0.86,False,0.56,0.12121212121212122,posthoc view; does not retrain or change frozen checkpoint
