method,layer,n,local_owner_gain,absolute_local_quality_dot,negative_owner_dot_fraction,diagnostic_priority
natural_full_finetune_fp32_test,up_blocks.2.resnets.1.conv1.weight,4,0.00010461679740939657,2.288774961175085e-05,1.0,4.283520336052195
natural_full_finetune_fp32_test,up_blocks.2.upsamplers.0.conv.weight,4,0.00021817110063900017,6.104890731072261e-05,1.0,3.4860386271828867
natural_full_finetune_fp32_test,up_blocks.2.resnets.0.conv1.weight,4,0.0001346495273830804,4.079712978646451e-05,1.0,3.1807624441529145
natural_full_finetune_fp32_test,up_blocks.2.resnets.0.conv_shortcut.weight,4,0.00035093981688113146,0.00015190238669134082,1.0,2.287180776052474
natural_full_finetune_fp32_test,up_blocks.2.resnets.2.conv2.weight,4,8.916155898162983e-05,4.0383852471068775e-05,1.0,2.12698660253513
natural_full_finetune_fp32_test,up_blocks.3.resnets.0.conv_shortcut.weight,4,0.00015824839311563845,7.929168879778385e-05,1.0,1.957864802408805
natural_full_finetune_fp32_test,up_blocks.1.resnets.2.conv1.weight,4,8.946144421789188e-05,6.703059152394125e-05,1.0,1.304750673252204
natural_full_finetune_fp32_test,up_blocks.3.resnets.1.conv1.weight,4,3.213915932478556e-05,2.3708060098329315e-05,1.0,1.2731708198223357
natural_full_finetune_fp32_test,up_blocks.3.resnets.1.conv2.weight,4,4.6235894959336295e-05,3.784959383810502e-05,1.0,1.1739488033479668
natural_full_finetune_fp32_test,up_blocks.1.resnets.2.conv2.weight,4,9.404305898420215e-05,8.215947298719613e-05,1.0,1.1236426317843387
natural_full_finetune_fp32_test,conv_out.weight,4,9.934536649380588e-05,8.769823644927891e-05,1.0,1.1133182304869094
natural_full_finetune_fp32_test,up_blocks.1.upsamplers.0.conv.weight,4,0.00027341476684227987,0.0002563458419833001,1.0,1.0602354372408267
natural_full_finetune_fp32_test,up_blocks.3.resnets.0.conv2.weight,4,4.1913998098858455e-05,4.0215697328415016e-05,1.0,1.0039031752823062
natural_full_finetune_fp32_test,up_blocks.1.resnets.0.conv2.weight,4,6.265419817534255e-05,6.175063789050925e-05,1.0,0.9900170795890886
natural_full_finetune_fp32_test,up_blocks.3.resnets.2.conv1.weight,4,3.8000460022394135e-05,3.929716993691127e-05,0.75,0.930642296194939
natural_full_finetune_fp32_test,up_blocks.1.resnets.1.conv1.weight,4,4.005487756070748e-05,4.2128664663755174e-05,1.0,0.9173432130800082
natural_full_finetune_fp32_test,up_blocks.1.resnets.1.conv2.weight,4,6.47028301438692e-05,7.180096380826366e-05,1.0,0.8822755924125583
natural_full_finetune_fp32_test,mid_block.resnets.0.conv2.weight,4,5.4801950822981147e-05,7.642028641976035e-05,1.0,0.7029890455967603
