method,parameter_space,test_index,seed,layer,error_l2,owner_error_dot,owner_error_cosine,owner_gradient_l2,quality_error_dot,quality_error_cosine,quality_gradient_l2,ownership_score,image_mse
fixed_ptq_w4_c1.0_test,quantized,0,3459,conv_in.weight,1.457656835549773,0.0007991375964277475,0.00624550445668418,0.08778064080963788,0.00018067891665598,0.05762554285907549,0.002150983874909051,0.05383322015404701,0.0009632468572817743
fixed_ptq_w4_c1.0_test,quantized,0,3459,up_blocks.0.resnets.0.conv1.weight,19.24490800210639,-0.0004964340916348012,-0.0009878560573967092,0.02611271877692296,6.025293803648192e-05,0.004257981450460467,0.0007352899401478714,0.05383322015404701,0.0009632468572817743
fixed_ptq_w4_c1.0_test,quantized,0,3459,up_blocks.0.resnets.0.conv2.weight,14.133578408244707,0.0005571960854133818,0.0010072675559377599,0.03913912195546721,1.476130891960907e-05,0.0008634239608283174,0.0012096191117049728,0.05383322015404701,0.0009632468572817743
fixed_ptq_w4_c1.0_test,quantized,0,3459,up_blocks.0.resnets.1.conv1.weight,19.48690461146917,0.00017802992023280907,0.0003219286393725185,0.02837857107166393,6.811045555877698e-05,0.004442145292807443,0.0007868250291954035,0.05383322015404701,0.0009632468572817743
fixed_ptq_w4_c1.0_test,quantized,0,3459,up_blocks.0.resnets.1.conv2.weight,13.235037692510488,-0.00018823123731608044,-0.00032191424033755863,0.04418006248817559,4.6713266717064875e-05,0.002545520391816583,0.0013865593895888227,0.05383322015404701,0.0009632468572817743
fixed_ptq_w4_c1.0_test,quantized,0,3459,up_blocks.0.resnets.2.conv1.weight,20.2987072950008,-0.00011930986085442963,-0.00020768389783668953,0.02830121834640655,9.912149658760117e-05,0.0061945705286279565,0.0007882940843849385,0.05383322015404701,0.0009632468572817743
fixed_ptq_w4_c1.0_test,quantized,0,3459,up_blocks.0.resnets.2.conv2.weight,13.157236177137607,0.0002825189504876878,0.00048173297876504385,0.04457347928104504,2.8932751095657678e-05,0.0016643652351857148,0.0013212239103959906,0.05383322015404701,0.0009632468572817743
fixed_ptq_w4_c1.0_test,quantized,0,3459,up_blocks.0.upsamplers.0.conv.weight,8.104407376688961,-0.00028621639226776016,-0.0002651189468879438,0.13320866443403506,0.00016335472888420489,0.005122226982976575,0.003935062444153423,0.05383322015404701,0.0009632468572817743
fixed_ptq_w4_c1.0_test,quantized,0,3459,up_blocks.1.resnets.0.conv1.weight,18.928224419895813,-0.00022268154086681484,-0.00036175037275462766,0.0325211095245597,7.708893392664371e-05,0.004205995982227548,0.0009683075315577713,0.05383322015404701,0.0009632468572817743
fixed_ptq_w4_c1.0_test,quantized,0,3459,up_blocks.1.resnets.0.conv2.weight,18.786867189203733,-0.0007081210355983137,-0.0010970780176711623,0.0343570302682232,3.587170846311569e-05,0.0018829632038238192,0.0010140418124867314,0.05383322015404701,0.0009632468572817743
fixed_ptq_w4_c1.0_test,quantized,0,3459,up_blocks.1.resnets.1.conv1.weight,19.533111242488815,3.040842750295507e-05,4.569748893613428e-05,0.03406671070320576,6.16414401521768e-05,0.0036395487984591424,0.0008670692940965768,0.05383322015404701,0.0009632468572817743
fixed_ptq_w4_c1.0_test,quantized,0,3459,up_blocks.1.resnets.1.conv2.weight,18.33769410989956,-0.000784335999760525,-0.001240024959667864,0.034492684658311824,4.00102684341248e-05,0.0022541350014020404,0.000967936391847274,0.05383322015404701,0.0009632468572817743
fixed_ptq_w4_c1.0_test,quantized,0,3459,up_blocks.1.resnets.2.conv1.weight,19.031312519046566,-0.000998436610669726,-0.0013453930639492902,0.03899442959736082,5.56031378700537e-05,0.002979618950879861,0.0009805501989968949,0.05383322015404701,0.0009632468572817743
fixed_ptq_w4_c1.0_test,quantized,0,3459,up_blocks.1.resnets.2.conv2.weight,16.891185619394598,-0.0004961002806404603,-0.0009020518157253868,0.03255950946050558,3.386167745505415e-05,0.0021514394403536388,0.0009317924951597837,0.05383322015404701,0.0009632468572817743
fixed_ptq_w4_c1.0_test,quantized,0,3459,up_blocks.1.upsamplers.0.conv.weight,8.90401560238726,-0.001097264015690458,-0.0010556807396677338,0.11673272571446432,6.236606467862281e-05,0.0024280413414223276,0.0028847378402666515,0.05383322015404701,0.0009632468572817743
fixed_ptq_w4_c1.0_test,quantized,0,3459,up_blocks.2.resnets.0.conv1.weight,12.421798064474537,-9.124270050378888e-05,-0.00021424540359562557,0.03428484199865498,3.4755995224476454e-05,0.0028278796836502165,0.0009894283186056003,0.05383322015404701,0.0009632468572817743
fixed_ptq_w4_c1.0_test,quantized,0,3459,up_blocks.2.resnets.0.conv2.weight,10.300981527080555,-0.0003389262288173129,-0.0011887216228931338,0.027678745876547808,3.631233138553936e-05,0.004789246383994143,0.0007360517418113554,0.05383322015404701,0.0009632468572817743
fixed_ptq_w4_c1.0_test,quantized,0,3459,up_blocks.2.resnets.0.conv_shortcut.weight,0.9130284836715805,-0.0002254858525625094,-0.0008099116300666408,0.30492802215708753,0.00010211315135456476,0.015657266891487567,0.007143012306868373,0.05383322015404701,0.0009632468572817743
fixed_ptq_w4_c1.0_test,quantized,0,3459,up_blocks.2.resnets.1.conv1.weight,8.201854963429565,-0.0020832545544558134,-0.006783196013519108,0.03744517699307321,2.2968502137574608e-05,0.002858499175817761,0.0009796761098779818,0.05383322015404701,0.0009632468572817743
fixed_ptq_w4_c1.0_test,quantized,0,3459,up_blocks.2.resnets.1.conv2.weight,11.064136867556703,-0.000721530783900978,-0.0020549637237836805,0.03173461001495596,2.847403733112143e-05,0.004041054046853951,0.0006368495578666822,0.05383322015404701,0.0009632468572817743
fixed_ptq_w4_c1.0_test,quantized,0,3459,up_blocks.2.resnets.2.conv1.weight,8.679135251641918,-0.001826306010272972,-0.005290602167169406,0.039773333024407415,1.1813866912292962e-05,0.0016753627698956667,0.0008124689217822898,0.05383322015404701,0.0009632468572817743
