candidate,source,method,bits,clip,step,psnr,ssim,psnr_p05,min_psnr,quality_violation_fraction,target_mse,feasible,semantic_lowpass_mse,selection_objective,generated_reference_mse,natural_validation_mse,natural_validation_lpips,natural_validation_residual,code_change_fraction_vs_rtn,code_offset_rms,code_offset_ge_one_fraction
fixed_ptq_w4_c1.0_step0,fixed_rtn,fixed_ptq,4,1.0,0,33.350032806396484,0.9434765577316284,29.57146453857422,28.76714515686035,0.0,0.0004846105781325605,True,8.513591728842584e-05,0.0004846105781325605,,,,,,,
reconstruction_w4_c1.0_step0,rtn_fallback,reconstruction,4,1.0,0,33.350032806396484,0.9434765577316284,29.57146453857422,28.76714515686035,0.0,0.0005414434664999135,True,8.513591728842584e-05,0.0005414434664999135,,,,,,,
reconstruction_w4_c1.0_step50,reconstruction,reconstruction,4,1.0,50,33.41017532348633,0.9536318778991699,30.002172470092773,29.149593353271484,0.0,0.0005052995358710178,True,0.00014007562131155283,0.0005052995358710178,,,,,,,
reconstruction_w4_c1.0_step100,reconstruction,reconstruction,4,1.0,100,33.350807189941406,0.9516348838806152,30.251293182373047,29.44950294494629,0.0,0.0005151245299202855,True,0.00013322815248102416,0.0005151245299202855,,,,,,,
reconstruction_w4_c1.0_step150,reconstruction,reconstruction,4,1.0,150,34.069847106933594,0.9565287828445435,30.408885955810547,30.11312484741211,0.0,0.00044380767285474577,True,9.135417158177007e-05,0.00044380767285474577,,,,,,,
reconstruction_w4_c1.0_step200,reconstruction,reconstruction,4,1.0,200,34.451026916503906,0.9576481580734253,29.707088470458984,29.366607666015625,0.0,0.0004289034346584231,True,3.9271128889595276e-05,0.0004289034346584231,,,,,,,
natural_residual_w4_c1.0_step0,rtn_fallback,natural_residual,4,1.0,0,33.350032806396484,0.9434765577316284,29.57146453857422,28.76714515686035,0.0,0.004032868329886696,True,8.513591728842584e-05,0.04149663371754286,0.0005414434664999135,0.004032868329886696,0.09538653830531985,0.027925111557124183,,,
natural_residual_w4_c1.0_step50,natural_residual,natural_residual,4,1.0,50,32.639122009277344,0.9241279363632202,27.80911636352539,27.137088775634766,0.3499999940395355,0.0035348494438949274,True,5.2802364280069014e-05,0.035574973643451815,0.000676342749648029,0.0035348494438949274,0.08470006327843294,0.023570117871713592,,,
natural_residual_w4_c1.0_step100,natural_residual,natural_residual,4,1.0,100,32.24427795410156,0.923662006855011,27.277570724487305,27.204978942871094,0.3499999940395355,0.003503081566577748,True,0.00010698568848965806,0.03498308013104179,0.0007268010587722529,0.003503081566577748,0.08222945994930342,0.023257052569533698,,,
natural_residual_w4_c1.0_step150,natural_residual,natural_residual,4,1.0,150,32.35839080810547,0.9178210496902466,27.397342681884766,26.78264617919922,0.3499999940395355,0.003485973248643859,True,6.0923174532945265e-05,0.034182063648950135,0.0007191932199930307,0.003485973248643859,0.07749408634845167,0.022946681765461108,,,
natural_residual_w4_c1.0_step200,natural_residual,natural_residual,4,1.0,200,32.009071350097656,0.9101701974868774,26.867387771606445,26.501405715942383,0.4000000059604645,0.0034536440803094592,True,6.496301730294363e-05,0.033941609900739425,0.0007864091981900856,0.0034536440803094592,0.07845630604424514,0.02264233521600545,,,
natural_residual_qat_w4_c1.0_step0,rtn_fallback,natural_residual_qat,4,1.0,0,33.350128173828125,0.9434767961502075,29.57149887084961,28.767127990722656,0.0,0.004032883123727515,True,8.513084630976664e-05,0.04149651869229274,0.0005414379287685733,0.004032883123727515,0.09538438788149506,0.027925196780415718,0.0,0.0,0.0
natural_residual_qat_w4_c1.0_step50,natural_residual_qat,natural_residual_qat,4,1.0,50,33.38853073120117,0.9352935552597046,28.562122344970703,27.789011001586914,0.15000000596046448,0.0036059912190467003,True,4.155366796112503e-05,0.03586222103167529,0.0005726071503886487,0.0036059912190467003,0.08260509875253774,0.023995719937374815,0.0053896657191216946,0.006698091080747552,0.0
natural_residual_qat_w4_c1.0_step100,natural_residual_qat,natural_residual_qat,4,1.0,100,33.34406661987305,0.9362105131149292,28.776153564453125,27.911479949951172,0.15000000596046448,0.003514448055284447,True,4.335792873462196e-05,0.035087555126301594,0.0005668488491210155,0.003514448055284447,0.07987445170874707,0.02358566190014244,0.007155120372772217,0.008956562308462309,0.0
natural_residual_qat_w4_c1.0_step150,natural_residual_qat,natural_residual_qat,4,1.0,150,33.17267990112305,0.931127667427063,28.4215087890625,27.56197166442871,0.20000000298023224,0.0034463156853234977,True,4.1518789021210975e-05,0.03440902365564398,0.0005953520674665924,0.0034463156853234977,0.07973207245231606,0.022989500725088874,0.008815746754407883,0.011080943096831464,0.0
natural_residual_qat_w4_c1.0_step200,natural_residual_qat,natural_residual_qat,4,1.0,200,32.93775177001953,0.9274626970291138,27.750368118286133,27.22469139099121,0.30000001192092896,0.0034621235681697726,True,4.835894542338792e-05,0.034084578835609135,0.0006399771933502052,0.0034621235681697726,0.07724592005251907,0.022897863262187457,0.010197479277849197,0.012784512128063344,0.0
natural_residual_qat_w4_c1.0_step250,natural_residual_qat,natural_residual_qat,4,1.0,250,32.850135803222656,0.9261506199836731,27.79269790649414,27.115314483642578,0.30000001192092896,0.003451875608334376,True,5.289387081575114e-05,0.033746380373668214,0.0006510427396278828,0.003451875608334376,0.07573486104956828,0.022721018660377013,0.011084998957812786,0.013921754787114172,0.0
natural_residual_qat_w4_c1.0_step300,natural_residual_qat,natural_residual_qat,4,1.0,300,32.945068359375,0.9250699877738953,27.85671615600586,27.111160278320312,0.30000001192092896,0.003415321073589439,True,3.930213988496689e-05,0.033420336926974416,0.0006409734021872282,0.003415321073589439,0.07497426113695838,0.022507589739689138,0.012130792252719402,0.015222073251082352,0.0
natural_residual_qat_w4_c1.0_step350,natural_residual_qat,natural_residual_qat,4,1.0,350,32.84906005859375,0.9238381385803223,27.580081939697266,26.91101837158203,0.30000001192092896,0.0034593011901051796,True,4.9643827514955775e-05,0.033329121010774544,0.0006645659617788624,0.0034593011901051796,0.0735772030602675,0.022512099514642614,0.012928690761327744,0.016224786002282714,0.0
natural_residual_qat_w4_c1.0_step400,natural_residual_qat,natural_residual_qat,4,1.0,400,32.94336700439453,0.9257625341415405,27.882673263549805,26.969440460205078,0.30000001192092896,0.003456420555266959,True,4.0577200979896586e-05,0.03326258214310655,0.0006454526112065651,0.003456420555266959,0.0728113031364046,0.022525031274199137,0.013742987997829914,0.017240273500938093,0.0
natural_residual_qat_w4_c1.0_step450,natural_residual_qat,natural_residual_qat,4,1.0,450,32.907569885253906,0.9263585805892944,27.793703079223633,27.049386978149414,0.30000001192092896,0.003437599334120023,True,4.2323431489421634e-05,0.03322656889677091,0.0006475208894698881,0.003437599334120023,0.0730799434822984,0.02248097521442105,0.014391126111149788,0.01804837409518484,0.0
natural_residual_qat_w4_c1.0_step500,natural_residual_qat,natural_residual_qat,4,1.0,500,32.86505889892578,0.9251330494880676,27.938003540039062,27.175512313842773,0.25,0.00343800957671192,True,4.798795125680044e-05,0.03304308619335643,0.0006500679890450555,0.00343800957671192,0.07242501046857797,0.022362575569786713,0.014921292662620544,0.01871660056131162,0.0
natural_residual_qat_w4_c1.0_step550,natural_residual_qat,natural_residual_qat,4,1.0,550,32.97270202636719,0.9264410138130188,27.946706771850586,27.143564224243164,0.30000001192092896,0.0034275461275683483,True,4.163556714047445e-05,0.03297235598947736,0.000638099239586154,0.0034275461275683483,0.07174257343285717,0.0223705525186233,0.015444179065525532,0.019369832978688984,0.0
natural_residual_qat_w4_c1.0_step600,natural_residual_qat,natural_residual_qat,4,1.0,600,32.896018981933594,0.9251964688301086,27.996347427368164,27.086978912353516,0.30000001192092896,0.0034331550159549806,True,4.479006247493089e-05,0.03289559295662912,0.0006462907047534827,0.0034331550159549806,0.07137691127718426,0.02232474681295571,0.015846122056245804,0.019867250261412017,0.0
natural_residual_qat_w4_c1.0_step650,natural_residual_qat,natural_residual_qat,4,1.0,650,32.96449661254883,0.9253958463668823,27.99907112121582,27.131546020507812,0.30000001192092896,0.00343645063776421,True,3.546055249898927e-05,0.03290183464787333,0.0006361290958011523,0.00343645063776421,0.07120002657757141,0.02234538135235198,0.016242582350969315,0.02035816191451115,0.0
natural_residual_qat_w4_c1.0_step700,natural_residual_qat,natural_residual_qat,4,1.0,700,32.813987731933594,0.9236431121826172,27.78565788269043,26.92102813720703,0.30000001192092896,0.0034411202868795954,True,4.717577348856139e-05,0.03283446822279075,0.0006619030362344347,0.0034411202868795954,0.07080827502068132,0.02231252043384302,0.016563639044761658,0.020751182457694438,0.0
natural_residual_qat_w4_c1.0_step750,natural_residual_qat,natural_residual_qat,4,1.0,750,32.9387321472168,0.9247230291366577,27.902469635009766,27.080425262451172,0.30000001192092896,0.0034278966736565053,True,3.884435363943339e-05,0.032791237041510615,0.0006432476693589706,0.0034278966736565053,0.07148306944873184,0.022215033422980923,0.016841258853673935,0.021091493953928443,0.0
natural_residual_qat_w4_c1.0_step800,natural_residual_qat,natural_residual_qat,4,1.0,800,32.853553771972656,0.9242826700210571,27.748355865478516,26.896087646484375,0.30000001192092896,0.0034415750801599643,True,4.321556752984179e-05,0.032743916518393236,0.0006601486500585451,0.0034415750801599643,0.07041733572259545,0.022260607865973725,0.0170473363250494,0.021345603408776028,0.0
natural_residual_qat_w4_c1.0_step850,natural_residual_qat,natural_residual_qat,4,1.0,850,32.88432312011719,0.9246710538864136,27.905513763427734,26.953916549682617,0.30000001192092896,0.003439094516579644,True,3.8019476596673486e-05,0.03272459717773017,0.000650121567741735,0.003439094516579644,0.07035940757486969,0.02224956190366356,0.01721426472067833,0.021547135076014797,0.0
natural_residual_qat_w4_c1.0_step900,natural_residual_qat,natural_residual_qat,4,1.0,900,32.906593322753906,0.924979031085968,27.860767364501953,26.992267608642578,0.30000001192092896,0.0034301339796911634,True,4.298758985896711e-05,0.032716989422897316,0.0006501667798147537,0.0034301339796911634,0.07052427882445045,0.022234427560761105,0.017346957698464394,0.02171156321050657,0.0
natural_residual_qat_w4_c1.0_step950,natural_residual_qat,natural_residual_qat,4,1.0,950,32.94219207763672,0.9253318905830383,27.897533416748047,27.02822494506836,0.30000001192092896,0.0034319113301535253,True,4.1233863430534254e-05,0.032724834226428356,0.0006439593773393427,0.0034319113301535253,0.07034337599179707,0.022258585297095124,0.01745479926466942,0.021841938556022986,0.0
natural_residual_qat_w4_c1.0_step1000,natural_residual_qat,natural_residual_qat,4,1.0,1000,32.90831756591797,0.9250820875167847,27.890819549560547,26.977739334106445,0.30000001192092896,0.0034254242773386068,True,4.426868790687877e-05,0.03267872760352475,0.0006506431549496483,0.0034254242773386068,0.07046017097309232,0.02220728622887691,0.0175548754632473,0.021962177241491087,0.0
natural_full_finetune_w32_c1.0_step0,marked_fp32_fallback,natural_full_finetune,32,1.0,0,120.0,1.0,120.0,120.0,0.0,0.003911114429683948,True,0.0,0.01229040526177414,0.0,0.003911114429683948,0.08379290832090192,,,,
natural_full_finetune_w32_c1.0_step50,natural_full_finetune,natural_full_finetune,32,1.0,50,38.283119201660156,0.9854487180709839,33.25137710571289,33.241485595703125,0.0,0.003868949178922776,True,3.9504737651441245e-05,0.011172613633880247,0.0001823631539082271,0.003868949178922776,0.0730366445495747,,,,
natural_full_finetune_w32_c1.0_step100,natural_full_finetune,natural_full_finetune,32,1.0,100,37.31940460205078,0.9819995760917664,32.67433547973633,32.637550354003906,0.0,0.0037738912055829132,True,4.8302852428605546e-05,0.01087864679439008,0.00022154583311930764,0.0037738912055829132,0.07104755588807166,,,,
natural_full_finetune_w32_c1.0_step150,natural_full_finetune,natural_full_finetune,32,1.0,150,36.693538665771484,0.9773157238960266,31.86417007446289,31.531543731689453,0.0,0.003724064377365721,True,4.891546377621126e-05,0.010753423719779675,0.00025914491343428383,0.003724064377365721,0.07029359342413954,,,,
natural_full_finetune_w32_c1.0_step200,natural_full_finetune,natural_full_finetune,32,1.0,200,36.074790954589844,0.9736531972885132,31.439355850219727,31.256296157836914,0.0,0.0037037772203802888,True,4.287043029762572e-05,0.010588337686658632,0.0002918001395300962,0.0037037772203802888,0.06884560466278344,,,,
natural_full_finetune_w32_c1.0_step250,natural_full_finetune,natural_full_finetune,32,1.0,250,35.49329376220703,0.9686433672904968,30.644182205200195,30.632678985595703,0.0,0.0037084428113303147,True,4.90828805595811e-05,0.010504523392592093,0.0003364522686752025,0.0037084428113303147,0.06796080581261776,,,,
natural_full_finetune_w32_c1.0_step300,natural_full_finetune,natural_full_finetune,32,1.0,300,35.354248046875,0.9676872491836548,30.603912353515625,30.43205451965332,0.0,0.003647045861271181,True,5.305314580255072e-05,0.010405084511421591,0.0003486608096864074,0.003647045861271181,0.06758038650150411,,,,
natural_full_finetune_w32_c1.0_step350,natural_full_finetune,natural_full_finetune,32,1.0,350,35.230613708496094,0.9668614268302917,30.402385711669922,30.32904815673828,0.0,0.0036654812583947205,True,6.034968773747096e-05,0.01035483306422975,0.0003584868180041667,0.0036654812583947205,0.06689351805835031,,,,
natural_full_finetune_w32_c1.0_step400,natural_full_finetune,natural_full_finetune,32,1.0,400,35.09053421020508,0.9653431177139282,30.4886531829834,30.21177101135254,0.0,0.0036428916018849122,True,5.5098635766626106e-05,0.010306755832971248,0.0003684511095343623,0.0036428916018849122,0.06663864231086336,,,,
natural_full_finetune_w32_c1.0_step450,natural_full_finetune,natural_full_finetune,32,1.0,450,35.034950256347656,0.9648788571357727,30.358285903930664,30.09964942932129,0.0,0.0036426313154152012,True,5.7432091944065176e-05,0.010270838057294895,0.00037420491426018996,0.0036426313154152012,0.06628206741879694,,,,
natural_full_finetune_w32_c1.0_step500,natural_full_finetune,natural_full_finetune,32,1.0,500,34.83500671386719,0.9635273218154907,30.334407806396484,29.968042373657227,0.0,0.003631424534432881,True,5.839886471221689e-05,0.010254354699463876,0.00038823796203359964,0.003631424534432881,0.06622930165030994,,,,
natural_full_finetune_w32_c1.0_step550,natural_full_finetune,natural_full_finetune,32,1.0,550,34.747772216796875,0.962497889995575,30.27334976196289,29.897518157958984,0.0,0.0036216761432115163,True,5.730724406021182e-05,0.01022264285811616,0.0003957108347094618,0.0036216761432115163,0.06600966714904644,,,,
natural_full_finetune_w32_c1.0_step600,natural_full_finetune,natural_full_finetune,32,1.0,600,34.63426971435547,0.9617915153503418,30.154483795166016,29.829330444335938,0.0,0.003626399184213369,True,6.557272399732028e-05,0.010194910037898807,0.00040630741641507485,0.003626399184213369,0.06568510853685439,,,,
natural_full_finetune_w32_c1.0_step650,natural_full_finetune,natural_full_finetune,32,1.0,650,34.68718719482422,0.9617185592651367,30.246906280517578,29.90584945678711,0.0,0.0035956907372565183,True,5.944572612861521e-05,0.01017420719972506,0.0004012165423773695,0.0035956907372565183,0.06578516462468542,,,,
natural_full_finetune_w32_c1.0_step700,natural_full_finetune,natural_full_finetune,32,1.0,700,34.57326126098633,0.960912823677063,30.04916763305664,29.715648651123047,0.0,0.0036135907553216384,True,6.27213902589574e-05,0.010161342489936942,0.00041337575239595024,0.0036135907553216384,0.06547751734615304,,,,
natural_full_finetune_w32_c1.0_step750,natural_full_finetune,natural_full_finetune,32,1.0,750,34.58909606933594,0.9606202840805054,30.092599868774414,29.73444938659668,0.0,0.003603545560508792,True,5.812742610942223e-05,0.010153106246616517,0.0004115938383620232,0.003603545560508792,0.06549560686107725,,,,
natural_full_finetune_w32_c1.0_step800,natural_full_finetune,natural_full_finetune,32,1.0,800,34.5051155090332,0.9600353240966797,30.018733978271484,29.696613311767578,0.0,0.0035993244996461726,True,6.326429493128672e-05,0.010137326915264568,0.0004186402533377986,0.0035993244996461726,0.06538002415618394,,,,
natural_full_finetune_w32_c1.0_step850,natural_full_finetune,natural_full_finetune,32,1.0,850,34.50663375854492,0.9600136876106262,29.982698440551758,29.653385162353516,0.0,0.003601929622618627,True,6.134879013188765e-05,0.010131298446594883,0.0004198387177893892,0.003601929622618627,0.06529368823976256,,,,
natural_full_finetune_w32_c1.0_step900,natural_full_finetune,natural_full_finetune,32,1.0,900,34.50061798095703,0.9597744941711426,29.935678482055664,29.607393264770508,0.0,0.0036068182757844625,True,6.0258262965362516e-05,0.010130202807977185,0.0004211174382362515,0.0036068182757844625,0.06523384532192722,,,,
natural_full_finetune_w32_c1.0_step950,natural_full_finetune,natural_full_finetune,32,1.0,950,34.47065353393555,0.9594801068305969,29.94188117980957,29.614294052124023,0.0,0.003603817247949337,True,6.177260584081524e-05,0.010117752173846384,0.00042310517383157273,0.003603817247949337,0.06513934925897047,,,,
natural_full_finetune_w32_c1.0_step1000,natural_full_finetune,natural_full_finetune,32,1.0,1000,34.450584411621094,0.9594605565071106,29.948013305664062,29.598886489868164,0.0,0.0036038849489159475,True,6.300014683802146e-05,0.010118008055815152,0.00042521531067905014,0.0036038849489159475,0.06514123106899206,,,,
