step,applied,reason,joint_w4_loss,cycle_loss,teacher_mse,budget_penalty,dual_mse,dual_ssim,block,discriminator_loss,discriminator_applied,reconstruction_mse,perceptual_loss,preservation_mse,loss,residual_loss,trust_loss,spectral_loss,adversarial_loss,grad_norm,learning_rate,reconstruction_gradient_norm,preservation_gradient_norm
27,True,,,,,0.0,,,,,,0.00364687480032444,0.05753641575574875,4.78534129797481e-05,0.009424443356692791,0.0,0.0,0.0,0.0,0.00012403278378769755,0.009999795877963527,,
28,True,,,,,0.0,,,,,,0.0022353853564709425,0.0470384918153286,6.759315874660388e-05,0.006973030976951122,0.0,0.0,0.0,0.0,0.00010386467329226434,0.00999972216798663,,
29,True,,,,,0.0,,,,,,0.0031985470559448004,0.06305675953626633,4.4543296098709106e-05,0.009526494890451431,0.0,0.0,0.0,0.0,0.00010735966498032212,0.009999637118513394,,
30,True,,,,,0.0,,,,,,0.005100404843688011,0.07390725612640381,7.947793346829712e-05,0.01253086980432272,0.0,0.0,0.0,0.0,0.00010090329305967316,0.009999540729758146,,
31,True,,,,,0.0,,,,,,0.002854282036423683,0.0699760764837265,3.999426189693622e-05,0.009871887043118477,0.0,0.0,0.0,0.0,0.00011390488361939788,0.009999433001963789,,
32,True,,,,,0.0,,,,,,0.004760792013257742,0.07781282067298889,4.691322101280093e-05,0.012565530836582184,0.0,0.0,0.0,0.0,0.00012717826757580042,0.009999313935401802,,
33,True,,,,,0.0,,,,,,0.003379546105861664,0.06698508560657501,4.036185782752e-05,0.010098235681653023,0.0,0.0,0.0,0.0,0.00012114283890696242,0.009999183530372241,,
34,True,,,,,0.0,,,,,,0.003980901092290878,0.07346777617931366,8.554954547435045e-05,0.011370453052222729,0.0,0.0,0.0,0.0,0.00010501145152375102,0.00999904178720373,,
35,True,,,,,0.0,,,,,,0.004585471469908953,0.06999360024929047,4.2956904508173466e-05,0.011606309562921524,0.0,0.0,0.0,0.0,0.00010528544953558594,0.009998888706253465,,
36,True,,,,,0.0,,,,,,0.004111721646040678,0.06941446661949158,6.692216993542388e-05,0.011086629703640938,0.0,0.0,0.0,0.0,0.00013086668332107365,0.009998724287907221,,
37,True,,,,,0.0,,,,,,0.005257645156234503,0.07900412380695343,4.4958746002521366e-05,0.013180536217987537,0.0,0.0,0.0,0.0,0.00010343838221160695,0.00999854853257934,,
38,True,,,,,0.0,,,,,,0.002173129003494978,0.05369514971971512,6.775886140530929e-05,0.007576523814350367,0.0,0.0,0.0,0.0,8.867483848007396e-05,0.00999836144071273,,
39,True,,,,,0.0,,,,,,0.0028303468134254217,0.06306709349155426,3.419788117753342e-05,0.009154154919087887,0.0,0.0,0.0,0.0,0.00010312043013982475,0.00999816301277887,,
40,True,,,,,0.0,,,,,,0.002625175518915057,0.05025938153266907,4.3266365537419915e-05,0.007672747131437063,0.0,0.0,0.0,0.0,0.00010944902896881104,0.00999795324927781,,
41,True,,,,,0.0,,,,,,0.006612229160964489,0.07945633679628372,3.7516096199397e-05,0.014576620422303677,0.0,0.0,0.0,0.0,0.00018925793119706213,0.009997732150738165,,
42,True,,,,,0.0,,,,,,0.004801043774932623,0.07797671854496002,0.0001027873222483322,0.012650109827518463,0.0,0.0,0.0,0.0,0.00010762426245491952,0.009997499717717106,,
43,True,,,,,0.0,,,,,,0.00371085898950696,0.08111120760440826,5.1886698201997206e-05,0.011847922578454018,0.0,0.0,0.0,0.0,0.0001349426747765392,0.00999725595080038,,
44,True,,,,,0.0,,,,,,0.002784326672554016,0.05870050936937332,7.928766717668623e-05,0.008694021962583065,0.0,0.0,0.0,0.0,8.941718988353387e-05,0.00999700085060229,,
45,True,,,,,0.0,,,,,,0.006276179105043411,0.07970038056373596,4.601159889716655e-05,0.014269222505390644,0.0,0.0,0.0,0.0,0.00011564439773792401,0.009996734417765699,,
46,True,,,,,0.0,,,,,,0.003388098906725645,0.07196356356143951,6.707427382934839e-05,0.010617991909384727,0.0,0.0,0.0,0.0,0.00010934528836514801,0.009996456652962026,,
47,True,,,,,0.0,,,,,,0.0027079484425485134,0.05185239762067795,3.88083208235912e-05,0.00791259203106165,0.0,0.0,0.0,0.0,9.355886140838265e-05,0.009996167556891254,,
48,True,,,,,0.0,,,,,,0.004426698200404644,0.07937417924404144,5.120240894029848e-05,0.012389717623591423,0.0,0.0,0.0,0.0,0.0001312857639277354,0.009995867130281916,,
49,True,,,,,0.0,,,,,,0.0015535069396719337,0.04243147745728493,4.438986798049882e-05,0.005818849895149469,0.0,0.0,0.0,0.0,8.027836884139106e-05,0.009995555373891102,,
50,True,,,,,0.0,,,,,,0.0022294274531304836,0.052232686430215836,9.842681902227923e-05,0.007501909509301186,0.0,0.0,0.0,0.0,9.307448635809124e-05,0.009995232288504451,,
51,True,,,,,0.0,,,,,,0.002139949006959796,0.053318366408348083,6.677386409137398e-05,0.007505172863602638,0.0,0.0,0.0,0.0,9.99179101199843e-05,0.009994897874936152,,
52,True,,,,,0.0,,,,,,0.005029523745179176,0.06626541912555695,9.392568608745933e-05,0.01170302927494049,0.0,0.0,0.0,0.0,0.00013442648923955858,0.009994552134028943,,
53,True,,,,,0.0,,,,,,0.0027639276813715696,0.05613451078534126,5.88716720812954e-05,0.008406814187765121,0.0,0.0,0.0,0.0,0.00010393426055088639,0.009994195066654103,,
54,True,,,,,0.0,,,,,,0.00428589154034853,0.06613372266292572,6.876613770145923e-05,0.010933647863566875,0.0,0.0,0.0,0.0,0.00010195049981120974,0.009993826673711459,,
55,True,,,,,0.0,,,,,,0.005469681229442358,0.07359892129898071,3.606149766710587e-05,0.012847604230046272,0.0,0.0,0.0,0.0,9.820952982408926e-05,0.009993446956129378,,
56,True,,,,,0.0,,,,,,0.004446608945727348,0.06210172548890114,3.7970014091115445e-05,0.010675766505300999,0.0,0.0,0.0,0.0,9.847541514318436e-05,0.009993055914864766,,
57,True,,,,,0.0,,,,,,0.002832038328051567,0.05299022048711777,3.004648897331208e-05,0.008146083913743496,0.0,0.0,0.0,0.0,8.998515841085464e-05,0.009992653550903062,,
58,True,,,,,0.0,,,,,,0.0059334952384233475,0.06379806250333786,7.05075217410922e-05,0.012348555028438568,0.0,0.0,0.0,0.0,9.685664554126561e-05,0.009992239865258242,,
59,True,,,,,0.0,,,,,,0.0022725751623511314,0.046816110610961914,3.8731501263100654e-05,0.00697355205193162,0.0,0.0,0.0,0.0,8.035782957449555e-05,0.009991814858972811,,
60,True,,,,,0.0,,,,,,0.005809745751321316,0.06880773603916168,6.0518501413753256e-05,0.01272077951580286,0.0,0.0,0.0,0.0,0.0001010907581076026,0.009991378533117804,,
61,True,,,,,0.0,,,,,,0.0025839065201580524,0.05822749063372612,4.3420102883828804e-05,0.008428365923464298,0.0,0.0,0.0,0.0,0.0001028310289257206,0.00999093088879278,,
62,True,,,,,0.0,,,,,,0.003666473086923361,0.06852492690086365,6.258583016460761e-05,0.010550259612500668,0.0,0.0,0.0,0.0,0.00010975404438795522,0.009990471927125823,,
63,True,,,,,0.0,,,,,,0.00504958163946867,0.06719443202018738,2.832700192811899e-05,0.011783188208937645,0.0,0.0,0.0,0.0,0.00012218898336868733,0.009990001649273536,,
64,True,,,,,0.0,,,,,,0.004621976520866156,0.06678231805562973,3.830265995929949e-05,0.011319359764456749,0.0,0.0,0.0,0.0,9.64263454079628e-05,0.009989520056421041,,
65,True,,,,,0.0,,,,,,0.0031575560569763184,0.05544634908437729,3.681217640405521e-05,0.008720596320927143,0.0,0.0,0.0,0.0,9.229393617715687e-05,0.009989027149781974,,
66,True,,,,,0.0,,,,,,0.0069777644239366055,0.08063923567533493,9.082446194952354e-05,0.015087100677192211,0.0,0.0,0.0,0.0,0.00016269568004645407,0.009988522930598478,,
67,True,,,,,0.0,,,,,,0.006516415625810623,0.09273406118154526,4.284801980247721e-05,0.015811245888471603,0.0,0.0,0.0,0.0,0.00013674527872353792,0.009988007400141208,,
68,True,,,,,0.0,,,,,,0.004135563038289547,0.07108418643474579,8.453588816337287e-05,0.011286250315606594,0.0,0.0,0.0,0.0,0.00011606152838794515,0.009987480559709326,,
69,True,,,,,0.0,,,,,,0.00690081249922514,0.07362352311611176,5.030928514315747e-05,0.014288319274783134,0.0,0.0,0.0,0.0,0.00011094020010204986,0.00998694241063049,,
70,True,,,,,0.0,,,,,,0.004327990114688873,0.06664592027664185,6.665254477411509e-05,0.011025909334421158,0.0,0.0,0.0,0.0,0.00010356626444263384,0.009986392954260861,,
71,True,,,,,0.0,,,,,,0.0033317364286631346,0.05730731040239334,3.523685154505074e-05,0.009080085903406143,0.0,0.0,0.0,0.0,0.00011679445015033707,0.009985832191985093,,
72,True,,,,,0.0,,,,,,0.0045732539147138596,0.0605640709400177,4.771537351189181e-05,0.010653519071638584,0.0,0.0,0.0,0.0,8.241969771916047e-05,0.00998526012521633,,
73,True,,,,,0.0,,,,,,0.003321490716189146,0.05395814776420593,3.599843694246374e-05,0.00873530562967062,0.0,0.0,0.0,0.0,8.5689767729491e-05,0.009984676755396204,,
74,True,,,,,0.0,,,,,,0.004186955746263266,0.07383538782596588,0.00010429924441268668,0.011622644029557705,0.0,0.0,0.0,0.0,0.0001015660454868339,0.009984082083994837,,
75,True,,,,,0.0,,,,,,0.005667309742420912,0.08520771563053131,5.1575898396549746e-05,0.014213869348168373,0.0,0.0,0.0,0.0,0.0001120567467296496,0.009983476112510823,,
76,True,,,,,0.0,,,,,,0.005941007286310196,0.06504537165164948,7.830591493984684e-05,0.012484697625041008,0.0,0.0,0.0,0.0,9.074192348634824e-05,0.009982858842471238,,
77,True,,,,,0.0,,,,,,0.0041639115661382675,0.05353398621082306,4.821153561351821e-05,0.009541415609419346,0.0,0.0,0.0,0.0,0.00010294654202880338,0.009982230275431629,,
78,True,,,,,0.0,,,,,,0.004826495423913002,0.07624465972185135,6.785144796594977e-05,0.012484886683523655,0.0,0.0,0.0,0.0,0.0001015811794786714,0.009981590412976013,,
79,True,,,,,0.0,,,,,,0.0016390474047511816,0.0378601998090744,3.3020285627571866e-05,0.005441577639430761,0.0,0.0,0.0,0.0,7.395229476969689e-05,0.009980939256716873,,
80,True,,,,,0.0,,,,,,0.0015797261148691177,0.06142190843820572,4.0167607949115336e-05,0.007742001209408045,0.0,0.0,0.0,0.0,0.0001447412942070514,0.009980276808295148,,
81,True,,,,,0.0,,,,,,0.003748360788449645,0.06671519577503204,3.796682722168043e-05,0.010438863188028336,0.0,0.0,0.0,0.0,0.0001063540912582539,0.009979603069380236,,
82,True,,,,,0.0,,,,,,0.007275267504155636,0.08675117045640945,9.248957212548703e-05,0.015996629372239113,0.0,0.0,0.0,0.0,0.0001355336426058784,0.009978918041669994,,
83,True,,,,,0.0,,,,,,0.0029081846587359905,0.04844973608851433,4.4334236008580774e-05,0.007775325793772936,0.0,0.0,0.0,0.0,8.365691610379145e-05,0.009978221726890717,,
84,True,,,,,0.0,,,,,,0.002066591754555702,0.0620567761361599,7.906441169325262e-05,0.008311801590025425,0.0,0.0,0.0,0.0,0.00010411336552351713,0.009977514126797149,,
85,True,,,,,0.0,,,,,,0.0030516181141138077,0.07029782980680466,4.979360892320983e-05,0.010106298141181469,0.0,0.0,0.0,0.0,0.00011840775550808758,0.009976795243172474,,
86,True,,,,,0.0,,,,,,0.0045065125450491905,0.056805118918418884,7.01271346770227e-05,0.010222087614238262,0.0,0.0,0.0,0.0,9.202768706018105e-05,0.009976065077828312,,
87,True,,,,,0.0,,,,,,0.002208762103691697,0.050164468586444855,3.892411041306332e-05,0.0072446707636117935,0.0,0.0,0.0,0.0,0.00014195771655067801,0.00997532363260471,,
88,True,,,,,0.0,,,,,,0.0035819998010993004,0.06388361752033234,4.873588477494195e-05,0.009994729422032833,0.0,0.0,0.0,0.0,0.00010288711928296834,0.00997457090937014,,
89,True,,,,,0.0,,,,,,0.003866600338369608,0.0793713927268982,3.699720400618389e-05,0.011822239495813847,0.0,0.0,0.0,0.0,0.00012394276564009488,0.0099738069100215,,
90,True,,,,,0.0,,,,,,0.0036716493777930737,0.05775371193885803,9.35454954742454e-05,0.009493793360888958,0.0,0.0,0.0,0.0,9.087699436349794e-05,0.009973031636484105,,
91,True,,,,,0.0,,,,,,0.0035171862691640854,0.0567118376493454,5.237955701886676e-05,0.009214560501277447,0.0,0.0,0.0,0.0,9.689723083283752e-05,0.009972245090711672,,
92,True,,,,,0.0,,,,,,0.006557278335094452,0.08346274495124817,7.833987183403224e-05,0.014942722395062447,0.0,0.0,0.0,0.0,0.00012199419870739803,0.009971447274686332,,
93,True,,,,,0.0,,,,,,0.006203841418027878,0.08541522920131683,4.7082940000109375e-05,0.014768905937671661,0.0,0.0,0.0,0.0,0.00013115012552589178,0.009970638190418619,,
94,True,,,,,0.0,,,,,,0.0044225058518350124,0.06395788490772247,6.899195432197303e-05,0.01085279043763876,0.0,0.0,0.0,0.0,8.649202209198847e-05,0.00996981783994746,,
95,True,,,,,0.0,,,,,,0.003651311621069908,0.07343882322311401,3.0467483156826347e-05,0.011010427959263325,0.0,0.0,0.0,0.0,0.0001126781280618161,0.00996898622534017,,
96,True,,,,,0.0,,,,,,0.0045402767136693,0.07367095351219177,4.2805295379366726e-05,0.01192877534776926,0.0,0.0,0.0,0.0,0.00010395480785518885,0.00996814334869246,,
97,True,,,,,0.0,,,,,,0.002468767575919628,0.05215846002101898,4.253102815710008e-05,0.007705878932029009,0.0,0.0,0.0,0.0,8.944755973061547e-05,0.009967289212128413,,
98,True,,,,,0.0,,,,,,0.0031546521931886673,0.06308205425739288,0.00010079369531013072,0.009513254277408123,0.0,0.0,0.0,0.0,0.00011087435996159911,0.009966423817800489,,
99,True,,,,,0.0,,,,,,0.005854008253663778,0.08234430849552155,4.954627365805209e-05,0.014113212004303932,0.0,0.0,0.0,0.0,0.00012313951447140425,0.009965547167889523,,
100,True,,,,,0.0,,,,,,0.0021973559632897377,0.05997396260499954,7.360659947153181e-05,0.008231555111706257,0.0,0.0,0.0,0.0,8.763086225371808e-05,0.009964659264604707,8.676717028089739e-05,6.179258037473278e-06
101,True,,,,,0.0,,,,,,0.004328529816120863,0.07193747907876968,4.348457878222689e-05,0.011544020846486092,0.0,0.0,0.0,0.0,0.00010499939526198432,0.009963760110183599,,
102,True,,,,,0.0,,,,,,0.0034698459785431623,0.06505835056304932,6.614760786760598e-05,0.010008755140006542,0.0,0.0,0.0,0.0,9.314015915151685e-05,0.009962849706892108,,
103,True,,,,,0.0,,,,,,0.003743109991773963,0.06580699235200882,4.2768944695126265e-05,0.010345193557441235,0.0,0.0,0.0,0.0,0.00010806203499669209,0.00996192805702449,,
104,True,,,,,0.0,,,,,,0.003305306425318122,0.055135615170001984,4.1531515307724476e-05,0.00883963331580162,0.0,0.0,0.0,0.0,8.986015018308535e-05,0.009960995162903337,,
105,True,,,,,0.0,,,,,,0.0038752637337893248,0.07493460178375244,4.2146122723352164e-05,0.011389796622097492,0.0,0.0,0.0,0.0,0.00013730958744417876,0.00996005102687959,,
106,True,,,,,0.0,,,,,,0.003684191033244133,0.06004420667886734,9.001660509966314e-05,0.009733620099723339,0.0,0.0,0.0,0.0,0.00010548510908847675,0.00995909565133251,,
107,True,,,,,0.0,,,,,,0.004291174467653036,0.06490610539913177,4.668050314649008e-05,0.01080512534826994,0.0,0.0,0.0,0.0,0.00011424189870012924,0.009958129038669687,,
108,True,,,,,0.0,,,,,,0.0028360579162836075,0.051891930401325226,7.936760812299326e-05,0.008064934983849525,0.0,0.0,0.0,0.0,7.192831253632903e-05,0.009957151191327023,,
109,True,,,,,0.0,,,,,,0.0036615419667214155,0.060717951506376266,5.096687164041214e-05,0.00975882075726986,0.0,0.0,0.0,0.0,8.655796409584582e-05,0.009956162111768741,,
110,True,,,,,0.0,,,,,,0.0031562834046781063,0.06670429557561874,6.91035675117746e-05,0.009861265309154987,0.0,0.0,0.0,0.0,8.986182365333661e-05,0.009955161802487362,,
111,True,,,,,0.0,,,,,,0.0037080179899930954,0.09926827996969223,3.368423494976014e-05,0.01365168858319521,0.0,0.0,0.0,0.0,0.0001326342608081177,0.009954150266003709,,
112,True,,,,,0.0,,,,,,0.003678359789773822,0.0573686882853508,3.916491914424114e-05,0.009434811770915985,0.0,0.0,0.0,0.0,0.0001060065915226005,0.0099531275048669,,
113,True,,,,,0.0,,,,,,0.00401683896780014,0.07925279438495636,3.213662057532929e-05,0.011958186514675617,0.0,0.0,0.0,0.0,0.00012345038703642786,0.009952093521654335,,
114,True,,,,,0.0,,,,,,0.0016548880375921726,0.0482974648475647,8.801317017059773e-05,0.0065286410972476006,0.0,0.0,0.0,0.0,8.491488551953807e-05,0.009951048318971697,,
115,True,,,,,0.0,,,,,,0.001726473681628704,0.04317641630768776,4.5744713133899495e-05,0.006066987756639719,0.0,0.0,0.0,0.0,7.089044083841145e-05,0.009949991899452944,,
116,True,,,,,0.0,,,,,,0.0023841960355639458,0.04747944325208664,8.618630818091333e-05,0.0071752336807549,0.0,0.0,0.0,0.0,9.608599066268653e-05,0.0099489242657603,,
117,True,,,,,0.0,,,,,,0.004778766073286533,0.08281934261322021,5.107367178425193e-05,0.013086237013339996,0.0,0.0,0.0,0.0,0.00010265073069604114,0.009947845420584247,,
118,True,,,,,0.0,,,,,,0.00418712105602026,0.06695623695850372,7.633563654962927e-05,0.010920912027359009,0.0,0.0,0.0,0.0,9.958384180208668e-05,0.009946755366643523,,
119,True,,,,,0.0,,,,,,0.0023142583668231964,0.06201282888650894,3.244616891606711e-05,0.008531764149665833,0.0,0.0,0.0,0.0,0.00010527497943257913,0.00994565410668511,,
120,True,,,,,0.0,,,,,,0.0010504863457754254,0.043106235563755035,4.048823757329956e-05,0.005381354130804539,0.0,0.0,0.0,0.0,9.984401549445465e-05,0.009944541643484232,,
121,True,,,,,0.0,,,,,,0.0014662807807326317,0.04118838906288147,3.319257666589692e-05,0.005601715762168169,0.0,0.0,0.0,0.0,0.00010157120414078236,0.009943417979844344,,
122,True,,,,,0.0,,,,,,0.004377825651317835,0.07165420055389404,8.278728637378663e-05,0.011584639549255371,0.0,0.0,0.0,0.0,9.405615128343925e-05,0.00994228311859713,,
