candidate,source,method,bits,clip,step,psnr,ssim,budget_violation_fraction,psnr_p05,min_psnr,quality_violation_fraction,target_mse,feasible,semantic_lowpass_mse,generated_reference_mse,natural_validation_mse,natural_validation_lpips,natural_validation_residual,natural_validation_spectral,natural_validation_cycle,selection_objective
natural_rounding_w4_c1.0_step0,rtn_fallback,natural_rounding,4,1.0,0,33.350563049316406,0.943604588508606,,29.569313049316406,28.79359245300293,0.0,0.004609984279966284,True,8.52526811286225e-05,0.0005406601558206603,0.004609984279966284,0.08563281597889727,,,,0.013215892218420323
natural_rounding_w4_c1.0_step100,natural_rounding,natural_rounding,4,1.0,100,32.1028938293457,0.9191828966140747,,27.281518936157227,26.815645217895508,0.0,0.004195107237364937,True,6.243819725568756e-05,0.0007529481619712897,0.004195107237364937,0.06490356686845189,,,,0.01071668302283797
natural_rounding_w4_c1.0_step200,natural_rounding,natural_rounding,4,1.0,200,31.546642303466797,0.905207633972168,,26.82660675048828,26.28394317626953,0.0,0.00407927913659023,True,7.166706163843627e-05,0.0008621953980764374,0.00407927913659023,0.06377207391778938,,,,0.010492320059188386
natural_rounding_w4_c1.0_step300,natural_rounding,natural_rounding,4,1.0,300,31.143014907836914,0.8945233225822449,,26.259920120239258,25.805091857910156,0.05000000074505806,0.004016335568167051,True,8.124830674205441e-05,0.0009503957480774261,0.004016335568167051,0.061909802570880856,,,,0.010247939978626164
natural_rounding_w4_c1.0_step400,natural_rounding,natural_rounding,4,1.0,400,30.999425888061523,0.8885744214057922,,26.028474807739258,25.558319091796875,0.05000000074505806,0.003970940278264834,True,7.314457134270924e-05,0.0009852750154095702,0.003970940278264834,0.06190154899741174,,,,0.010197667463677363
natural_rounding_w4_c1.0_step500,natural_rounding,natural_rounding,4,1.0,500,30.692203521728516,0.8795099258422852,,25.74658203125,25.104042053222656,0.10000000149011612,0.003967143378702076,True,7.478744873878895e-05,0.001059178118885029,0.003967143378702076,0.060424668779887725,,,,0.010047003981060242
natural_rounding_w4_c1.0_step600,natural_rounding,natural_rounding,4,1.0,600,30.640270233154297,0.8752692341804504,,25.526487350463867,25.11673355102539,0.15000000596046448,0.0038994447722870973,True,7.392108918793383e-05,0.0010780682001495733,0.0038994447722870973,0.061107418849132955,,,,0.010047147201794358
natural_rounding_w4_c1.0_step700,natural_rounding,natural_rounding,4,1.0,700,30.61795425415039,0.8726698756217957,,25.441829681396484,24.974241256713867,0.15000000596046448,0.003901134050749988,True,7.450589837389998e-05,0.0010932019795291126,0.003901134050749988,0.059785951092635514,,,,0.00991698210920049
natural_rounding_w4_c1.0_step800,natural_rounding,natural_rounding,4,1.0,800,30.530527114868164,0.8711161613464355,,25.41901969909668,24.91961669921875,0.15000000596046448,0.003891808234840255,True,7.108672398317139e-05,0.0011070660562836564,0.003891808234840255,0.05945354504729039,,,,0.00987270610156088
natural_rounding_w4_c1.0_step900,natural_rounding,natural_rounding,4,1.0,900,30.50189781188965,0.8707342147827148,,25.38919448852539,24.94988441467285,0.15000000596046448,0.0038555645978988196,True,7.946566856844583e-05,0.0011153539875522257,0.0038555645978988196,0.05929864081554115,,,,0.009825161513737156
