step,applied,reason,block,discriminator_loss,discriminator_applied,reconstruction_mse,perceptual_loss,preservation_mse,loss,residual_loss,trust_loss,spectral_loss,adversarial_loss,grad_norm,learning_rate
1,True,,,,,0.004646326880902052,0.08248104155063629,5.96660356677603e-05,0.045338138937950134,0.032324373722076416,0.0,0.0,0.0,0.0003386621247045696,0.0005
2,True,,,,,0.002834942191839218,0.0687127411365509,0.000130976943182759,0.032015927135944366,0.022047756239771843,0.0,0.0,0.0,0.00032272853422909975,0.001
3,True,,,,,0.0030628014355897903,0.0626709908246994,9.40842874115333e-05,0.027511296793818474,0.017993228510022163,0.0,0.0,0.0,0.0002620648592710495,0.0015
4,True,,,,,0.002602512715384364,0.06297454237937927,0.00010881252819672227,0.025327248498797417,0.01620965637266636,0.0,0.0,0.0,0.00025240847025997937,0.002
5,True,,,,,0.004722068086266518,0.08619119226932526,6.446015322580934e-05,0.04790564626455307,0.034435536712408066,0.0,0.0,0.0,0.0003163750807289034,0.0025
6,True,,,,,0.00611954927444458,0.11653782427310944,9.090900130104274e-05,0.05960490182042122,0.041649751365184784,0.0,0.0,0.0,0.0003051596286240965,0.003
7,True,,,,,0.004585800692439079,0.10238473117351532,4.833693310501985e-05,0.04541591554880142,0.030494965612888336,0.0,0.0,0.0,0.00030419413815252483,0.0035000000000000005
8,True,,,,,0.0033519265707582235,0.07280010730028152,4.307824929128401e-05,0.03246138244867325,0.0217432864010334,0.0,0.0,0.0,0.0002806062111631036,0.004
9,True,,,,,0.009504429996013641,0.143299400806427,3.250351073802449e-05,0.09238751977682114,0.06848814338445663,0.0,0.0,0.0,0.0003278662043157965,0.0045
10,True,,,,,0.002323850290849805,0.06899794936180115,8.88174690771848e-05,0.025115394964814186,0.015714114531874657,0.0,0.0,0.0,0.00023721456818748266,0.005
11,True,,,,,0.0039894795045256615,0.10068579763174057,4.738782808999531e-05,0.04168004170060158,0.027527207508683205,0.0,0.0,0.0,0.00019836332648992538,0.0055
12,True,,,,,0.0036003286950290203,0.09135645627975464,7.361256575677544e-05,0.03552279621362686,0.022639594972133636,0.0,0.0,0.0,0.0001864778168965131,0.006
13,True,,,,,0.003820149227976799,0.09881751239299774,5.101875285618007e-05,0.041756682097911835,0.02795274183154106,0.0,0.0,0.0,0.0002503538562450558,0.006500000000000001
14,True,,,,,0.00545086245983839,0.09853935241699219,0.00011781002831412479,0.05347002297639847,0.037929605692625046,0.0,0.0,0.0,0.0002357762132305652,0.007000000000000001
15,True,,,,,0.0038967810105532408,0.08795873075723648,4.328865179559216e-05,0.037944115698337555,0.025164883583784103,0.0,0.0,0.0,0.00022767249902244657,0.0075
