step,applied,reason,block,spectral_loss,adversarial_loss,discriminator_loss,discriminator_applied,reconstruction_mse,perceptual_loss,preservation_mse,loss,residual_loss,trust_loss,grad_norm,learning_rate
37,True,,up_blocks.1,0.0,0.0,,,0.039513058960437775,0.0,0.0,0.039513058960437775,0.0,0.0,0.000615145021583885,0.01
38,True,,up_blocks.1,0.0,0.0,,,0.03729270398616791,0.0,0.0,0.03729270398616791,0.0,0.0,0.0005143627640791237,0.01
39,True,,up_blocks.1,0.0,0.0,,,0.04144866764545441,0.0,0.0,0.04144866764545441,0.0,0.0,0.00040053954580798745,0.01
40,True,,up_blocks.1,0.0,0.0,,,0.03997722268104553,0.0,0.0,0.03997722268104553,0.0,0.0,0.0007249365444295108,0.01
41,True,,up_blocks.1,0.0,0.0,,,0.036526959389448166,0.0,0.0,0.036526959389448166,0.0,0.0,0.0005669787060469389,0.01
42,True,,up_blocks.1,0.0,0.0,,,0.0339403972029686,0.0,0.0,0.0339403972029686,0.0,0.0,0.0003004088066518307,0.01
43,True,,up_blocks.1,0.0,0.0,,,0.0404016338288784,0.0,0.0,0.0404016338288784,0.0,0.0,0.0002299272600794211,0.01
44,True,,up_blocks.2,0.0,0.0,,,0.17792165279388428,0.0,0.0,0.17792165279388428,0.0,0.0,0.0034884712658822536,0.01
45,True,,up_blocks.2,0.0,0.0,,,0.1414516270160675,0.0,0.0,0.1414516270160675,0.0,0.0,0.0015534998383373022,0.01
46,True,,up_blocks.2,0.0,0.0,,,0.14279848337173462,0.0,0.0,0.14279848337173462,0.0,0.0,0.002110299188643694,0.01
47,True,,up_blocks.2,0.0,0.0,,,0.11763758957386017,0.0,0.0,0.11763758957386017,0.0,0.0,0.0017363691003993154,0.01
48,True,,up_blocks.2,0.0,0.0,,,0.1305837482213974,0.0,0.0,0.1305837482213974,0.0,0.0,0.001567769329994917,0.01
49,True,,up_blocks.2,0.0,0.0,,,0.12443803995847702,0.0,0.0,0.12443803995847702,0.0,0.0,0.001984159229323268,0.01
50,True,,up_blocks.2,0.0,0.0,,,0.11547455191612244,0.0,0.0,0.11547455191612244,0.0,0.0,0.0017371191643178463,0.01
51,True,,up_blocks.2,0.0,0.0,,,0.14416375756263733,0.0,0.0,0.14416375756263733,0.0,0.0,0.002585774287581444,0.01
52,True,,up_blocks.2,0.0,0.0,,,0.11571982502937317,0.0,0.0,0.11571982502937317,0.0,0.0,0.002659994177520275,0.01
53,True,,up_blocks.2,0.0,0.0,,,0.107787124812603,0.0,0.0,0.107787124812603,0.0,0.0,0.001893221284262836,0.01
54,True,,up_blocks.2,0.0,0.0,,,0.1338159441947937,0.0,0.0,0.1338159441947937,0.0,0.0,0.001094045233912766,0.01
